EdgeID,Highway
856,residential
857,residential
858,residential
859,residential
860,residential
861,residential
862,residential
863,residential
864,residential
865,residential
868,residential
869,residential
870,residential
871,residential
874,residential
875,residential
876,residential
877,residential
878,residential
879,residential
880,residential
881,residential
882,residential
883,residential
884,secondary
885,secondary
886,secondary
887,secondary
888,secondary
889,secondary
890,secondary
891,secondary
892,secondary
893,secondary
894,secondary
895,secondary
896,secondary
897,secondary
898,secondary
899,tertiary
900,tertiary
901,tertiary
902,tertiary
1374,secondary
1375,secondary
1376,secondary
1377,secondary
1378,secondary
1379,secondary
1380,secondary
1381,secondary
1382,secondary
1383,secondary
1384,secondary
1385,secondary
1386,secondary
1387,secondary
1388,secondary
1389,secondary
1390,secondary
1391,secondary
1392,secondary
1393,primary
1394,primary
1395,primary
1396,primary
1397,residential
1398,residential
1399,residential
1400,residential
1401,residential
1402,residential
1403,residential
1404,residential
1405,residential
1406,residential
1407,primary
2966,secondary
2967,secondary
2968,secondary
2969,secondary
2970,secondary
2971,secondary
2972,secondary
2973,secondary
2974,secondary
2975,secondary
2976,secondary
2977,secondary
2978,secondary
2979,secondary
2980,secondary
2981,secondary
2982,secondary
2983,secondary
2984,secondary
2985,secondary
2986,secondary
2987,secondary
2988,secondary
2989,secondary
2990,secondary
2991,secondary
2992,secondary
2994,residential
2995,residential
2996,residential
2999,secondary
3000,secondary
3001,secondary
3002,secondary
3003,secondary
3004,secondary
3005,secondary
3006,secondary
3007,secondary
3008,primary
3081,primary
3082,primary
3083,primary
3084,primary
3085,primary
3086,primary
3087,primary
3088,primary
3089,primary
4244,primary
4245,service
4247,primary
4248,primary_link
4249,motorway
4251,motorway_link
4762,primary
4763,primary
4764,primary
4765,primary
4766,primary
4767,primary
4768,primary
4769,primary
4770,primary
4771,primary
4772,primary
4779,primary
4780,primary
4781,primary
4782,primary
4783,primary
4784,primary
4785,primary
4786,primary
4787,primary
4788,primary
4789,primary
4790,primary
4791,primary
4792,primary
6400,primary
8470,primary
9200,secondary
9201,secondary
9202,residential
9203,residential
9204,residential
9205,secondary
9207,secondary
9208,secondary
9641,primary
9642,primary
9643,primary
9644,primary
9645,primary
9646,primary
9647,primary
9648,primary
10370,primary
10371,primary
10375,primary_link
10378,primary
10379,primary
10380,primary
10381,primary
10382,primary
10404,primary
10405,primary
10406,primary
10407,primary
10408,primary
10409,primary
10410,primary
10411,primary
10412,primary
10413,primary
10414,primary
10415,primary
10416,primary
12452,primary
12453,primary
12454,living_street
12455,living_street
12456,residential
12457,residential
12458,residential
12459,residential
12460,residential
12463,residential
12464,residential
12465,residential
12466,secondary
12467,secondary
12468,secondary
12469,secondary
12470,secondary
12471,secondary
12472,secondary
12473,secondary
12474,secondary
12475,secondary
12476,secondary
12477,secondary
12478,secondary
12479,secondary
12480,secondary
12481,secondary
12482,secondary
12483,secondary
12484,secondary
12485,secondary
12486,secondary
12487,secondary
12488,secondary
12489,secondary
12490,secondary
12491,secondary
12492,secondary
12776,secondary
12777,secondary
12778,secondary
12779,secondary
12780,secondary
12781,secondary
12782,secondary
12783,secondary
12784,secondary
12785,secondary
12786,secondary
12787,secondary
12788,secondary
16009,residential
16010,residential
16011,residential
16045,tertiary
16046,tertiary
16047,tertiary
16048,tertiary
17705,primary_link
17728,primary
17729,primary
26161,primary
26162,primary
29180,primary_link
30957,tertiary
31051,residential
31052,secondary
31053,secondary
31054,secondary
31055,secondary
31056,secondary
31057,secondary
31058,secondary
31059,secondary
31060,secondary
31114,secondary
31115,secondary
31127,tertiary
31129,secondary
31130,secondary
31131,tertiary
31132,tertiary
31133,tertiary
31134,tertiary
31135,tertiary
31214,residential
31215,residential
31218,residential
31330,tertiary
31333,tertiary
31334,secondary
31342,secondary
31343,secondary
31344,primary_link
31345,primary_link
31346,primary
31347,residential
31348,residential
31349,residential
31350,residential
31362,residential
31363,residential
31364,primary
31365,primary
31366,primary
31367,primary
31368,primary
31369,primary
31392,tertiary
31395,secondary
31396,secondary
31397,secondary
31398,secondary
31399,secondary
31400,secondary
31401,secondary
31402,secondary
31403,secondary
31404,secondary
31405,secondary
31406,secondary
31407,secondary
31408,tertiary
31409,track
31658,primary
31659,primary
31660,primary
32604,tertiary
32605,tertiary
32606,residential
32607,residential
32608,residential
32609,residential
32610,secondary
32611,secondary
32612,secondary
32613,secondary
35609,tertiary
35611,secondary
35612,secondary
35613,secondary
35617,residential
35618,residential
35623,tertiary
35624,tertiary
35625,tertiary
35626,tertiary
35627,tertiary
35635,tertiary
35638,secondary
35639,secondary
35640,secondary
35641,secondary
35642,secondary
35643,tertiary
35644,tertiary
35646,secondary
35647,secondary
35648,secondary
35649,secondary
35650,secondary
35651,secondary
35652,secondary
35653,secondary
35654,secondary
35655,secondary
35656,secondary
35657,secondary
35658,secondary
35659,secondary
35660,tertiary
35661,tertiary
35662,tertiary
35663,tertiary
35664,tertiary
35665,tertiary
35666,tertiary
35667,tertiary
35668,tertiary
35669,residential
35695,residential
35696,residential
35761,residential
35762,residential
35766,tertiary
35767,tertiary
35768,tertiary
35771,secondary
36104,tertiary
36105,tertiary
36106,tertiary
36107,tertiary
36108,tertiary
36109,tertiary
36110,tertiary
36111,tertiary
36112,tertiary
36113,tertiary
36123,tertiary
36124,tertiary
36125,tertiary
36128,tertiary
36129,residential
36133,primary
36134,primary
36135,primary
36136,primary
36137,primary
36181,primary
36182,primary
36183,primary
36184,primary
36185,motorway_link
36444,secondary
36445,tertiary
37303,primary
37304,primary
37305,primary
37542,motorway
37543,primary
37544,primary
40484,tertiary
40485,tertiary
40486,tertiary
40487,tertiary
40488,tertiary
40489,tertiary
40490,tertiary
40491,tertiary
40492,tertiary
40493,tertiary
40494,tertiary
40506,tertiary
40508,tertiary
40509,tertiary
40765,primary
40766,primary
40767,primary
40768,primary
40769,primary
40770,primary
40771,primary
40772,primary
40773,primary
40774,primary
40775,primary
40776,primary
40795,motorway
42865,primary
42867,primary_link
42888,primary
42889,primary
42890,primary
42891,primary
42892,primary
42893,primary
42894,primary
42895,primary
42896,primary
42897,primary
42898,primary
42899,primary
42900,primary
42901,primary
42902,primary
42903,primary
42904,primary
42905,primary
42906,primary
42907,primary
42908,primary
42909,primary
42910,primary
42911,primary
42912,primary
42913,primary
42914,primary
42924,motorway_link
42925,motorway_link
43515,primary
43516,primary
43517,primary
43518,primary
43519,secondary
43520,primary
43521,primary
43522,primary
43535,secondary
43536,secondary
43537,secondary
43538,secondary
43539,secondary
43540,secondary
43541,secondary
43542,secondary
43543,secondary
43544,secondary
43545,secondary
43546,secondary
43547,secondary
43548,secondary
43549,secondary
43550,secondary
43551,secondary
43552,secondary
43553,secondary
43554,secondary
43555,secondary
43556,secondary
43557,secondary
43570,primary
43571,primary
43572,primary
43575,primary
43576,primary
43577,primary
43578,primary
43579,primary
43580,primary
43581,primary
43582,primary
43583,primary
43584,primary
43585,primary
43586,primary
43587,primary
43589,primary_link
43590,primary
46271,secondary
48543,primary
48706,primary
48707,primary
48708,primary
51558,tertiary
53386,secondary
53387,secondary
53388,residential
53389,track
53391,tertiary
54104,service
54105,primary
54106,primary
54107,residential
54108,residential
54109,residential
54110,residential
54111,residential
54112,residential
54113,residential
54114,residential
54115,residential
54116,residential
54117,residential
55230,tertiary
55231,tertiary
55232,tertiary
55233,tertiary
55234,tertiary
55235,tertiary
55236,tertiary
55237,tertiary
55238,tertiary
55239,tertiary
55240,tertiary
55241,tertiary
55242,tertiary
55243,tertiary
55244,tertiary
55245,tertiary
55246,tertiary
55247,tertiary
55248,tertiary
55249,residential
55250,residential
55251,residential
55258,residential
55259,residential
55260,residential
55261,residential
55262,residential
55263,residential
55264,residential
55265,residential
55266,residential
55267,residential
55268,residential
55269,residential
55270,residential
55271,residential
55277,residential
55278,residential
55279,residential
55281,primary_link
55291,residential
55364,secondary
55365,secondary
55366,secondary
55367,secondary
55368,secondary
55369,secondary
