,Time Error [s],Whole trip time
0,-294.70303870938926,616
1,370.713015580121,2146
2,228.61494395116847,971
3,-161.29922693207448,599
4,-364.11602342030505,1360
5,-174.19017507869637,624
6,116.18118193027465,885
7,-396.11352530264844,1359
8,-535.6891850522982,1140
9,-174.38255793117492,599
10,-581.4951462159177,1198
11,-656.290118559303,1015
12,-12.38505604883153,730
13,-241.81659750513018,691
14,-212.70303870938926,698
15,-82.38581789027319,766
16,-600.6722653177967,1125
17,-98.29922693207448,662
18,-476.6916831699548,1168
19,-172.19017507869637,626
20,-859.6428393825831,1929
21,-590.2010246588261,1036
22,-301.68918505229817,1374
23,-599.5023506129864,1162
24,-246.2375496633116,639
25,-287.7329889529683,499
26,-702.901293248965,962
27,-66.99623073849352,669
28,-277.81409938747356,686
29,-530.5529876182648,1181
30,-96.38255793117492,677
31,-557.6916831699548,1087
32,-149.81659750513018,783
33,-441.2834400074587,1278
34,-515.95111716267,1137
35,-231.81409938747356,732
36,-141.18767696103976,688
37,11.861081128769342,1013
38,-75.18767696103976,754
39,-106.38505604883153,636
40,-159.70553682704588,720
41,-642.1063209055797,1131
42,-20.385817890273188,828
43,-140.2400477809682,714
44,837.6149439511685,1580
45,-118.80134976835836,673
46,-91.81409938747356,872
47,-458.68918505229817,1217
48,-169.45669665432376,666
49,-421.3568622075095,1188
50,-197.2375496633116,688
51,-3.385817890273188,845
52,-333.49514621591766,1446
53,-200.66872286511625,742
54,-13.237549663311597,872
55,253.30831683004521,1898
56,-479.6916831699548,1165
57,-194.18767696103976,635
58,-268.8662036963808,1322
59,25.198650231641636,817
60,-70.38505604883153,672
61,-440.10632090557965,1333
62,-56.94290234452069,702
63,-281.6916831699548,1363
64,-110.81957991116701,764
65,-1283.1098305139767,1975
66,-431.2859381251153,1257
67,-53.38505604883153,689
68,-164.6239370995902,660
69,-481.3562726425989,1139
70,-85.24004778096821,769
71,-155.2400477809682,699
72,-277.2375496633116,608
73,-425.0818803310665,1155
74,-3.296728814417861,788
75,-226.38505604883153,516
76,-200.4001524883729,647
77,-438.10632090557965,1335
78,80.61744206882508,854
79,-201.95111716267002,1451
80,151.61494395116847,894
81,-385.3568622075095,1224
82,-631.1063209055797,1142
83,-225.35524198118162,507
84,-439.6910936050442,1216
85,126.61744206882508,900
86,-419.2834400074587,1300
87,-214.36090889133357,775
88,-160.38505604883153,582
89,72.75995221903179,927
90,-46.801349768358364,745
91,-296.0490294410429,555
92,26.883976579694945,1751
93,-8.711310797612668,1176
94,-397.10881902323626,1345
95,-447.11352530264844,1308
96,-113.99623073849352,622
97,-238.44372182916766,619
98,-0.29922693207447537,760
99,-413.68918505229817,1262
100,-144.7997467254255,620
101,-119.38581789027319,729
102,51.18590061252644,1015
103,-132.18767696103976,697
104,-75.38255793117492,698
105,-128.38331977261657,751
106,-18.383319772616574,861
107,-175.94366418596235,689
108,-367.95111716267,1285
109,-44.705536827045876,835
110,-259.3833197726166,620
111,-300.567283689011,682
112,-121.0021670936876,1446
113,-89.18767696103976,740
114,17.75995221903179,872
115,-291.70303870938926,619
116,-413.3568622075095,1196
117,-618.6891850522982,1057
118,-212.38505604883153,530
119,-330.3858178902732,518
120,-457.2859381251153,1231
121,-93.38505604883153,649
122,-107.1783934374647,638
123,-57.38505604883153,685
124,-172.81409938747356,791
125,-10.56868969395623,1355
126,-162.29672881441786,629
127,-381.11352530264844,1374
128,-526.6910936050442,1129
129,-349.18767696103976,480
130,-134.38255793117492,639
131,-428.6722653177967,1297
132,-176.99623073849352,559
133,-154.19017507869637,644
134,141.29446317295412,1021
135,-261.3833197726166,618
136,7.003007420064819,849
137,-472.6910936050442,1183
138,-512.290118559303,1159
139,-294.68918505229817,1381
140,-73.38505604883153,669
141,217.57763274785765,340
142,-80.24004778096821,774
143,-512.6910936050442,1143
144,-298.25542303140423,1351
145,-122.13891887123066,879
146,-71.19017507869637,727
147,-273.2400477809682,581
148,-613.1135253026484,1142
149,-139.1885720357635,632
150,10.003769261506477,746
151,-162.38255793117492,611
152,-283.7517294717478,672
153,-295.5689704041763,1303
154,-62.38505604883153,680
155,43.80982492130363,842
156,131.61668022738343,1011
157,-479.10632090557965,1294
158,19.614182109726812,868
159,-132.0080680760235,629
160,-33.81881806972535,735
161,-158.38255793117492,615
162,-427.3562726425989,1193
163,-125.18767696103976,704
164,-131.2400477809682,723
165,-483.68918505229817,1192
166,-241.2859381251153,1447
167,-576.0780103626362,1106
168,-252.69168316995479,1392
169,-509.3568622075095,1100
170,918.1834024948698,1851
171,43.61418210972681,892
172,-230.81659750513018,702
173,-124.81881806972535,644
174,-227.38255793117492,546
175,-122.81659750513018,810
176,433.6365487219564,1246
177,-468.0780103626362,1214
178,-241.81409938747356,722
179,245.30890639495578,1901
180,-337.8165975051302,595
181,-218.38505604883153,524
182,-320.10632090557965,1453
183,-65.19017507869637,733
184,-98.91040162173647,655
185,-548.2834400074587,1171
186,-153.38505604883153,589
187,-476.2834400074587,1243
188,-77.18767696103976,752
189,-105.19017507869637,693
190,-240.2400477809682,614
191,-127.19017507869637,671
192,-162.38505604883153,580
193,-172.819579911167,702
194,-499.2859381251153,1189
195,-712.0774207977256,981
196,-283.2400477809682,571
197,-113.29922693207448,647
198,-298.2400477809682,556
199,-87.38255793117492,686
200,-476.10632090557965,1297
201,203.2138522871063,952
202,-3.187676961039756,826
203,-63.24004778096821,791
204,350.6447580188184,1083
205,-268.2375496633116,617
206,-209.38505604883153,533
207,-1026.1779997022768,2216
208,15.643137792490506,1625
209,-650.9037913666216,983
210,-59.38505604883153,683
211,-572.1616850409789,730
212,-600.5023506129864,1161
213,-637.7647645202755,993
214,-192.19017507869637,606
215,-451.7124074720541,1121
216,-656.6910936050442,999
217,-50.24004778096821,804
218,-245.81659750513018,687
219,-174.07801036263618,1508
220,-238.6722653177967,1487
221,-70.38581789027319,778
222,-190.99623073849352,545
223,-278.68918505229817,1397
224,-524.9037913666216,1109
225,59.71301558012101,1835
226,-515.6722653177967,1210
227,-384.0976556706937,723
228,-642.9037913666216,991
229,-179.2375496633116,706
230,-292.38505604883153,450
231,0.08959837826353123,754
232,-143.18767696103976,686
233,-558.6891850522982,1117
234,215.7599522190318,1070
235,4.071603536463783,111
236,-89.0080680760235,672
237,-224.29922693207448,536
238,-147.2859381251153,1541
239,1054.182630867031,2247
240,-194.81409938747356,769
241,-173.42777219479217,753
242,-612.2554230314042,1037
243,607.8098249213036,1406
244,-617.6891850522982,1058
245,-253.19017507869637,545
246,-485.2859381251153,1203
247,-274.81881806972535,494
248,-705.2834400074587,1014
249,-244.67380980186203,636
250,-223.81659750513018,709
251,-139.18767696103976,690
252,-166.19017507869637,632
253,105.64475801881838,838
254,-59.42777219479217,867
255,-120.99623073849352,615
256,-149.52684462088462,685
257,-252.3858178902732,596
258,-202.6885954873876,1484
259,-521.1135253026484,1234
260,-378.75009356089265,616
261,-651.901293248965,1013
262,-21.38505604883153,721
263,-106.19017507869637,692
264,-345.901293248965,1319
265,-165.38505604883153,577
266,-0.09463781057820597,1559
267,100.26149635999661,386
268,-33.12708640906783,961
269,3.358053447623888,1015
270,172.43562943482175,1211
271,425.81589598454167,877
272,212.17410962349243,373
273,114.53623103889402,342
274,-475.21142770862957,1506
275,-458.21142770862957,1523
276,-700.9496264946574,1304
277,111.83359685956867,347
278,-118.28593812511531,1570
279,-478.2910268189414,1157
280,-48.187676961039756,781
281,16.700773067925525,777
282,-212.19017507869637,586
283,-164.20956893950165,814
284,-57.56437056517825,981
285,-142.0626047103474,1003
286,-66.97677559359022,1096
287,-227.8677237402121,973
288,128.43433447868642,1279
289,-56.367722998212685,283
290,116.25325047499769,467
291,295.2599387402495,474
292,6.247437440840201,267
293,-862.5921542367814,1715
294,130.6330388432289,364
295,126.31911789135592,399
296,457.3689905936276,674
297,-250.289350903931,278
298,85.72264101572114,320
299,260.00680254220424,366
300,-462.0787793250138,1857
301,-141.38505604883153,601
302,-132.19017507869637,666
303,-429.46179092855755,1607
304,53.16680389907947,403
305,-184.75991832137197,375
306,-7.638315130785372,398
307,34.16680389907947,384
308,-175.63685364478647,458
309,15.889307037988715,465
310,-99.5323560100083,359
311,-154.84207586976652,466
312,-371.26887850683465,958
313,965.1643080668633,985
314,-172.0626047103474,973
315,-139.8677237402121,1061
316,-238.8677237402121,962
317,-5.062604710347387,1140
318,-472.25736333760415,1596
319,-550.638601524417,1504
320,-807.2650239508507,1382
321,-217.24391041117804,578
322,67.2474374408402,328
323,237.74256816719395,589
324,67.2474374408402,328
325,164.31911789135592,437
326,-52.55768158902458,264
327,-84.38581789027319,764
328,-164.38255793117492,609
329,-200.81277600049611,931
330,-176.38505604883153,566
331,4.392445708703633,377
332,32.2474374408402,293
333,157.3689905936276,374
334,34.2474374408402,295
335,-55.55768158902458,261
336,-24.557681589024583,292
337,-265.48423187406615,207
338,-33.46941745482019,291
339,30.442318410975417,347
340,113.17410962349243,274
341,-981.5331628803647,1546
342,-63.75332440060134,303
343,170.20149738693033,594
344,-80.61838238075472,263
345,-36.55768158902458,280
346,195.3689905936276,412
347,403.3689905936276,620
348,-1124.5921542367814,1453
349,-373.89999087505373,274
350,18.71873952107535,344
351,11.392445708703633,384
352,173.17410962349243,334
353,-3.857810203086615,400
354,166.25993874024948,345
355,-18.753324400601343,348
356,146.25993874024948,325
357,-714.8405746412791,1328
358,60.967006253617114,331
359,-78.75756688007147,268
360,-44.55044900783366,235
361,-752.2809625750529,1876
362,-38.12145732083968,328
363,-15.273176160040293,263
364,-145.6332516069221,333
365,662.6510577765364,999
366,18.733534411296773,273
367,40.02952964476543,298
368,-20.033755587824373,356
369,-2.1806364719461726,270
370,550.9391398697439,978
371,21.422976142427615,401
372,22.539723438088117,363
373,82.65953324332665,303
374,-64.5318769636508,382
375,31.413053633082654,423
376,-35.03375558782437,341
377,2.733534411296773,257
378,-110.40201181153304,338
379,372.02876780332394,736
380,-144.6028098554777,334
381,-27.902575147934982,207
382,-100.16997113362117,269
383,-31.267227430144658,329
384,-102.69800704500165,342
385,-20.07158461856801,290
386,-52.757566880071465,294
387,3.804541511190166,336
388,-70.07158461856801,240
389,-27.77558938509941,286
390,-77.12145732083968,289
391,49.97967158889787,563
392,-76.48200426137913,314
393,-87.67764707295578,353
394,-176.86186430014476,283
395,10.096663010623558,351
396,-51.03375558782437,325
397,-988.3008220849474,1562
398,-64.12145732083968,302
399,-45.8879854785194,336
400,-389.89461537794796,2073
401,-100.36896396499151,297
402,-81.57702385757239,298
403,-68.26722743014466,292
404,-100.26722743014466,260
405,651.6595332433267,872
406,-37.03375558782437,339
407,-1.0329937463828855,269
408,1.4237379838690458,275
409,-529.2205127654702,2039
410,-45.971232196676056,318
411,11.79754775792702,199
412,-24.368202123550077,267
413,43.86280712688,262
414,115.42297614242761,495
415,314.39911403483615,695
416,74.6436031885737,305
417,38.73353441129677,293
418,-56.03375558782437,320
419,-74.12145732083968,292
420,29.819363528053827,302
421,-706.9256618343493,1715
422,-111.40201181153304,337
423,-24.137954714561488,300
424,42.65877140188519,369
425,-40.12145732083968,326
426,-7.161977186604474,296
427,-917.8998951039844,1495
428,-559.9037536708502,1903
429,-44.12254468940296,248
430,-77.90434417330164,243
431,41.73353441129677,296
432,-44.195458488809834,288
433,-112.26722743014466,248
434,-139.86832174485426,211
435,-31.032993746382886,239
436,-44.90434417330164,276
437,-118.12145732083968,248
438,198.11290682500805,452
439,-47.26646558870323,207
440,-114.03375558782437,262
441,-46.8879854785194,335
442,23.647741197875945,237
443,217.41305363308265,609
444,44.73353441129677,299
445,4.096663010623558,345
446,-22.266465588703227,232
447,-2.195458488809834,330
448,920.6658833957665,1346
449,-20.033755587824373,356
450,-36.12145732083968,330
451,-119.69800704500165,325
452,-93.6173985959054,331
453,-85.8879854785194,296
454,57.519867172746615,308
455,-37.12145732083968,329
456,-148.6139262040491,345
457,-1053.7724452618713,1507
458,-72.63153092511703,347
459,-23.46881897161694,305
460,33.47456044882642,376
461,-80.83811277624773,245
462,79.82864180036876,220
463,-39.26646558870323,215
464,-84.07158461856801,226
465,-33.97834534127179,253
466,-84.8879854785194,297
467,32.02165465872821,319
468,-29.267227430144658,331
469,-98.26722743014466,262
470,310.80454151119017,643
471,-29.266465588703227,225
472,375.09742485206505,610
473,-95.33411660423343,330
474,74.9749926695945,194
475,-84.48089466869482,272
476,-104.97123219667606,259
477,-74.19545848880983,258
478,44.65953324332665,265
479,16.804541511190166,349
480,-5.195458488809834,327
481,35.71784041862435,431
482,9.242433119928535,356
483,-250.70214247727108,1975
484,-814.7976704219213,1380
485,-657.8752464091194,1510
486,-543.6054717245415,1637
487,-731.361690622527,1458
488,-736.8752464091194,1431
489,-682.185222882938,1516
490,-627.361690622527,1562
491,-2871.5123155277647,910
492,-556.613037168649,2150
493,-328.68950569497656,1896
494,-683.9748394544163,1515
495,-511.361690622527,1678
496,-670.7976704219213,1524
497,-781.0739635722325,1377
498,-555.0739635722325,1603
499,-452.3074592882699,1788
500,-616.4108192538106,1588
501,-548.361690622527,1641
502,-868.9796442158204,1336
503,-862.5604077856401,1317
504,-649.361690622527,1540
505,-1844.2194572300336,2122
506,-725.6895056949766,1499
507,-538.0739635722325,1620
508,-356.9963875850344,1828
509,-719.6895056949766,1505
510,-662.0739635722325,1496
511,-378.3330280332759,1357
512,-510.5604077856401,1669
513,-103.92011536805967,1031
514,-406.2900891914692,1775
515,412.1106806109307,769
516,-1806.204983084373,2184
517,-550.361690622527,1639
518,-342.3415854350951,1512
519,-271.9963875850344,1913
520,-1662.6992907202812,2216
521,-1924.2947840185507,1900
522,-487.4108192538106,1717
523,-331.1047596681865,1884
524,-425.9963875850344,1759
525,-304.81328513152016,1352
526,-471.79767042192134,1723
527,-754.7976704219213,1440
528,24.949084471696892,353
529,-249.87524640911943,1918
530,-600.7976704219213,1594
531,23.560670491999915,38
532,-526.7005270963996,2236
533,-870.5976711111389,1218
534,-770.4393496760094,1820
535,-738.4883952410087,1439
536,-505.9963875850344,1679
537,-545.5604077856401,1634
538,-387.79767042192134,1807
539,-303.8752464091194,1864
540,-2815.076686092946,2005
541,-522.7976704219213,1672
542,-469.4108192538106,1735
543,-70.87524640911943,2097
544,-596.8079181387843,2054
545,-435.0739635722325,1723
546,-780.4932000024128,1403
547,-204.94932460544442,858
548,-2916.154262080144,1877
549,-458.8752464091194,1709
550,-2934.154262080144,1859
551,-1647.773441628075,2152
552,-733.4108192538106,1471
553,-558.8752464091194,1609
554,-1544.3096209792907,2288
555,-566.185222882938,1632
556,-424.8079181387843,2226
557,-526.7976704219213,1668
558,-1980.8941716904164,1842
559,-3060.4812359554053,1753
560,-763.6535179214834,1808
561,174.42300425678894,510
562,694.7729851576578,1066
563,-194.79767042192134,2000
564,-358.0739635722325,1800
565,45.940230357458574,340
566,138.77251371799284,317
567,163.57763274785765,286
568,133.20717443313498,503
569,116.00604070076275,328
570,165.18204980507534,230
571,168.53047719308537,207
572,1383.8570142896494,1832
573,271.57763274785765,394
574,117.14609129155917,430
575,80.77251371799284,259
576,-3.204777910404914,179
577,1578.1209869840463,2001
578,167.00680254220424,273
579,54.783724157296945,346
580,180.00680254220424,286
581,114.76542383442273,387
582,-4.853908708440827,308
583,71.15181081006773,289
584,126.99010305973027,365
585,-746.5499900668201,1749
586,22.429375538319192,53
587,148.57763274785765,271
588,212.53047719308537,251
589,795.2726038487273,1191
590,194.57687090641616,423
591,101.72264101572114,336
592,141.09893573678687,370
593,61.34768217477949,380
594,171.7944602481536,460
595,101.57763274785766,224
596,139.20168351233943,301
597,77.15181081006773,295
598,129.57763274785765,252
599,149.00604070076275,361
600,125.57763274785766,248
601,292.61630630984246,349
602,331.5304771930854,370
603,288.5297153516439,433
604,87.15181081006773,305
605,115.57687090641616,344
606,48.72264101572114,283
607,192.61965372511776,459
608,215.18204980507534,280
609,157.32705807293883,334
610,168.18128796363385,339
611,43.57763274785766,166
612,131.00680254220424,237
613,24.765423834422734,297
614,-52.216275842703055,239
615,309.00604070076275,521
616,152.72454500619057,350
617,-125.58848231233799,302
618,238.72264101572114,473
619,197.00604070076275,409
620,18.03362370075945,237
621,156.77251371799284,335
622,124.57763274785766,247
623,-929.1256498164694,1487
624,35.57687090641616,264
625,312.6754854609489,463
626,-761.3573141427196,1826
627,186.57687090641616,415
628,139.33209592493478,296
629,-314.6882935598368,269
630,207.61640202478486,379
631,104.00680254220426,210
632,731.1480897859292,1240
633,-414.50737647661845,2121
634,307.97787540001485,621
635,163.18204980507534,228
636,52.006802542204255,158
637,69.62041556655927,230
638,136.00680254220424,242
639,194.77292804852323,394
640,13.833596859568672,249
641,88.79522208959509,271
642,124.37693077521052,245
643,162.15181081006773,380
644,175.63871588943348,355
645,297.892598608487,403
646,-809.6427088875162,1718
647,95.14825720953847,187
648,186.09263165896132,310
649,101.18204980507532,166
650,112.72264101572114,347
651,68.72264101572114,303
652,60.20168351233943,222
653,-723.6015343024005,1870
654,666.1888741102607,1017
655,172.57763274785765,295
656,94.72264101572114,329
657,65.72264101572114,300
658,158.00680254220424,264
659,83.57763274785766,206
660,196.6754854609489,347
661,156.09893573678687,385
662,171.20168351233943,333
663,90.94023035745857,385
664,228.2966026994044,360
665,150.15181081006773,368
666,237.6754854609489,388
667,90.79522208959509,273
668,185.892598608487,291
669,-98.1786488171914,415
670,107.40132567585289,499
671,85.57763274785766,208
672,-882.9696209551716,1784
673,47.620415566559274,208
674,61.343138179673645,209
675,119.14825720953847,211
676,108.00680254220426,214
677,-41.2055397518464,247
678,127.00680254220426,233
679,190.66346186461473,331
680,62.66346186461473,203
681,155.00680254220424,261
682,252.52971535164392,397
683,-16.277358984278862,218
684,378.5304771930854,417
685,569.9931097527482,1024
686,200.18204980507534,265
687,195.00680254220424,301
688,141.20168351233943,303
689,225.18128796363385,396
690,103.7944602481536,392
691,102.57763274785766,225
692,-118.85390870844083,194
693,177.18204980507534,242
694,93.20168351233943,255
695,140.00680254220424,246
696,-939.1256498164694,1477
697,201.57687090641616,430
698,56.7944602481536,345
699,90.85577057581591,180
700,171.18128796363385,342
701,68.83359685956867,304
702,-47.051863238131716,174
703,72.00680254220426,178
704,129.53047719308537,168
705,-23.1151469329655,415
706,-587.1252688349823,1921
707,180.7505083487768,436
708,130.6754854609489,281
709,1359.6163063098425,1416
710,328.18204980507534,393
711,-23.42473891409429,273
712,-12.06321128745094,2355
713,60.939754163259266,250
714,130.37693077521052,251
715,1582.7505083487767,1838
716,26.63795404799197,312
717,172.57763274785765,295
718,29.293265477401945,233
719,26.66346186461473,167
720,241.53047719308537,280
721,84.71671575323995,367
722,104.57763274785766,227
723,-515.186732958045,1844
724,299.7505083487768,555
725,207.57763274785765,330
726,493.18204980507534,558
727,182.97787540001485,496
728,93.57605871020908,248
729,106.00680254220426,212
730,155.18204980507534,220
731,33.57763274785766,156
732,9.902926130588185,183
733,235.52971535164392,380
734,92.57687090641616,321
735,117.09893573678687,346
736,125.77251371799284,304
737,109.57763274785766,232
738,171.29767653192755,752
739,636.7944602481537,925
740,129.57763274785765,252
741,-72.85390870844083,240
742,145.57687090641616,374
743,1069.5768709064162,1298
744,51.795222089595086,234
745,-38.52525868861909,281
746,118.32705807293883,295
747,116.57526108590571,413
748,-41.75082824430959,199
749,4.495174203499488,214
750,-5.853908708440827,307
751,266.9310386518771,669
752,119.00680254220426,225
753,106.57763274785766,229
754,46.7944602481536,335
755,69.94817531139432,228
756,90.72264101572114,325
757,173.14609129155917,486
758,49.57526108590571,346
759,-34.84818918993227,183
760,69.20168351233943,231
761,78.00680254220426,184
762,152.57687090641616,381
763,328.63795404799197,614
764,185.63871588943348,365
765,126.14609129155917,439
766,67.46938066487354,258
767,14.576870906416161,243
768,-16.42473891409429,280
769,567.3769307752106,688
770,63.15181081006773,281
771,32.15181081006773,250
772,-964.6038688113272,1492
773,-46.55158238589922,220
774,74.77251371799284,253
775,151.00680254220424,257
776,101.00680254220426,207
777,101.20168351233943,263
778,188.53047719308537,227
779,66.83359685956867,302
780,80.57763274785766,203
781,129.39929299527302,239
782,162.37693077521052,283
783,206.53047719308537,245
784,89.57763274785766,212
785,624.3636806332966,997
786,107.63871588943348,287
787,171.88105120635217,372
788,69.57763274785766,192
789,55.006802542204255,161
790,27.006802542204255,133
791,-76.85390870844083,236
792,177.99010305973027,416
793,459.00680254220424,565
794,141.77251371799284,320
795,-37.59867432414711,354
796,45.57526108590571,342
797,206.18204980507534,271
798,303.18128796363385,474
799,29.620415566559274,190
800,12.686321763990065,256
801,316.2016835123394,478
802,4.722641015721138,239
803,-41.02877607399478,1690
804,154.72535816322056,249
805,117.18204980507532,182
806,72.00604070076275,284
807,116.28589542196318,394
808,39.330995683008666,485
809,-84.24733908258179,393
810,-17.59714756666864,359
811,-37.541417794729796,475
812,-74.3374750398732,440
813,-152.3374750398732,362
814,45.661093506576776,723
815,-162.96389746630666,486
816,-85.66900431699133,360
817,14.166803899079468,364
818,-129.26473755721906,411
819,-66.62302762460592,302
820,-55.305573932146444,338
821,-19.068261632960855,418
822,506.50311046533216,1860
823,43.69458587333128,454
824,-128.26552614560455,414
825,-14.40226659653348,418
826,-80.5323560100083,378
827,-113.75271304083367,446
828,-35.11813433523258,458
829,-17.17023459460688,508
830,53.0875223267754,442
831,376.57185334552923,801
832,-149.4105344134681,281
833,-188.5323560100083,270
834,-319.18418677380487,333
835,-273.7606801628135,392
836,60.3118121669429,522
837,-117.68642606259323,283
838,-147.49154509245807,309
839,-15.54699974156864,407
840,31.16680389907947,381
841,53.45300025843136,476
842,-474.72949970033005,1844
843,-33.3374750398732,481
844,25.40285243333136,402
845,4.1668038990794685,354
846,-0.6881878330570999,461
847,58.166042057637924,514
848,260.24008167862803,820
849,7.108921856851907,435
850,-47.17023459460688,478
851,-25.833957942362076,430
852,37.36168486921463,443
853,-140.4105344134681,290
854,-111.26390444453756,376
855,-194.3873477421448,376
856,-102.3374750398732,412
857,-14.65982398878566,416
858,24.16680389907947,374
859,-38.5323560100083,420
860,-279.4091126652113,301
861,-166.3374750398732,348
862,147.15069421174866,517
863,190.91469780337127,608
864,-8.153676879134764,479
865,-172.18342493236332,374
866,-97.5323560100083,361
867,-212.18342493236332,334
868,-124.75991832137197,435
869,-1.0219454041871927,363
870,-41.17731348633896,358
871,-29.428146654470765,395
872,31.06410325355006,489
873,52.16680389907947,402
874,157.91393596192972,681
875,-104.38734774214481,466
876,-49.3374750398732,465
877,46.694426067853556,440
878,-274.26327607121993,494
879,-28.446526893251246,448
880,-115.38734774214481,455
881,-11.638315130785372,394
882,-137.2473390825818,340
883,327.4668821485502,892
884,229.64471317105955,696
885,-43.59714756666864,333
886,-147.4105344134681,283
887,-54.30541412666872,356
888,150.40285243333136,527
889,-73.23295845143889,453
890,-100.26552614560455,442
891,-427.26327607121993,341
892,-155.4521392988052,333
893,-1.1023308147182433,588
894,-74.14182479954343,529
895,-128.4105344134681,302
896,-75.26473755721906,465
897,-48.26390444453756,439
898,-32.9124776732246,356
899,-28.263142603096014,353
900,-132.11813433523258,361
901,-230.26327607121993,538
902,40.47277757634305,522
903,-181.41129625490964,355
904,-55.7418807117038,311
905,91.9290723207896,457
906,93.5894655865319,524
907,101.16680389907947,451
908,-196.63685364478647,437
909,0.16680389907946847,350
910,-33.913239514666145,461
911,5.931738367039145,443
912,-96.32117158453514,273
913,-279.75991832137197,280
914,-133.44652689325125,343
915,-91.5323560100083,367
916,-87.69581953945436,316
917,-130.47403467682636,405
918,-6.623027624605925,362
919,-46.324705296711045,402
920,-138.67083306263555,408
921,143.25263301583652,511
922,214.92831047934806,686
923,8.662524960126802,523
924,-116.4105344134681,314
925,-225.98854396222828,376
926,-73.62378946604747,401
927,-0.32470529671104487,448
928,-90.5323560100083,368
929,-100.08530219662873,317
930,55.16680389907947,405
931,209.9290723207896,575
932,131.16680389907947,481
933,-4.623789466047469,470
934,-37.93589674644994,420
935,-154.6946840593946,417
936,113.37621053395253,588
937,-89.4105344134681,341
938,-6.8331961009205315,343
939,44.16680389907947,394
940,-150.9223406735956,328
941,-154.26552614560455,388
942,-22.235026151267107,421
943,-35.876388765240335,438
944,-38.89838037015318,500
945,-49.02270724562874,421
946,-89.5323560100083,369
947,-32.63831513078537,373
948,-62.50029509680388,292
949,87.82268651366104,487
950,53.0648650949916,405
951,-89.4105344134681,341
952,6.816575067636677,553
953,-124.5323560100083,334
954,23.815813226195132,676
955,235.12395329092476,656
956,-28.4105344134681,402
957,-53.09759581560627,511
958,-264.8317346149215,313
959,-141.02868902296723,426
960,-143.4721835580408,569
961,141.16680389907947,491
962,-137.90422241321141,871
963,-134.66007978964444,914
964,-39.93253220888823,1047
965,-90.66827971634143,939
966,-117.61806835087759,900
967,1.86800704769621,1007
968,-125.56437056517825,913
969,-150.1319929523038,855
970,-139.7376557768422,882
971,-82.64194655237611,929
972,-31.695644338075454,959
973,-155.1319929523038,850
974,-179.7376557768422,842
975,-191.56437056517825,847
976,6.339920210355558,1055
977,-110.90422241321141,898
978,-114.33779548746838,948
979,-223.513098487947,826
980,-142.6419465523761,869
981,175.01820159959072,1157
982,12.33172028365857,1042
983,33.79043106049835,1012
984,213.30398684709053,1213
985,-71.64194655237611,940
986,-321.56437056517825,717
987,-15.641946552376112,996
988,-65.20956893950165,913
989,6.339920210355558,1055
990,-119.69601315290947,880
991,-7.660079789644442,1041
992,-37.66007978964444,1011
993,7.435629434821749,1046
994,47.33992021035556,1096
995,-66.07225043050585,1045
996,91.34353330867998,1177
997,523.3840634015455,1617
998,-220.7376557768422,801
999,-181.1319929523038,824
1000,0.8680070476962101,1006
1001,-56.695644338075454,934
1002,-18.13199295230379,987
1003,130.09577758678859,1139
1004,-51.56437056517825,987
1005,129.33172028365857,1159
1006,199.30435566192455,1190
1007,-61.13199295230379,944
1008,-315.9042224132114,693
1009,-99.90422241321141,909
1010,-128.56437056517825,910
1011,-205.59070372914357,851
1012,86.33172028365857,1116
1013,-114.69564433807545,876
1014,-59.128390765783934,974
1015,-63.13199295230379,942
1016,-65.64194655237611,946
1017,18.86800704769621,1024
1018,-317.91155073488244,733
1019,-115.13199295230379,890
1020,152.77590000974988,1196
1021,-109.12839076578393,924
1022,-51.69601315290947,948
1023,-208.66007978964444,840
1024,-80.64194655237611,931
1025,-164.59070372914357,892
1026,-174.12839076578393,859
1027,-205.1319929523038,800
1028,-25.20956893950165,953
1029,-17.13199295230379,988
