,Time Error [s],Whole trip time
0,-198.9632250662503,611
1,126.77590010873632,1309
2,-274.5679712908295,1020
3,-381.1382272759149,1180
4,-189.7364413801672,745
5,-230.9356749680012,1157
6,-258.4287414854357,736
7,-379.2736345278388,739
8,-356.25315016881814,583
9,23.482072129843573,1125
10,-407.40852972548396,807
11,-105.97839074904005,346
12,-135.11924217604383,1425
13,44.72047005506397,1553
14,147.33314117014993,1336
15,-512.4010504655587,978
16,-190.7162864443701,670
17,-418.0171657582491,832
18,-269.1767696543327,614
19,-98.37740151569852,326
20,-356.24435075087285,610
21,-229.37820962243381,1013
22,-101.7385323478643,1245
23,-278.62351370580905,620
24,-57.5673266877684,1583
25,-361.7410197221891,741
26,-273.1192421760438,1287
27,-496.4333642931024,809
28,-418.33194742815226,1182
29,-414.4929160294148,967
30,-506.4949157604867,733
31,-282.1765117585901,814
32,33.10309109768059,1495
33,-502.09729271070523,955
34,-355.15819833585147,683
35,-405.1092612987293,632
36,-186.9824483177274,819
37,-263.8625178024421,721
38,-285.4287414854357,709
39,31.622598484301477,456
40,-365.8443471409996,786
41,-222.58925397717962,804
42,-199.54706060205092,768
43,-135.74266155460168,643
44,9.20496879329977,415
45,3.8290446772028304,340
46,-238.8391429248652,685
47,2.234476685034224,1334
48,-162.45319817459585,650
49,-456.5400225212509,748
50,-271.03810239942175,621
51,-166.2637959995809,1260
52,-441.2786568867987,681
53,-338.18072016273914,917
54,-65.18305244571377,711
55,-198.7172595776609,729
56,348.77576092725803,2016
57,47.02356168048766,1006
58,-421.6364855558413,735
59,-238.92387370386234,506
60,-276.8263402417674,568
61,-415.559605081515,776
62,-139.5621226684392,686
63,-357.3608169050717,790
64,-168.37221486042836,595
65,67.64334109808429,169
66,-433.9481690644559,717
67,-384.8209685610202,864
68,-180.22409989126368,1002
69,-313.51959937361653,756
70,-233.63921145090808,823
71,-206.35225921806432,938
72,-10.705196280693144,1084
73,-217.83191210198584,911
74,-761.3504401133653,792
75,-435.6515006284533,1236
76,1471.799891491346,2351
77,-257.1190308805826,954
78,-105.33180824667397,1010
79,-179.70338056529442,644
80,-159.1054194451258,1152
81,-358.25315016881814,581
82,-839.6537574241306,747
83,-321.23762078962966,655
84,-307.66484566113945,866
85,-516.0729926114793,1132
86,-364.1755639286565,470
87,-194.9582915269723,1289
88,-149.42786282553266,997
89,-127.45912553062169,850
90,-600.7040668737391,1104
91,-321.5098964234653,714
92,-336.97024914888607,750
93,-85.92387370386234,659
94,-261.4582230775502,605
95,-493.98059456723627,666
96,-363.40128009532054,708
97,-283.8209685610202,965
98,-314.51959937361653,755
99,-403.33713624614757,648
100,-77.29030627915103,223
101,4.82904467720283,341
102,32.165887330971636,81
103,-356.9345478754037,762
104,-207.74266155460168,571
105,-298.4014639526721,497
106,-347.13788474803505,681
107,-183.1054194451258,1128
108,-374.77877811546773,726
109,-420.53681423228136,703
110,269.45732180509106,1018
111,-358.69503759296754,626
112,-407.5378356286499,746
113,-242.52695726918114,691
114,-257.33194742815226,1343
115,-235.74266155460168,543
116,-13.28944100435865,606
117,140.36254191566337,193
