,Time Error [s],Whole trip time
0,969.6688819407674,1937
1,-501.21699082357486,798
2,-542.505772159227,1008
3,-432.6794175276291,1108
4,-324.20626762640495,721
5,-299.8707251485921,832
6,-315.1429718612651,1015
7,-77.21020485806037,81
8,-301.5800497522878,1090
9,-298.2044384585138,971
10,-204.1446158767517,752
11,59.139767548022064,1646
12,-161.2863748214088,562
13,52.6942954500513,543
14,-458.6792146399871,713
15,-361.6683751713547,606
16,-103.91558923376601,1134
17,41.6679272769926,351
18,-176.4674976465583,921
19,-185.4674976465583,912
20,-195.5638063478823,1426
21,-224.35708247300852,713
22,-164.24744504452076,605
23,-325.90993583212264,686
24,-354.5785485145948,1532
25,-76.5504167559618,643
26,-105.3316219705066,1093
27,-111.19007751971094,778
28,-267.2034073223716,664
29,-245.22095449139715,1135
30,-126.93933817919458,691
31,-97.65284925192759,1101
32,628.0896169374078,1636
33,-233.48870532623403,489
34,-50.210204858060365,108
35,-523.5613702923729,961
36,-9.708993364989396,773
37,-245.51506888227073,851
38,-205.59686131116166,702
39,3.838318585099614,1095
40,-23.877598503563604,1078
41,-368.3570824730085,569
42,-291.53605114379013,629
43,-407.5635909296743,1225
44,-496.16232073710466,899
45,-121.37303978937359,541
46,-717.2234448818949,791
47,-279.7257602216,1055
48,-355.991809349541,744
49,-410.56347548765757,817
50,-265.0825374925471,1182
51,141.6143294744238,1214
52,-108.09852193060317,777
53,-310.61310841909085,1215
54,-358.5714732851553,600
55,258.59991121189955,989
56,-336.73538943153085,984
57,-98.15413154251974,1021
58,-379.61310841909085,1146
59,-98.59554311122201,881
60,-427.04654773411266,728
61,-292.1138120181704,832
62,-127.73327177143778,1067
63,-115.79152616299984,642
64,-311.58986324101227,690
65,-103.93602149413437,820
66,-438.1035637087291,744
67,-213.70019817494995,1334
68,-285.9716273126312,680
69,131.7711621485767,195
70,-203.6993586238142,523
71,-558.9096929806192,1124
72,-366.4402830878172,575
73,-358.1910651203391,568
74,-387.0563851756923,595
75,8.315006988357482,936
76,-236.10763926639868,716
77,-184.18975862324055,953
78,-226.8119612463547,741
79,-407.04654773411266,748
80,49.422104514083,1193
81,-396.98409127554226,550
82,-134.76709019118846,642
83,-133.59102454792946,891
84,-35.40263927588154,158
85,-195.54252813611834,923
86,111.63112725947866,373
87,-221.58435139609253,759
88,-365.4402830878172,576
89,4.427984884567422,52
90,-846.7536011904174,981
91,138.59991121189955,869
92,-325.94546755277975,1324
93,-619.1637020474227,1213
94,-40.90414820363992,634
95,-239.59003450060663,731
96,-521.0738452447472,693
97,-242.36557306000213,1265
98,-494.61310841909085,1031
99,-210.07325005145253,638
100,-325.2237486203951,764
101,104.45832652337856,865
102,-147.50646532605504,377
103,-291.35239640591374,592
104,-49.5801899377318,889
105,-261.7514868657569,711
106,33.005345911527684,1077
107,-66.75963476836557,947
108,-233.7562579898215,779
109,-422.83801142443303,702
110,-533.7500627423778,1122
111,-355.5069255309543,468
112,-378.3728406174996,766
113,-155.2684769999189,1338
114,-415.50019644358133,592
115,-481.55743597165133,810
116,554.4997177944132,1558
117,-418.0314466924426,723
118,134.12246948914145,542
119,-330.70019817494995,1217
120,-306.6488808550956,453
121,-37.61067801691763,873
122,-137.4257427507663,680
123,-250.45869090549127,861
124,-268.8317204627166,700
125,-376.363998908015,1276
126,-310.84883175597145,554
127,-241.5283688667405,913
128,-396.3634757521047,704
129,-267.64491362489684,760
130,-153.68121397909817,800
131,-345.5030173868263,1315
132,-192.9512571924745,627
133,-703.8129921584118,840
134,-199.14425067880325,1288
135,-212.46062429158678,915
136,-219.0738452447472,995
137,-469.8953315218123,1220
138,60.38157391000141,1170
139,-180.5895115928413,929
140,-302.8317204627166,666
141,-57.25840122999875,901
142,-179.24270926514566,692
143,129.97797723168827,280
144,-428.54862097343414,504
145,-445.6937268584875,1117
146,-185.54310085391648,1433
147,25.07520993424987,931
148,-27.096674139223865,829
149,-233.90018424858113,857
150,-275.5767327585065,1009
151,14.173791368278785,373
152,-321.1832472437193,476
153,38.11042958221421,110
154,-167.5706899669567,919
155,-352.4335801442312,542
156,10.888132217834823,798
157,-533.0436534287307,802
158,-230.0394198292173,786
159,-383.52983309722936,843
160,-244.07651329472117,658
161,-203.0918163602871,613
162,175.45096934404717,913
163,-28.685094225855778,834
164,-194.915589233766,1043
165,155.70990268205537,1699
166,-329.61310841909085,1196
167,235.27615769407498,1202
168,-156.42120427585814,919
169,-307.4331904996751,674
170,-413.9370876536982,723
171,-167.91761782392155,887
172,-233.66757685783136,715
173,-152.5030173868263,1508
174,-139.0359283454319,697
175,-248.27700242254787,1228
176,-248.7828997225256,1052
177,-444.2468932869134,492
178,-401.5096171594196,1041
179,-469.9739072048876,1156
180,-268.60763277334354,850
181,-197.81093410453695,1050
182,-42.08957721596039,247
183,-368.00668935448743,695
184,9.846518664717678,982
185,-246.05664236195844,496
186,-278.41369847992496,575
187,-316.3629968549535,855
188,-305.07551616131036,917
189,-13.764161746371656,638
190,-502.47897146132595,398
191,-1.9406353481079464,280
192,-284.12606934779296,1492
193,-192.1702276554356,1112
194,716.5999112118996,1447
195,-322.5069255309543,501
196,118.19922939549588,1497
197,-52.84232374324597,928
198,-328.87040883622535,599
199,-439.8191321157026,598
200,13.932555033318067,755
201,-545.6131084190908,980
202,-445.2530406253213,725
203,-325.63264936967175,621
204,-177.63977899611518,955
205,-491.80631131750965,1342
206,-437.53605114379013,483
207,-345.6525933649541,734
208,102.74850783029407,154
209,-266.59474179830477,1086
210,-283.915589233766,954
211,-408.47747478529027,825
212,-144.03606407065968,606
213,-5.349818544768311,157
214,-156.53605114379013,764
215,-258.7516847936929,1074
