,Time Error [s],Whole trip time
0,-291.1249814772923,470
1,-456.5466254412115,1327
2,-295.1090378514855,1208
3,-284.7331451907994,961
4,-347.97408951811985,1117
5,-130.43205645650005,741
6,43.108916959105954,1362
7,-181.9783793261389,746
8,-344.1890365654549,795
9,-279.371510727888,552
10,-138.14448260379163,943
11,-265.8732697344908,849
12,51.97572605778066,513
13,-230.14448260379163,851
14,-119.83798008837311,1524
15,-338.04376037730344,1135
16,-222.67831336798895,982
17,-161.84301532615905,1297
18,1158.596732459424,2074
19,-297.6490065491307,916
20,-155.64283222632514,685
21,-164.9383924381558,310
22,-248.53565022646808,689
23,-286.1842883685342,1032
24,-86.14448260379163,995
25,-35.17308415708226,1234
26,-222.12159891456247,586
27,-178.50932537752124,1119
28,-17.59534758689483,1038
29,-235.14448260379163,846
30,-351.14578236085754,790
31,-335.96194561760626,930
32,-474.9304613816962,731
33,-36.844307066210604,992
34,-172.47894018310308,1101
35,-159.2893314939597,1249
36,-316.6096384055295,1018
37,-65.21669461829288,964
38,-238.52422293462007,706
39,169.75009940127075,2178
40,-110.53565022646808,827
41,-216.89726094558284,736
42,-211.2383597623816,799
43,-113.68235805398172,388
44,-246.701875516075,868
45,-186.75234940345103,908
46,-50.433684528591925,887
47,-370.32942523399197,934
48,92.45630505774727,440
49,-24.61587190240334,1473
50,-293.01436217630385,607
51,-227.74738356227704,638
52,-557.6100629504817,1020
53,-164.101858132703,582
54,-328.1580348450764,857
55,-306.6829875178104,581
56,204.7106685060403,1613
57,-142.32735845318143,1051
58,-680.3283199375278,935
59,-420.3791163692031,663
60,-74.05874767035834,832
61,-527.7231218180182,1144
62,-186.79025413041427,975
63,-183.2429944688672,1067
64,689.8549939184471,1408
65,-246.41206800069608,658
66,-496.61006295048173,1081
67,0.29149384971685777,896
68,-216.14164189782753,585
69,-49.26188998062048,1021
70,83.71969167360652,518
71,-176.86746313804815,860
72,-125.18690683908176,1015
73,-150.16504906481794,561
74,-299.3434605305647,915
75,-205.3951331163138,629
76,-397.52184779162076,701
77,-269.035925386534,653
78,-175.9636956867223,1306
79,-314.2278439669474,810
80,-95.71121725771059,637
81,22.903902690372092,125
82,-323.2231668192587,1586
83,26.11155178038257,1134
84,-113.62328489876495,1110
85,-190.5882726820364,865
86,-329.6818829962008,741
87,-157.53627023289778,911
88,284.70621476436963,1328
89,-106.70502857076076,1006
90,-486.6519852649162,999
91,-454.035925386534,468
92,-300.45747359688676,1276
93,-12.581153244951565,824
94,-216.80323508254264,969
95,-114.70764888307917,1052
96,157.63969068666245,991
97,-348.1640663207095,1136
98,-234.371510727888,597
99,-561.0238840786176,1033
100,-263.7764512851113,679
101,-319.95748955221916,774
102,-371.06212093582667,1266
103,137.15913332971104,1001
104,-150.44615065075834,645
105,-109.19826252412327,1234
106,-236.48124176367378,851
107,-398.0454471950825,536
108,-372.2189463982015,1345
109,-236.74268084262326,788
110,-66.21835802547997,432
111,-319.2520769074647,773
112,-231.15603099762325,728
113,-270.035925386534,652
114,-326.3791163692031,757
115,245.0003413700258,935
116,-360.1842883685342,958
117,-88.8443070662106,940
118,-385.25680072454816,714
119,-198.31203852391866,595
120,-181.46076059162215,835
121,269.9150158803561,570
122,-279.18690683908176,861
123,-229.5774452795605,748
124,86.46181523208804,825
125,88.68309544238764,818
126,-69.34492266163636,917
127,-218.47894018310308,1055
128,-182.95834481285272,798
129,-333.8443070662106,695
130,22.855954907202204,1136
131,-113.12914874041769,599
132,-229.861249078323,713
133,-389.3791163692031,694
134,-294.8087816703834,604
135,-274.6629445345453,620
136,-66.82716386834522,554
