,Unnamed: 0,EdgeID,Length(m)(poly),weight,data avail,from_node,from_lat,from_lon,to_node,to_lat,to_lon
0,0,857,130.576,"[237.0, 237.0, 237.0, 237.0, 237.0, 237.0, 237.0, 237.0, 237.0, 237.0, 237.0, 237.0, 17.0, 15.0, 28.830121983463933, 28.830121983463933, 28.830121983463933, 28.830121983463933, 28.830121983463933, 28.830121983463933, 28.830121983463933, 17.0, 17.0, 17.0]",5,2499,49.42195787,18.68568272,2511,49.42181351,18.68746918
1,1,858,21.433,"[4.732232603783103, 4.732232603783103, 4.732232603783103, 4.732232603783103, 4.732232603783103, 4.732232603783103, 4.732232603783103, 4.732232603783103, 4.732232603783103, 4.732232603783103, 4.732232603783103, 4.732232603783103, 4.732232603783103, 4.732232603783103, 4.732232603783103, 4.732232603783103, 4.732232603783103, 4.732232603783103, 4.732232603783103, 4.732232603783103, 4.732232603783103, 4.732232603783103, 4.732232603783103, 4.732232603783103]",5,2511,49.42181351,18.68746918,143855,49.4217757,18.68775976
2,2,859,182.674,"[21.0, 21.0, 21.0, 21.0, 21.0, 21.0, 21.0, 21.0, 21.0, 21.0, 21.0, 21.0, 102.0, 28.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 110.0, 110.0, 110.0]",5,2512,49.42141491,18.69020243,143855,49.4217757,18.68775976
3,3,860,96.106,"[21.21942549429286, 21.21942549429286, 21.21942549429286, 21.21942549429286, 21.21942549429286, 21.21942549429286, 21.21942549429286, 21.21942549429286, 21.21942549429286, 21.21942549429286, 21.21942549429286, 21.21942549429286, 21.21942549429286, 21.21942549429286, 21.0, 21.0, 21.0, 21.0, 21.0, 21.0, 21.0, 21.21942549429286, 21.21942549429286, 21.21942549429286]",5,2512,49.42141491,18.69020243,145744,49.42132438,18.69152267
4,4,861,50.291,"[29.0, 29.0, 29.0, 29.0, 29.0, 29.0, 29.0, 29.0, 29.0, 29.0, 29.0, 29.0, 11.103844999620026, 11.103844999620026, 11.103844999620026, 11.103844999620026, 11.103844999620026, 11.103844999620026, 11.103844999620026, 11.103844999620026, 11.103844999620026, 11.103844999620026, 11.103844999620026, 11.103844999620026]",5,143844,49.42134394,18.69221334,145744,49.42132438,18.69152267
5,5,862,117.486,"[25.939956127843125, 25.939956127843125, 25.939956127843125, 25.939956127843125, 25.939956127843125, 25.939956127843125, 25.939956127843125, 25.939956127843125, 25.939956127843125, 25.939956127843125, 25.939956127843125, 25.939956127843125, 25.939956127843125, 157.0, 34.0, 34.0, 34.0, 34.0, 34.0, 34.0, 34.0, 43.0, 43.0, 43.0]",4,87444,49.42159242,18.69379156,143844,49.42134394,18.69221334
6,6,863,31.129,"[6.873030780719649, 6.873030780719649, 6.873030780719649, 6.873030780719649, 6.873030780719649, 6.873030780719649, 6.873030780719649, 6.873030780719649, 6.873030780719649, 6.873030780719649, 6.873030780719649, 6.873030780719649, 6.873030780719649, 6.873030780719649, 6.873030780719649, 6.873030780719649, 6.873030780719649, 6.873030780719649, 6.873030780719649, 6.873030780719649, 6.873030780719649, 6.873030780719649, 6.873030780719649, 6.873030780719649]",4,87433,49.4216889,18.69419557,87444,49.42159242,18.69379156
7,7,864,56.664,"[29.0, 29.0, 29.0, 29.0, 29.0, 29.0, 29.0, 29.0, 29.0, 29.0, 29.0, 29.0, 29.0, 29.0, 29.0, 29.0, 29.0, 29.0, 29.0, 29.0, 29.0, 12.510951722146492, 12.510951722146492, 12.510951722146492]",2,2506,49.42165575,18.69497732,87433,49.4216889,18.69419557
8,8,865,103.826,"[22.923938894246465, 22.923938894246465, 22.923938894246465, 22.923938894246465, 22.923938894246465, 22.923938894246465, 22.923938894246465, 22.923938894246465, 22.923938894246465, 22.923938894246465, 22.923938894246465, 22.923938894246465, 22.923938894246465, 22.923938894246465, 22.923938894246465, 22.923938894246465, 22.923938894246465, 22.923938894246465, 22.923938894246465, 22.923938894246465, 22.923938894246465, 22.923938894246465, 22.923938894246465, 22.923938894246465]",3,2505,49.42182897,18.69637524,2506,49.42165575,18.69497732
9,9,868,285.639,"[25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 26.0, 26.0, 26.0, 26.5, 26.5]",3,2499,49.42195787,18.68568272,2509,49.41945969,18.68646801
