,Unnamed: 0,EdgeID,Length(m)(poly),weight,data avail,from_node,from_lat,from_lon,to_node,to_lat,to_lon
0,0,857,130.576,"[29.78583753560227, 46.0, 29.78583753560227, 29.78583753560227, 29.78583753560227, 29.78583753560227, 29.78583753560227, 29.78583753560227, 28.0, 28.0, 29.78583753560227, 29.78583753560227, 29.78583753560227, 29.78583753560227, 29.78583753560227, 29.78583753560227, 43.0, 43.0, 17.0, 415.0, 415.0, 415.0, 415.0, 415.0]",9,2499,49.42195787,18.68568272,2511,49.42181351,18.68746918
1,1,858,21.433,"[4.889105623549224, 4.889105623549224, 4.889105623549224, 4.889105623549224, 4.889105623549224, 4.889105623549224, 4.889105623549224, 4.889105623549224, 4.889105623549224, 4.889105623549224, 43.0, 43.0, 43.0, 43.0, 4.889105623549224, 4.889105623549224, 19.0, 19.0, 4.889105623549224, 4.889105623549224, 4.889105623549224, 4.889105623549224, 4.889105623549224, 4.889105623549224]",8,2511,49.42181351,18.68746918,143855,49.4217757,18.68775976
2,2,859,182.674,"[49.0, 49.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 75.0, 75.0, 41.66997063762567, 41.66997063762567, 41.66997063762567, 41.66997063762567, 72.0, 72.0, 41.66997063762567, 41.66997063762567, 22.0, 36.0, 36.0, 36.0, 36.0, 65.0]",9,2512,49.42141491,18.69020243,143855,49.4217757,18.68775976
3,3,860,96.106,"[34.0, 34.0, 34.0, 34.0, 34.0, 34.0, 34.0, 21.92284724755385, 21.92284724755385, 21.92284724755385, 21.92284724755385, 21.92284724755385, 15.0, 15.0, 21.92284724755385, 21.92284724755385, 142.0, 142.0, 21.92284724755385, 21.92284724755385, 21.92284724755385, 21.92284724755385, 21.92284724755385, 21.92284724755385]",9,2512,49.42141491,18.69020243,145744,49.42132438,18.69152267
4,4,861,50.291,"[11.47193630914543, 11.47193630914543, 11.47193630914543, 11.47193630914543, 11.47193630914543, 11.47193630914543, 11.47193630914543, 11.47193630914543, 11.47193630914543, 11.47193630914543, 78.0, 78.0, 78.0, 78.0, 11.47193630914543, 11.47193630914543, 79.0, 79.0, 11.47193630914543, 37.0, 37.0, 37.0, 37.0, 11.47193630914543]",8,143844,49.42134394,18.69221334,145744,49.42132438,18.69152267
5,5,862,117.486,"[26.79986298177129, 26.79986298177129, 26.79986298177129, 26.79986298177129, 26.79986298177129, 26.79986298177129, 26.79986298177129, 26.79986298177129, 26.79986298177129, 26.79986298177129, 26.79986298177129, 26.79986298177129, 26.79986298177129, 26.79986298177129, 26.79986298177129, 26.79986298177129, 26.79986298177129, 26.79986298177129, 29.0, 26.79986298177129, 26.79986298177129, 26.79986298177129, 26.79986298177129, 57.0]",7,87444,49.42159242,18.69379156,143844,49.42134394,18.69221334
6,6,863,31.129,"[32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 7.100871037907143, 7.100871037907143, 7.100871037907143, 7.100871037907143, 7.100871037907143, 7.100871037907143, 7.100871037907143, 7.100871037907143, 7.100871037907143, 7.100871037907143, 7.100871037907143, 7.100871037907143, 7.100871037907143, 7.100871037907143, 7.100871037907143, 7.100871037907143, 7.100871037907143]",6,87433,49.4216889,18.69419557,87444,49.42159242,18.69379156
7,7,864,56.664,"[12.92568847351249, 12.92568847351249, 12.92568847351249, 12.92568847351249, 12.92568847351249, 12.92568847351249, 12.92568847351249, 12.92568847351249, 12.92568847351249, 12.92568847351249, 12.92568847351249, 12.92568847351249, 12.92568847351249, 12.92568847351249, 26.0, 26.0, 12.92568847351249, 12.92568847351249, 12.92568847351249, 12.92568847351249, 12.92568847351249, 12.92568847351249, 12.92568847351249, 12.92568847351249]",5,2506,49.42165575,18.69497732,87433,49.4216889,18.69419557
8,8,865,103.826,"[23.683865089843778, 23.683865089843778, 23.683865089843778, 23.683865089843778, 23.683865089843778, 23.683865089843778, 23.683865089843778, 23.683865089843778, 23.683865089843778, 23.683865089843778, 23.683865089843778, 23.683865089843778, 23.683865089843778, 23.683865089843778, 23.683865089843778, 23.683865089843778, 23.683865089843778, 23.683865089843778, 23.683865089843778, 23.683865089843778, 23.683865089843778, 23.683865089843778, 23.683865089843778, 23.683865089843778]",4,2505,49.42182897,18.69637524,2506,49.42165575,18.69497732
9,9,868,285.639,"[65.15743205360783, 65.15743205360783, 65.15743205360783, 65.15743205360783, 65.15743205360783, 65.15743205360783, 65.15743205360783, 58.0, 58.0, 58.0, 58.0, 58.0, 58.0, 58.0, 58.0, 58.0, 58.0, 58.0, 58.0, 58.0, 58.0, 58.0, 58.0, 58.0]",2,2499,49.42195787,18.68568272,2509,49.41945969,18.68646801
