,plate,movement_id
0,110JG,189
1,110JG,235
2,110JG,1370
3,110JG,1438
4,110JG,1555
5,110JG,1987
6,110JG,2902
7,110JG,4253
8,110JG,4825
9,110JG,5287
10,110JG,5372
11,110JG,5729
12,110JG,5829
13,110JG,6017
14,110JG,6070
15,110JG,6446
16,110JG,6589
17,110JG,6671
18,110JG,7042
19,110JG,8102
20,110JG,8589
21,110JG,9226
22,110JG,9752
23,110JG,11048
24,110JG,11075
25,110JG,11212
26,110JG,11637
27,110JG,12011
28,110JG,12315
29,110JG,12694
30,110JG,12772
31,110JG,13009
32,110JG,13019
33,110JG,14104
34,110JG,14166
35,110JG,14580
36,110JG,14673
37,110JG,15162
38,110JG,15719
39,110JG,15774
40,110JG,16358
41,110JG,16663
42,110JG,16922
43,111IZ,81
44,111IZ,144
45,111IZ,204
46,111IZ,206
47,111IZ,408
48,111IZ,497
49,111IZ,516
50,111IZ,776
51,111IZ,806
52,111IZ,911
53,111IZ,972
54,111IZ,1312
55,111IZ,1350
56,111IZ,1439
57,111IZ,1592
58,111IZ,1673
59,111IZ,1755
60,111IZ,1765
61,111IZ,1792
62,111IZ,1820
63,111IZ,1848
64,111IZ,1904
65,111IZ,2042
66,111IZ,2061
67,111IZ,2122
68,111IZ,2194
69,111IZ,2212
70,111IZ,2238
71,111IZ,2383
72,111IZ,3080
73,111IZ,3098
74,111IZ,3114
75,111IZ,3118
76,111IZ,3747
77,111IZ,3751
78,111IZ,3753
79,111IZ,4133
80,111IZ,4472
81,111IZ,4700
82,111IZ,4896
83,111IZ,4928
84,111IZ,4954
85,111IZ,5135
86,111IZ,5402
87,111IZ,5448
88,111IZ,5840
89,111IZ,5985
90,111IZ,6606
91,111IZ,6670
92,111IZ,6696
93,111IZ,6939
94,111IZ,7008
95,111IZ,7140
96,111IZ,7299
97,111IZ,7350
98,111IZ,7383
99,111IZ,7458
100,111IZ,7704
101,125KK,161
102,125KK,587
103,125KK,603
104,125KK,905
105,125KK,946
106,125KK,1137
107,125KK,1269
108,125KK,1561
109,125KK,1989
110,125KK,2094
111,125KK,2256
112,125KK,2316
113,125KK,3238
114,125KK,3382
115,125KK,3654
116,125KK,3714
117,125KK,4018
118,125KK,4108
119,125KK,4284
120,125KK,4387
121,125KK,4746
122,125KK,4950
123,125KK,6516
124,125KK,6604
125,125KK,6938
126,125KK,7271
127,125KK,7535
128,125KK,8429
129,125KK,8808
130,125KK,9076
131,125KK,9364
132,125KK,9383
133,125KK,9599
134,125KK,9649
135,171LF,187
136,171LF,968
137,171LF,1351
138,171LF,1698
139,171LF,1869
140,171LF,2019
141,171LF,2215
142,171LF,2233
143,171LF,2358
144,171LF,2618
145,171LF,2675
146,171LF,2696
147,171LF,2803
148,171LF,2827
149,171LF,3155
150,171LF,3398
151,171LF,3463
152,171LF,3492
153,171LF,3661
154,171LF,4414
155,171LF,4498
156,171LF,4618
157,171LF,4661
158,171LF,5328
159,171LF,5483
160,171LF,5942
161,171LF,6047
162,171LF,6058
163,171LF,6100
164,171LF,6541
165,171LF,6571
166,171LF,6577
167,171LF,6599
168,171LF,6625
169,171LF,6634
170,171LF,6680
171,171LF,6792
172,171LF,6845
173,171LF,6878
174,171LF,6901
175,171LF,6965
176,171LF,6971
177,171LF,7121
178,171LF,7158
179,171LF,7381
180,171LF,7758
181,171LF,8033
182,171LF,8290
183,171LF,8479
184,171LF,8531
185,171LF,8588
186,171LF,8656
187,171LF,8672
188,171LF,8694
189,171LF,8712
190,171LF,8790
191,171LF,8869
192,171LF,8986
193,278JI,344
194,278JI,549
195,278JI,800
196,278JI,1774
197,278JI,1949
198,278JI,2203
199,278JI,2372
200,278JI,2718
201,278JI,3032
202,278JI,3534
203,278JI,3536
204,278JI,3824
205,278JI,4681
206,278JI,5230
207,278JI,5255
208,278JI,5283
209,278JI,5317
210,278JI,6211
211,278JI,6718
212,278JI,6780
213,278JI,7437
214,278JI,7621
215,278JI,7676
216,278JI,8505
217,278JI,8559
218,278JI,8842
219,278JI,9134
220,278JI,9530
221,278JI,9988
222,278JI,10875
223,278JI,11136
224,278JI,11426
225,278JI,12635
226,278JI,13563
227,278JI,13655
228,278JI,14413
229,278JI,14753
230,278JI,15176
231,278JI,15594
232,278JI,15599
233,278JI,15952
234,278JI,16118
235,278JI,16376
236,278JI,17286
237,278JI,18456
238,278JI,19213
239,278JI,19517
240,278JI,19529
241,278JI,19686
242,278JI,19924
243,278JI,20342
244,278JI,21194
245,278JI,21348
246,278JI,21612
247,278JI,21813
248,278JI,22581
249,278JI,22776
250,417IZ,402
251,417IZ,894
252,417IZ,1104
253,417IZ,1518
254,417IZ,1583
255,417IZ,2189
256,417IZ,2261
257,417IZ,2501
258,417IZ,2619
259,417IZ,2930
260,417IZ,3674
261,417IZ,3884
262,417IZ,4281
263,417IZ,5366
264,417IZ,5701
265,417IZ,5802
266,417IZ,5871
267,417IZ,6251
268,417IZ,6944
269,417IZ,7293
270,417IZ,7474
271,417IZ,7794
272,417IZ,7808
273,417IZ,7828
274,417IZ,8018
275,417IZ,8066
276,417IZ,8081
277,417IZ,8179
278,417IZ,8212
279,417IZ,8231
280,417IZ,8763
281,417IZ,8777
282,417IZ,9346
283,417IZ,9776
284,417IZ,9983
285,417IZ,11318
286,417IZ,11389
287,417IZ,11837
288,417IZ,11959
289,417IZ,12563
290,417IZ,12777
291,417IZ,12869
292,417IZ,12928
293,417IZ,13306
294,417IZ,13693
295,417IZ,13720
296,417IZ,13998
297,417IZ,14071
298,417IZ,14580
299,417IZ,15399
300,417IZ,15430
301,417IZ,15494
302,417IZ,15703
303,417IZ,16185
304,417IZ,16458
305,440HY,1
306,440HY,731
307,440HY,1257
308,440HY,1269
309,440HY,1541
310,440HY,1597
311,440HY,1836
312,440HY,2044
313,440HY,2431
314,440HY,3238
315,440HY,3359
316,440HY,3369
317,440HY,3528
318,440HY,4059
319,440HY,4494
320,440HY,5165
321,440HY,5200
322,440HY,5202
323,440HY,5269
324,440HY,5408
325,440HY,6566
326,440HY,6840
327,440HY,6970
328,440HY,7039
329,440HY,7226
330,440HY,7518
331,440HY,8404
332,440HY,9823
333,440HY,9962
334,440HY,10379
335,445LI,892
336,445LI,1079
337,445LI,1294
338,445LI,1467
339,445LI,1561
340,445LI,1590
341,445LI,1805
342,445LI,2169
343,445LI,2311
344,445LI,2612
345,445LI,2764
346,445LI,2820
347,445LI,2870
348,445LI,3254
349,445LI,3676
350,445LI,3939
351,445LI,3982
352,445LI,4246
353,445LI,4409
354,445LI,4853
355,445LI,4855
356,445LI,4994
357,445LI,5009
358,445LI,5165
359,445LI,5328
360,445LI,5507
361,445LI,5605
362,471IH,549
363,471IH,556
364,471IH,1020
365,471IH,1470
366,471IH,1532
367,471IH,1546
368,471IH,1555
369,471IH,1938
370,471IH,2036
371,471IH,2134
372,471IH,2334
373,471IH,2391
374,471IH,2435
375,471IH,2455
376,471IH,2462
377,471IH,2567
378,471IH,2580
379,471IH,2632
380,471IH,2763
381,471IH,2825
382,471IH,3245
383,471IH,3557
384,471IH,3654
385,471IH,3705
386,471IH,3757
387,471IH,4122
388,471IH,4135
389,471IH,4206
390,471IH,4818
391,471IH,4835
392,471IH,4993
393,471IH,5011
394,471IH,5127
395,471IH,5204
396,471IH,5284
397,471IH,5346
398,471IH,5456
399,471IH,5475
400,471IH,5543
401,471IH,5891
402,471IH,5943
403,471IH,6741
404,471IH,6804
405,471IH,6892
406,471IH,6910
407,471IH,7267
408,471IH,7302
409,471IH,7437
410,471IH,7979
411,471IH,8132
412,471IH,8664
413,471IH,8873
414,471IH,8985
415,471IH,9136
416,471IH,10265
417,471IH,10276
418,471IH,10762
419,471IH,10772
420,471IH,11378
421,471IH,11448
422,471IH,11958
423,471IH,12367
424,471IH,12723
425,471IH,12874
426,471IH,13049
427,471IH,13202
428,471IH,13750
429,580IZ,150
430,580IZ,163
431,580IZ,603
432,580IZ,1004
433,580IZ,1174
434,580IZ,1472
435,580IZ,1849
436,580IZ,2067
437,580IZ,2106
438,580IZ,2772
439,580IZ,2992
440,580IZ,3168
441,580IZ,3172
442,580IZ,3186
443,580IZ,3367
444,580IZ,3389
445,580IZ,3412
446,580IZ,3716
447,580IZ,3825
448,580IZ,3953
449,580IZ,4723
450,580IZ,4825
451,580IZ,5272
452,580IZ,5356
453,580IZ,5367
454,580IZ,5479
455,580IZ,5627
456,580IZ,5995
