,EdgeID,Length(m)(poly),from_node,to_node,weight
0,857,130.576,2499,2511,"[6.597222223, 6.597222223, 6.597222223, 6.597222223, 6.597222223, 6.597222223, 6.597222223, 6.597222223, 6.597222223, 6.597222223, 6.597222223, 6.597222223, 10.41666667, 10.41666667, 10.41666667, 11.38888889, 14.010416665000001, 14.010416665000001, 9.290123456666668, 9.290123456666668, 9.290123456666668, 9.290123456666668, 5.941358025, 4.085648148]"
1,858,21.433000000000003,2511,143855,"[6.493055554000001, 6.493055554000001, 6.493055554000001, 6.493055554000001, 6.493055554000001, 6.493055554000001, 6.493055554000001, 6.493055554000001, 6.493055554000001, 6.493055554000001, 6.493055554000001, 6.493055554000001, 11.18055556, 11.18055556, 11.18055556, 10.97222222, 13.645833334999999, 13.645833334999999, 10.725308640333333, 10.725308640333333, 10.725308640333333, 10.725308640333333, 3.456790123, 3.456790123]"
2,859,182.674,2512,143855,"[6.38888889, 6.38888889, 6.38888889, 6.38888889, 6.38888889, 6.38888889, 6.38888889, 6.38888889, 6.38888889, 6.38888889, 6.38888889, 6.38888889, 11.94444444, 11.94444444, 11.94444444, 10.55555556, 13.28125, 13.28125, 12.160493827000002, 12.160493827000002, 12.160493827000002, 12.160493827000002, 0.972222222, 0.972222222]"
3,860,96.10600000000001,2512,145744,"[12.47222222, 12.47222222, 12.47222222, 12.47222222, 12.47222222, 12.47222222, 12.47222222, 12.47222222, 12.47222222, 12.47222222, 12.47222222, 12.47222222, 0.5555555560000001, 0.5555555560000001, 0.5555555560000001, 1.611111111, 11.7361111135, 11.7361111135, 12.461419755, 12.461419755, 12.461419755, 12.461419755, 12.461419755, 12.461419755]"
4,861,50.291000000000004,143844,145744,"[12.16666667, 12.16666667, 12.16666667, 12.16666667, 12.16666667, 12.16666667, 12.16666667, 12.16666667, 12.16666667, 12.16666667, 12.16666667, 12.16666667, 12.16666667, 12.16666667, 12.16666667, 6.5, 9.930555557, 9.930555557, 12.932098765, 12.932098765, 12.932098765, 12.932098765, 12.932098765, 12.932098765]"
5,862,117.486,87444,143844,"[11.86111111, 11.86111111, 11.86111111, 11.86111111, 11.86111111, 11.86111111, 11.86111111, 11.86111111, 11.86111111, 11.86111111, 0.7233796296296298, 0.7233796296296298, 0.7233796296296298, 0.7233796296296298, 0.7233796296296298, 11.38888889, 8.125000001, 8.125000001, 13.402777775, 13.402777775, 13.402777775, 13.402777775, 13.402777775, 13.402777775]"
6,863,31.129,87433,87444,"[11.55555556, 11.55555556, 11.55555556, 11.55555556, 11.55555556, 11.55555556, 11.55555556, 11.55555556, 11.55555556, 11.55555556, 1.4467592592592595, 1.4467592592592595, 1.4467592592592595, 1.4467592592592595, 1.4467592592592595, 7.718253968, 14.1, 3.981481481, 10.057870368666668, 10.057870368666668, 10.057870368666668, 10.057870368666668, 10.057870368666668, 10.057870368666668]"
7,864,56.663999999999994,2506,87433,"[2.1701388888888893, 2.1701388888888893, 2.1701388888888893, 2.1701388888888893, 2.1701388888888893, 2.1701388888888893, 2.1701388888888893, 2.1701388888888893, 2.1701388888888893, 2.1701388888888893, 2.1701388888888893, 2.1701388888888893, 2.1701388888888893, 2.1701388888888893, 2.1701388888888893, 2.1701388888888893, 2.1701388888888893, 2.1701388888888893, 2.1701388888888893, 2.1701388888888893, 2.1701388888888893, 2.1701388888888893, 2.1701388888888893, 2.1701388888888893]"
8,864,56.663999999999994,2506,87433,"[11.25, 11.25, 11.25, 11.25, 11.25, 11.25, 11.25, 11.25, 11.25, 11.25, 11.25, 11.25, 11.25, 11.25, 11.25, 11.25, 12.92222222, 12.92222222, 10.763888891, 10.763888891, 10.763888891, 10.763888891, 10.763888891, 10.763888891]"
9,865,103.82600000000001,2505,2506,"[9.320987654, 9.320987654, 9.320987654, 9.320987654, 9.320987654, 9.320987654, 9.320987654, 9.320987654, 9.320987654, 9.320987654, 9.320987654, 9.320987654, 9.320987654, 9.320987654, 9.320987654, 9.320987654, 11.74444444, 11.74444444, 8.518518516, 8.518518516, 8.518518516, 8.518518516, 8.518518516, 8.518518516]"
