,travel time,real travel time,euc_dist,distance,hour of day,O lat,O lon,D lat,D lon
0,1163,1165.0000002000002,0.1649046743788657,21671.732999999997,18,49.093271,18.638628,49.217275,18.747332
1,347,436.0000000200001,0.003778981476535082,2047.6290000000001,21,49.220945,18.748276,49.217275,18.747375
2,720,772.0000002,0.1147306379002583,10175.882,19,49.187556,18.861659,49.21615900000001,18.750551
3,355,606.0,0.007145232046617613,2337.951,16,49.223273,18.743556,49.217544,18.747826
4,356,384.0,0.016537538057401924,3083.6249999999995,17,49.225343,18.733256,49.21764,18.74789
5,362,491.99999999999994,0.008619976856116658,1318.8049999999998,20,49.052319,18.91968,49.059819,18.915431
6,457,508.00000002,0.034386231270676436,5604.611,16,49.094033,18.918543,49.059808,18.915217
7,1590,1677.0,0.2222555514762217,34836.872,22,49.217737,18.748147,49.438708,18.772008
8,1720,1831.9999998,0.23430983039130096,31031.529,1,49.218466,18.74568,49.060033,18.918307
9,656,715.9999998,0.019272668133915778,3140.3219999999997,15,49.217361,18.748083,49.217737,18.728814
10,402,663.0,0.0367328999671934,5813.798,23,49.186816,18.767631,49.21778,18.747869
11,1234,1264.9999997999998,0.021097360901306428,3399.4739999999997,18,49.210817,18.767803,49.217726,18.747869
12,1046,1165.0000002000002,0.035829705622570485,6548.858000000001,16,49.21513,18.711133,49.216224,18.746946
13,366,433.9999999799999,0.011284507299835536,3417.42,23,49.226341,18.740551,49.217769,18.74789
14,1212,1213.0000002,0.03890864383398645,7349.808000000001,18,49.215451,18.708065,49.21617,18.746967
15,404,481.0000000200001,0.021582535833398978,4309.768,20,49.230622,18.730466,49.217769,18.747804
16,1055,1060.0000002000002,0.0053838392435186415,236.00900000000001,12,49.221266,18.759220000000006,49.220816,18.753855
17,354,652.9999998,0.015505491156361448,2834.0640000000008,19,49.072178,18.924637,49.059862,18.915217
18,247,288.0,0.015491412137056189,2178.3789999999995,3,49.208735,18.760207,49.21735,18.747332
19,770,1069.0000002,0.04060392306169823,5820.3949999999995,18,49.180851,18.765056,49.217393,18.747354
20,1046,1066.9999998,0.024727665842128602,15230.905999999999,11,49.236855,18.737032,49.216192,18.750615
21,905,1204.0000002,0.019076623941360452,3426.1400000000003,17,49.198972,18.744435,49.217737,18.747869
22,347,403.9999999799999,0.019289117605527695,3431.6240000000007,18,49.079034,18.916612,49.059797,18.915195
23,798,864.0,0.08271642202730259,10242.034,22,49.15514500000001,18.802006,49.217758,18.747954
24,770,840.0,0.08330731101769916,10469.135000000002,0,49.174231,18.816812,49.217769,18.745787
25,1854,1963.9999998,0.23095396468776966,31334.378,15,49.217737,18.74819,49.059958,18.916848
