,travel time,real travel time,euc_dist,distance,hour of day,O lat,O lon,D lat,D lon
0,1562,1576.9999998,0.12357377379525301,19784.0,17,49.078036,18.926654,49.183909,18.862925
1,1247,1309.9999997999998,0.12351861235052383,18663.286,23,49.078262,18.927169,49.183876,18.863118
2,823,846.0,0.12038422976868966,11453.273,6,49.21764,18.748105,49.183211,18.863461
3,1066,1093.9999998,0.14269537205179492,14463.104000000001,14,49.198339,18.721218,49.183705,18.863161
4,665,766.9999998,0.12461726497560598,10011.876000000002,17,49.226706,18.746045,49.184005,18.863118
5,1053,1072.9999997999998,0.12738915979391716,13655.761,21,49.217007,18.739929,49.183919,18.862946
6,1936,1957.9999997999998,0.2703856044707277,42682.694,5,49.438171,18.770657,49.18393,18.862689000000003
7,1441,1741.0000002,0.1401327447386933,11668.05,22,49.230772,18.731003,49.18393,18.863075
8,1130,1207.0000002000002,0.10818346108810045,19239.742000000002,20,49.081995,18.899059,49.183973,18.862946
9,663,670.9999998,0.13468011352831658,11719.84,19,49.220054,18.733299,49.183962,18.863053
10,838,871.9999998,0.13788651612829758,11776.935999999998,14,49.227425,18.732913,49.183168,18.863504
11,1193,1209.0,0.1408278726566582,11651.765,14,49.230665,18.730037,49.183984,18.862903
12,753,829.9999998000001,0.09840976184302007,9674.394999999999,16,49.206182,18.767159,49.183887,18.86301
13,948,1020.0,0.10373635679451831,15091.741,23,49.119621,18.944378,49.183941,18.862989
14,761,835.0000001999999,0.1245063222691909,10696.786,23,49.215226,18.742483,49.183919,18.862989
15,1211,1330.0000002000002,0.135034339336333,16123.198,20,49.173137,18.728106,49.183909,18.86271
16,2108,2173.9999998,0.007844357207567746,529.915,1,49.186387,18.855479000000006,49.183919,18.862925
17,971,1000.9999998,0.025143598330389268,6460.444,12,49.166431,18.88097,49.183962,18.862946
18,642,702.0,0.12653319390974097,11452.534000000003,1,49.205613,18.738256,49.183973,18.862925
19,382,418.00000002,0.048664706317823714,4542.086,4,49.192953,18.815117,49.183973,18.862946
20,518,525.0,0.08654954659615513,7183.112,13,49.210967,18.780828,49.183887,18.863032
21,960,1027.9999997999998,0.155305349634195,14888.203,19,49.214389,18.710704,49.183909,18.862989
22,1082,1195.0000002000002,0.13905777924660792,18277.011000000006,21,49.256489,18.744349,49.18395200000001,18.862989
23,872,916.0000001999999,0.11960381663642598,11451.249,7,49.217597,18.74819,49.183962,18.862967
24,1178,1212.0,0.15808491087070872,23749.394999999997,0,49.131251,18.71388,49.184005,18.862903
25,1317,1377.0,0.07358071183401292,21247.538,17,49.243164,18.819366,49.183909,18.862989
26,764,829.9999998000001,0.10700767378557124,8560.501,19,49.215816,18.760829,49.183973,18.862989
27,920,970.9999998,0.13048680455892822,12287.819,20,49.20572,18.734329,49.183962,18.862989
28,823,846.0,0.12675918988775745,10705.077,19,49.223348,18.74244,49.183962,18.862925
29,701,750.0,0.12869212789056048,11636.063,1,49.22735,18.741796,49.183941,18.862946
30,490,640.0000001999999,0.04666564116135037,4955.182999999999,22,49.175143,18.817177,49.183919,18.86301
31,649,697.0000002,0.13307030605285255,11337.377,8,49.211965,18.733277,49.183308,18.863225
32,1068,1189.0000002,0.14098590571401268,12558.095999999998,17,49.23063300000001,18.729973,49.183962,18.86301
33,1610,1678.0000002,0.1469452083226945,13254.409,1,49.207383,18.718257,49.183748,18.863289
34,1402,1441.0000002,0.13429936804765327,20424.471999999998,6,49.06072,18.916419,49.183887,18.862882
35,951,985.9999998,0.13524192458332082,13168.525,5,49.220033,18.732612,49.18393,18.862946
36,1679,1705.0000002000002,0.12705676691148798,19721.335000000003,21,49.062394,18.900197,49.183887,18.86301
37,1288,1302.0,0.18863010425963436,21571.424,18,49.153289,18.676844,49.183941,18.862967
38,1146,1213.9999998,0.07950569551925513,19451.503000000004,2,49.24016,18.806834,49.183898,18.86301
39,760,832.9999998,0.12000804741349592,11220.691,20,49.217286,18.74774,49.183898,18.86301
40,858,913.9999998000001,0.09255818693665017,14560.427000000001,14,49.114686,18.924422,49.183898,18.862967
