,travel time,real travel time,euc_dist,distance,hour of day,O lat,O lon,D lat,D lon
0,1917,1945.0000002,0.2419820001652998,29425.782999999996,17,49.183909,18.862882,49.093207,18.638542
1,766,793.9999998000001,0.12078649852115372,10329.702,20,49.183941,18.863246,49.221105,18.748319
2,130,196.99999998,0.0040807786021783195,737.1789999999999,18,49.183812,18.863204,49.187589,18.861659
3,551,552.0,0.12589534950902886,10495.628000000002,15,49.183855,18.863032,49.223283,18.74347
4,962,1032.0,0.13632879910349027,11536.845,16,49.183887,18.863182,49.225311,18.733299
5,1494,1525.0000002000002,0.1432294515977806,21109.334,20,49.183844,18.863225,49.052201,18.919659
6,918,1018.0000001999999,0.10529813067667011,14813.777000000002,15,49.183812,18.863225,49.094162,18.918457
7,635,660.0,0.11988459548249247,10051.828,21,49.18393,18.862946,49.217683,18.747911
8,599,610.0000001999999,0.1225153972364272,10451.992000000002,0,49.183866,18.863182,49.218262,18.745594
9,1380,1413.0,0.1339501627807989,20443.386000000002,15,49.18375800000001,18.863139,49.060473,18.915517
10,1433,1468.9999998,0.12212840857474531,10124.538,15,49.184799,18.865263,49.21764,18.747633
11,646,666.0,0.09568114870234631,12232.944000000001,23,49.183834,18.863289,49.186773,18.767653
12,479,544.99999998,0.09940001034205102,8584.713,18,49.183812,18.863161,49.211278,18.767631
13,771,790.9999998,0.15535959347591033,15894.078,16,49.183791,18.863182,49.214969,18.710983
14,619,651.0,0.12977550894525636,10857.577,23,49.183855,18.863118,49.226384,18.740509
15,774,811.9999998,0.15852669347778722,14675.486,18,49.183909,18.862839,49.215677,18.707528
16,667,688.9999998000001,0.14078913328805337,12070.364000000001,20,49.184037,18.863289,49.230601,18.730423
17,462,532.99999998,0.1105804659060499,9304.985,12,49.183801,18.863268,49.221245,18.759220000000006
18,1256,1273.0000002,0.12707276096787734,18686.114000000005,18,49.183834,18.863397,49.07235,18.924379
19,612,646.9999998,0.10630808353553606,10472.463000000002,2,49.183844,18.863182,49.208789,18.759842000000006
20,924,949.9999998000001,0.09819296117848497,12677.881000000003,18,49.183844,18.863182,49.18084,18.765035
21,748,765.0,0.13682387026027387,12662.488,10,49.183844,18.863225,49.236877,18.737097
22,912,945.0,0.11929638512963978,13154.116,17,49.183834,18.863075,49.199251,18.744779
23,1045,1087.0000002000002,0.11784573155187868,21473.707,17,49.183876,18.863182,49.07895900000001,18.916848
24,1252,1273.0000002,0.06742665263084016,17698.780000000002,22,49.183737,18.863075,49.155155,18.802006
25,370,405.0,0.04731289799832452,4886.4400000000005,0,49.183887,18.863161,49.17417800000001,18.816855
26,725,745.9999998,0.12034980665128034,10113.908,8,49.183876,18.862903,49.217232,18.747268
27,708,772.9999998,0.12039502584824673,10113.908,15,49.18375800000001,18.863268,49.21779,18.747783
28,849,868.0000002,0.0942437505620396,14027.882000000001,19,49.183898,18.863032,49.112744,18.92483
29,555,579.0,0.12903578510242814,11311.584,0,49.184048,18.862796,49.213842,18.737247
30,980,1075.9999998,0.13160707559246712,18585.373,18,49.183919,18.863246,49.06793,18.925431
31,1027,1066.0000002,0.09333337109523002,15277.963999999998,4,49.183887,18.862817,49.187159,18.769541
32,622,643.0000002,0.1308081006054263,11005.876,21,49.183801,18.863075,49.210473,18.735015
33,587,615.0,0.0482205073075776,5009.478,23,49.183887,18.862967,49.192277,18.815482
34,147,157.00000002000002,0.008618629357384321,1426.4859999999999,2,49.183522,18.86286,49.188586,18.869834
35,785,793.9999998000001,0.1207826706485606,16679.467999999997,5,49.183823,18.862646,49.08545,18.932726
36,747,786.0,0.12076533152358071,10149.636,12,49.183297,18.863161,49.217254,18.747268
37,631,724.0000002,0.1258767062684761,11123.83,7,49.183737,18.863139,49.226996,18.744929
38,725,814.9999998000001,0.13584149323752673,19078.117000000002,13,49.183737,18.863161,49.212608,18.730423
39,583,598.00000002,0.09723020818655316,8770.438000000002,18,49.183834,18.863268,49.206804,18.76879
40,1249,1318.0000002,0.12922755138514322,18713.791999999998,15,49.183791,18.863096,49.070805,18.925817
41,396,411.0,0.048007190596825476,5110.115000000001,4,49.183866,18.862796,49.192116,18.815503
42,1032,1054.0000002,0.12581539194390817,18150.907,11,49.183834,18.863246,49.073917,18.924465
43,628,657.0,0.12000557190397235,9899.175999999998,21,49.183919,18.863096,49.217737,18.747954
44,1614,1624.9999997999998,0.13334465772949516,20701.625,15,49.183243,18.863461,49.06045200000001,18.915453
45,99,124.99999998000001,0.006601065520053094,479.119,6,49.183834,18.86301,49.187589,18.868439
46,811,826.9999998,0.1253081792382284,11380.688,9,49.184166,18.863525,49.214336,18.741903
47,523,532.00000002,0.13520042908585558,12455.899,18,49.183855,18.863182,49.223906,18.73405
48,1780,1809.0,0.12017034962086576,10820.8,20,49.183823,18.863161,49.21771500000001,18.747869
49,605,706.0000001999999,0.12010405390743639,9967.659999999998,18,49.183791,18.863118,49.217737,18.747911
50,602,658.9999998000001,0.10169905752267343,9206.432000000003,1,49.183834,18.863075,49.209508,18.76467
51,764,796.9999998,0.15456477412722572,14935.187,11,49.18375800000001,18.863289,49.215473,18.712013
52,1267,1369.0000002,0.2661094675072653,28172.224000000002,13,49.183855,18.863032,49.207866,18.598008
53,159,178.99999998,0.008327356002956785,685.226,19,49.183866,18.86301,49.189949,18.868697
54,553,577.99999998,0.09710001889289022,8843.872000000001,15,49.18393,18.86301,49.206793,18.76864
55,1072,1105.0000002000002,0.13435547793074917,20443.386000000002,16,49.183683,18.863139,49.05984,18.915238
56,826,834.0,0.1087370526775464,15180.837999999998,3,49.183909,18.862753,49.116574,18.948133
57,1252,1267.0000002000002,0.11085135251317675,22913.386000000002,18,49.183973,18.863332,49.079088,18.899209
58,739,751.0000001999999,0.12106882872977491,10500.589,9,49.184027,18.862581,49.22368,18.74819
59,293,315.0,0.0406578279055826,3702.2929999999997,19,49.183844,18.863096,49.176087,18.823185
60,420,472.9999999799999,0.04732586887739201,4611.232,16,49.183801,18.863161,49.174993,18.816662
61,1530,1603.9999998,0.09631426347120291,17930.463,15,49.18393,18.863268,49.177332,18.76718
62,1194,1218.0,0.15958127424607083,15499.646999999999,17,49.183855,18.863311,49.215108,18.70682
63,654,666.0,0.08883008600692824,13189.123,22,49.183855,18.862689000000003,49.11228300000001,18.915303
64,766,844.9999998000001,0.1060874653717386,15902.188,23,49.183941,18.862989,49.093894,18.919079
65,415,427.99999998000004,0.0404532946124306,4447.918999999999,17,49.18393,18.863161,49.170852,18.82488
66,635,646.9999998,0.08348959507028171,12785.26,3,49.183769,18.862753,49.119031,18.915474
67,673,705.0,0.12493255558500238,10356.254000000003,0,49.183919,18.862967,49.225032,18.744993
68,687,706.0000001999999,0.12936554898426553,11955.944,18,49.18408,18.863289,49.204272,18.735509
69,678,700.0000001999999,0.12945577953880524,11144.493,19,49.183909,18.862882,49.207619,18.735616
70,1876,1888.0000002,0.2705010337669718,41849.55499999999,12,49.183876,18.86301,49.438139,18.7707
71,997,1066.9999998,0.11562563401339962,16695.922000000002,19,49.183866,18.863053,49.149566,18.752632
72,1342,1378.9999998,0.1349840028818214,20678.575000000004,14,49.183898,18.86301,49.060473,18.917663
73,823,852.0,0.09678300199931796,12283.091,18,49.183812,18.863118,49.182492,18.766344
74,144,178.99999998,0.0060029996668338,1155.677,22,49.183694,18.863289,49.189348,18.861272
75,603,621.0,0.0978840246056507,11142.197000000002,15,49.183834,18.863182,49.186526,18.765335
76,557,568.99999998,0.11676356137511397,9668.258,18,49.183973,18.862839,49.218445,18.75128
77,791,816.0,0.10118606997013059,13993.557,11,49.183533,18.863504,49.103593,18.925538
78,720,739.0000002,0.09275252575536651,13756.559000000001,23,49.183866,18.86301,49.112841,18.922663
79,1067,1077.0,0.12047054878682964,17902.059,16,49.18378,18.863225,49.088755,18.937275
80,499,523.00000002,0.12626929173793616,10794.589,19,49.183823,18.863118,49.216267,18.741088
81,801,817.9999998,0.07430302185644481,13327.297999999997,1,49.183812,18.863225,49.221363,18.799109
82,424,448.00000002,0.046858859823941314,4617.6359999999995,5,49.183694,18.863182,49.175132,18.817112
83,683,732.0,0.14661872494330244,13251.421,18,49.183823,18.863032,49.240793,18.727934
84,1033,1087.0000002000002,0.13996043379469894,14107.788999999999,16,49.183962,18.863289,49.20204,18.724501
85,109,129.0,0.00628262087029865,665.918,21,49.18395200000001,18.862903,49.188619,18.867109
86,946,925.9999998,0.12047030625427932,10617.158,6,49.183319,18.863139,49.217254,18.747547
87,671,699.0,0.08771874628607128,14281.066000000003,17,49.18395200000001,18.862882,49.162515,18.777823
88,339,352.00000002,0.046177980391089925,4944.008,11,49.183823,18.863225,49.177536,18.817477
89,1034,1050.0,0.14286798074096788,16776.087,18,49.183855,18.863118,49.25944000000001,18.741882
90,125,156.0,0.005737848028661039,641.84,18,49.183973,18.862839,49.189241,18.865113
91,922,961.9999998000001,0.1286315996363269,13136.338000000003,17,49.183823,18.863118,49.24134,18.748062
92,1156,1167.0,0.1194129407099535,17890.818000000003,21,49.183662,18.86344,49.089409,18.93676
93,542,556.99999998,0.09401261345160188,8989.072,4,49.183898,18.862624,49.20807,18.771772
94,768,781.0000001999999,0.1252514534845825,11360.242,5,49.183769,18.863139,49.215559000000006,18.741989
95,1359,1392.0,0.13496210705231246,21055.987,19,49.183898,18.86301,49.060516,18.917706
96,708,748.0000002,0.12013841028580433,10025.260000000002,8,49.183812,18.863289,49.217737,18.74804
97,1187,1195.9999998,0.19068862747683712,25831.166999999998,16,49.183898,18.863375,49.07293,19.01845
98,652,661.9999998,0.09826354516299612,13985.114000000001,17,49.183866,18.863053,49.110588,18.928521
99,782,826.9999998,0.14183950323164543,12858.852,18,49.183898,18.863032,49.215784,18.724823
100,883,907.0000002,0.08486125901729066,15320.875,20,49.183394,18.863182,49.164543,18.780441
101,1212,1230.0,0.10072562764759403,24103.898999999998,8,49.183984,18.862882,49.27897700000001,18.829386
102,123,169.99999998,0.008111962339657875,1170.6549999999997,18,49.183812,18.863096,49.188329,18.869834
103,1172,1219.9999997999998,0.14158270134447873,14785.286,8,49.183715,18.863525,49.196569,18.722527
104,1514,1537.9999997999998,0.1352462174332422,20237.358000000004,15,49.184027,18.862903,49.059958,18.91674
