,travel time,distance,hour of day,living_street,motorway,motorway_link,primary,primary_link,residential,road,secondary,secondary_link,service,tertiary,track,trunk,trunk_link,unclassified,others
0,2171,10972.721000000001,18,0.0,0.0,0.0,8720.782000000001,384.698,0.0,0.0,0.0,0.0,357.834,691.2460000000001,0.0,0.0,0.0,818.161,0.0
1,799,11089.693000000001,21,0.0,0.0,0.0,9565.882000000003,384.698,25.175,0.0,0.0,0.0,0.0,1011.4180000000001,0.0,0.0,0.0,102.52,0.0
2,698,11062.493999999999,19,0.0,0.0,0.0,9206.024000000001,384.698,0.0,0.0,0.0,0.0,357.834,1011.4180000000001,0.0,0.0,0.0,102.52,0.0
3,806,11384.159000000001,17,0.0,0.0,0.0,9427.408,384.698,156.12900000000002,0.0,0.0,0.0,546.686,766.7180000000001,0.0,0.0,0.0,102.52,0.0
4,721,11785.827,17,0.0,0.0,0.0,9206.024000000001,384.698,81.13600000000001,0.0,0.0,0.0,630.686,1380.7630000000001,0.0,0.0,0.0,102.52,0.0
5,1350,20883.665,21,0.0,0.0,0.0,17472.956000000006,603.291,2044.837,0.0,0.0,0.0,0.0,762.581,0.0,0.0,0.0,0.0,0.0
6,1397,21380.495,16,0.0,0.0,0.0,18838.966000000004,504.24199999999996,0.0,0.0,0.0,0.0,0.0,2037.287,0.0,0.0,0.0,0.0,0.0
7,1939,43541.337,23,0.0,0.0,0.0,41359.00300000001,0.0,0.0,0.0,763.0169999999998,0.0,407.899,1011.4180000000001,0.0,0.0,0.0,0.0,0.0
8,1066,21289.696,1,0.0,0.0,0.0,17472.956000000006,603.291,2044.837,0.0,0.0,0.0,0.0,1168.6119999999999,0.0,0.0,0.0,0.0,0.0
9,1557,15679.702000000001,15,0.0,0.0,0.0,8487.597000000002,503.60800000000006,4021.9679999999985,0.0,0.0,0.0,31.334,2635.195,0.0,0.0,0.0,0.0,0.0
10,714,11410.478000000001,0,0.0,0.0,0.0,9206.024000000001,384.698,81.13600000000001,0.0,0.0,0.0,708.051,928.0490000000002,0.0,0.0,0.0,102.52,0.0
11,727,11628.746,19,0.0,0.0,0.0,9565.882000000003,384.698,81.13600000000001,0.0,0.0,0.0,77.061,1417.449,0.0,0.0,0.0,102.52,0.0
12,894,11727.519,17,0.0,0.0,0.0,9565.882000000003,384.698,81.13600000000001,0.0,0.0,0.0,212.52,1380.7630000000001,0.0,0.0,0.0,102.52,0.0
13,887,11183.285,19,0.0,0.0,0.0,9565.882000000003,384.698,0.0,0.0,0.0,0.0,0.0,1130.185,0.0,0.0,0.0,102.52,0.0
14,778,11087.668999999998,20,0.0,0.0,0.0,9206.024000000001,384.698,25.175,0.0,0.0,0.0,357.834,1011.4180000000001,0.0,0.0,0.0,102.52,0.0
15,670,9283.965000000002,12,0.0,0.0,0.0,8103.114000000001,0.0,0.0,0.0,0.0,0.0,0.0,1130.185,0.0,0.0,0.0,50.666000000000004,0.0
16,2171,19671.996000000003,19,0.0,0.0,0.0,17472.956000000006,603.291,689.536,0.0,0.0,0.0,0.0,906.213,0.0,0.0,0.0,0.0,0.0
17,577,11686.625999999998,3,0.0,0.0,0.0,9181.610000000004,384.698,81.13600000000001,0.0,0.0,0.0,77.061,1143.96,0.0,0.0,0.0,818.161,0.0
18,633,11077.059000000001,19,0.0,0.0,0.0,9206.024000000001,384.698,81.13600000000001,0.0,0.0,0.0,434.895,867.7860000000001,0.0,0.0,0.0,102.52,0.0
19,771,11208.460000000003,11,0.0,0.0,0.0,9565.882000000003,384.698,25.175,0.0,0.0,0.0,0.0,1130.185,0.0,0.0,0.0,102.52,0.0
20,703,11334.506,18,0.0,0.0,0.0,9565.882000000003,384.698,81.13600000000001,0.0,0.0,0.0,188.852,1011.4180000000001,0.0,0.0,0.0,102.52,0.0
21,1204,21477.031000000003,18,0.0,0.0,0.0,18838.966000000004,504.24199999999996,198.725,0.0,0.0,0.0,0.0,1935.0980000000002,0.0,0.0,0.0,0.0,0.0
22,636,11220.691,23,0.0,0.0,0.0,9206.024000000001,384.698,81.13600000000001,0.0,0.0,0.0,434.895,1011.4180000000001,0.0,0.0,0.0,102.52,0.0
