,travel time,distance,hour of day,living_street,motorway,motorway_link,primary,primary_link,residential,road,secondary,secondary_link,service,tertiary,track,trunk,trunk_link,unclassified,others
0,1163,21671.732999999997,18,0.0,0.0,0.0,20416.446000000014,0.0,422.271,0.0,0.0,0.0,833.016,0.0,0.0,0.0,0.0,0.0,0.0
1,347,2047.6290000000001,21,0.0,0.0,0.0,386.602,0.0,478.566,0.0,0.0,0.0,675.2700000000001,0.0,0.0,0.0,0.0,507.19100000000003,0.0
2,720,10175.882,19,0.0,0.0,0.0,8633.723,0.0,179.30000000000004,0.0,0.0,0.0,278.634,368.58399999999995,0.0,0.0,0.0,715.641,0.0
3,355,2337.951,16,0.0,0.0,0.0,386.602,0.0,194.33100000000002,0.0,0.0,0.0,684.4399999999999,0.0,0.0,0.0,0.0,1072.578,0.0
4,356,3083.6249999999995,17,0.0,0.0,0.0,291.863,228.532,1084.2920000000001,0.0,0.0,0.0,644.164,0.0,0.0,0.0,0.0,834.774,0.0
5,362,1318.8049999999998,20,0.0,0.0,0.0,222.15699999999998,0.0,871.8220000000001,0.0,0.0,0.0,180.294,44.532,0.0,0.0,0.0,0.0,0.0
6,457,5604.611,16,0.0,0.0,0.0,3162.3419999999996,57.468999999999994,2340.2679999999996,0.0,0.0,0.0,0.0,44.532,0.0,0.0,0.0,0.0,0.0
7,1590,34836.872,22,0.0,0.0,0.0,32858.317,0.0,81.13600000000001,0.0,1770.293,0.0,127.126,0.0,0.0,0.0,0.0,0.0,0.0
8,1720,31031.529,1,0.0,0.0,0.0,28328.730999999996,680.733,1332.292,0.0,0.0,0.0,587.253,0.0,0.0,0.0,0.0,102.52,0.0
9,656,3140.3219999999997,15,0.0,0.0,0.0,1794.717,344.024,81.13600000000001,0.0,0.0,0.0,188.852,425.62300000000005,0.0,0.0,0.0,305.96999999999997,0.0
10,402,5813.798,23,0.0,0.0,0.0,1031.74,0.0,98.16400000000002,0.0,0.0,0.0,520.548,4163.346,0.0,0.0,0.0,0.0,0.0
11,1234,3399.4739999999997,18,0.0,0.0,0.0,291.863,229.96,1818.9539999999995,0.0,0.0,0.0,773.088,0.0,0.0,0.0,0.0,285.609,0.0
12,1046,6548.858000000001,16,0.0,0.0,0.0,1794.6580000000001,152.983,1361.9070000000004,0.0,0.0,0.0,995.498,2200.8830000000003,0.0,0.0,0.0,42.929,0.0
