,travel time,distance,hour of day,living_street,motorway,motorway_link,primary,primary_link,residential,road,secondary,secondary_link,service,tertiary,track,trunk,trunk_link,unclassified,others
0,1917,29425.782999999996,17,29.014,0.0,0.0,28244.059999999998,0.0,0.0,0.0,0.0,0.0,0.0,437.068,0.0,0.0,0.0,715.641,0.0
1,766,10329.702,20,0.0,0.0,0.0,7621.231,0.0,310.845,0.0,0.0,0.0,0.0,437.068,0.0,0.0,0.0,1960.5579999999998,0.0
2,130,737.1789999999999,18,0.0,0.0,0.0,0.0,0.0,269.953,0.0,0.0,0.0,0.0,467.226,0.0,0.0,0.0,0.0,0.0
3,551,10495.628000000002,15,0.0,0.0,0.0,7621.231,0.0,1190.285,0.0,0.0,0.0,0.0,437.068,0.0,0.0,0.0,1247.0439999999999,0.0
4,962,11536.845,16,0.0,0.0,0.0,7621.231,0.0,966.8410000000001,0.0,0.0,0.0,0.0,437.068,0.0,0.0,0.0,2511.7050000000004,0.0
5,1494,21109.334,20,0.0,0.0,0.0,18922.479000000003,296.03499999999997,1170.486,0.0,0.0,0.0,0.0,720.334,0.0,0.0,0.0,0.0,0.0
6,918,14813.777000000002,15,0.0,0.0,0.0,13498.925000000003,0.0,897.9480000000001,0.0,0.0,0.0,23.668000000000003,393.236,0.0,0.0,0.0,0.0,0.0
7,635,10051.828,21,0.0,0.0,0.0,8575.189,0.0,98.16400000000002,0.0,0.0,0.0,773.088,605.387,0.0,0.0,0.0,0.0,0.0
8,599,10451.992000000002,0,0.0,0.0,0.0,8089.947,0.0,179.45700000000002,0.0,0.0,0.0,835.9640000000003,630.9829999999998,0.0,0.0,0.0,715.641,0.0
9,1380,20443.386000000002,15,0.0,0.0,0.0,17621.059000000005,296.03499999999997,1805.9579999999999,0.0,0.0,0.0,0.0,720.334,0.0,0.0,0.0,0.0,0.0
10,1433,10124.538,15,0.0,0.0,0.0,8089.947,0.0,98.16400000000002,0.0,0.0,0.0,403.92400000000004,816.862,0.0,0.0,0.0,715.641,0.0
11,646,12232.944000000001,23,0.0,0.0,0.0,6090.124,0.0,1623.1330000000003,0.0,0.0,0.0,0.0,3804.0459999999994,0.0,0.0,0.0,715.641,0.0
12,479,8584.713,18,0.0,0.0,0.0,6090.124,0.0,1059.028,0.0,0.0,0.0,0.0,719.92,0.0,0.0,0.0,715.641,0.0
13,771,15894.078,16,0.0,0.0,0.0,12221.069000000003,375.052,2624.0860000000007,0.0,0.0,0.0,0.0,673.871,0.0,0.0,0.0,0.0,0.0
14,619,10857.577,23,0.0,0.0,0.0,7621.231,0.0,1525.754,0.0,0.0,0.0,0.0,437.068,0.0,0.0,0.0,1273.524,0.0
15,774,14675.486,18,0.0,0.0,0.0,10416.873000000003,191.041,2679.843,0.0,0.0,0.0,0.0,1124.6879999999999,0.0,0.0,0.0,263.041,0.0
16,667,12070.364000000001,20,0.0,0.0,0.0,7772.535,0.0,3145.1200000000003,0.0,0.0,0.0,0.0,437.068,0.0,0.0,0.0,715.641,0.0
17,462,9304.985,12,0.0,0.0,0.0,7621.231,0.0,0.0,0.0,0.0,0.0,357.89500000000004,437.068,0.0,0.0,0.0,888.7909999999999,0.0
18,1256,18686.114000000005,18,0.0,0.0,0.0,16684.975000000006,296.03499999999997,984.77,0.0,0.0,0.0,0.0,720.334,0.0,0.0,0.0,0.0,0.0
19,612,10472.463000000002,2,0.0,0.0,0.0,6090.124,0.0,1662.3970000000002,0.0,0.0,0.0,251.208,1125.9509999999998,0.0,0.0,0.0,1342.7830000000001,0.0
20,924,12677.881000000003,18,0.0,0.0,0.0,6575.366,0.0,296.063,0.0,0.0,0.0,0.0,5806.451999999998,0.0,0.0,0.0,0.0,0.0
