,travel time,distance,hour of day,living_street,motorway,motorway_link,primary,primary_link,residential,road,secondary,secondary_link,service,tertiary,track,trunk,trunk_link,unclassified,others
0,1038,17838.624000000003,16,0.0,0.0,0.0,16851.678000000004,251.68200000000002,14.93,0.0,0.0,0.0,0.0,720.334,0.0,0.0,0.0,0.0,0.0
1,1020,17485.724000000002,22,0.0,0.0,0.0,16513.708,251.68200000000002,0.0,0.0,0.0,0.0,0.0,720.334,0.0,0.0,0.0,0.0,0.0
2,730,9837.591,6,0.0,0.0,0.0,8089.947,0.0,98.16400000000002,0.0,0.0,0.0,403.92400000000004,529.915,0.0,0.0,0.0,715.641,0.0
3,1235,14108.017,13,0.0,0.0,0.0,9148.605000000001,0.0,3806.7030000000013,0.0,0.0,0.0,0.0,437.068,0.0,0.0,0.0,715.641,0.0
4,576,10355.252,17,0.0,0.0,0.0,8257.777,0.0,1423.6039999999998,0.0,0.0,0.0,0.0,673.871,0.0,0.0,0.0,0.0,0.0
5,810,10912.735999999999,21,0.0,0.0,0.0,8106.473,0.0,909.1040000000002,0.0,0.0,0.0,0.0,673.871,0.0,0.0,0.0,1223.2880000000002,0.0
6,2089,44817.357,4,0.0,0.0,0.0,37863.34300000002,192.327,3431.704,0.0,1598.2029999999997,0.0,579.0709999999999,437.068,0.0,0.0,0.0,715.641,0.0
7,985,13304.582000000002,22,0.0,0.0,0.0,10741.352000000003,0.0,1314.915,0.0,0.0,0.0,95.60600000000001,437.068,0.0,0.0,0.0,715.641,0.0
8,1071,18887.939999999995,19,0.0,0.0,0.0,16149.470000000005,447.7049999999999,1873.8609999999999,0.0,0.0,0.0,23.668000000000003,393.236,0.0,0.0,0.0,0.0,0.0
9,1110,12467.685,13,0.0,0.0,0.0,7621.231,0.0,3090.887000000001,0.0,0.0,0.0,0.0,437.068,0.0,0.0,0.0,1318.499,0.0
10,979,13226.468,14,0.0,0.0,0.0,10741.352000000003,0.0,1332.407,0.0,0.0,0.0,0.0,437.068,0.0,0.0,0.0,715.641,0.0
11,1857,12484.757,16,0.0,0.0,0.0,8705.826,156.166,414.077,0.0,0.0,0.0,0.0,368.58399999999995,0.0,0.0,0.0,2840.1040000000003,0.0
12,790,15319.131,22,0.0,0.0,0.0,10598.61,0.0,817.101,0.0,0.0,0.0,0.0,3903.4199999999996,0.0,0.0,0.0,0.0,0.0
13,676,10727.288999999999,22,0.0,0.0,0.0,8787.94,155.22299999999998,247.59499999999997,0.0,0.0,0.0,251.59,437.068,0.0,0.0,0.0,847.8729999999999,0.0
14,916,16466.495000000003,19,0.0,0.0,0.0,15038.84000000001,0.0,753.784,0.0,0.0,0.0,0.0,673.871,0.0,0.0,0.0,0.0,0.0
15,138,1600.7920000000001,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,693.6719999999998,0.0,0.0,0.0,907.12,0.0
