,travel time,distance,hour of day,1st ranked,2nd ranked,3rd ranked,4d ranked,5th ranked,6th ranked,1st dist,2nd dist,3rd dist,4rd dist,5th dist,6th dist
0,2171,10972.721000000001,18,primary,unclassified,tertiary,primary_link,service,nan,0.7947693192964626,0.07456318264175311,0.06299677172143536,0.03505948980202813,0.0326112365383208,
1,799,11089.693000000001,21,primary,tertiary,primary_link,unclassified,residential,nan,0.8625921384839059,0.09120342646094892,0.03468968888498536,0.009244620207250101,0.0022701259629098838,
2,698,11062.493999999999,19,primary,tertiary,primary_link,service,unclassified,nan,0.8321834118056924,0.09142766540709538,0.03477497931298313,0.032346593815101736,0.0092673496591275,
3,806,11384.159000000001,17,primary,tertiary,service,primary_link,residential,unclassified,0.8281163325283842,0.06734955124924027,0.04802164129998535,0.033792395204599646,0.013714583571786024,0.009005496146004283
4,721,11785.827,17,primary,tertiary,service,primary_link,unclassified,residential,0.7811097176294886,0.11715452806154376,0.05351223974354961,0.032640730260167575,0.008698583476577417,0.006884200828673288
5,1350,20883.665,21,primary,residential,tertiary,primary_link,nan,nan,0.836680534762457,0.09791561969606388,0.036515669064792984,0.028888176476686445,,
6,1397,21380.495,16,primary,tertiary,primary_link,nan,nan,nan,0.8811286174618503,0.09528717646621372,0.023584206071936127,,,
7,1939,43541.337,23,primary,tertiary,secondary,service,nan,nan,0.9498790310458315,0.023228914628873252,0.01752396808577559,0.009368086239519931,,
8,1066,21289.696,1,primary,residential,tertiary,primary_link,nan,nan,0.8207236026291782,0.0960482009700843,0.05489096697294315,0.028337229427794555,,
9,1557,15679.702000000001,15,primary,residential,tertiary,primary_link,service,nan,0.5413111167546425,0.25650793618399115,0.16806409968760885,0.03211846755761047,0.001998379816147016,
10,714,11410.478000000001,0,primary,tertiary,service,primary_link,unclassified,residential,0.8068044125758799,0.08133305195452813,0.062052702787735975,0.03371445087576524,0.00898472439103778,0.007110657415053077
11,727,11628.746,19,primary,tertiary,primary_link,unclassified,residential,service,0.8226064960056746,0.12189181877392456,0.03308164096111481,0.008816083866652518,0.006977192553694097,0.006626767838939815
12,894,11727.519,17,primary,tertiary,primary_link,service,unclassified,residential,0.8156782350981485,0.11773700814298405,0.03280301656300876,0.018121479914038084,0.008741831925405535,0.0069184283564153685
13,887,11183.285,19,primary,tertiary,primary_link,unclassified,nan,nan,0.8553731752342897,0.10106019832276474,0.03439937370817251,0.00916725273477337,,
14,778,11087.668999999998,20,primary,tertiary,primary_link,service,unclassified,residential,0.8302939057794747,0.09122007520246143,0.034696021318818236,0.032273149568227556,0.009246307767665144,0.0022705403633531992
15,670,9283.965000000002,12,primary,tertiary,unclassified,nan,nan,nan,0.8728074696533216,0.12173516380124222,0.0054573665454361354,,,
16,2171,19671.996000000003,19,primary,tertiary,residential,primary_link,nan,nan,0.8882146987016469,0.0460661439744091,0.035051654138197254,0.030667503185746885,,
17,577,11686.625999999998,3,primary,tertiary,unclassified,primary_link,residential,service,0.7856510510390258,0.09788625048837879,0.07000831548814859,0.03291779851601309,0.0069426368226381185,0.006593947645796145
18,633,11077.059000000001,19,primary,tertiary,service,primary_link,unclassified,residential,0.8310891907319443,0.07834083035939413,0.039260872403044884,0.034729254398663034,0.009255164209200292,0.007324687897753366
19,771,11208.460000000003,11,primary,tertiary,primary_link,unclassified,residential,nan,0.8534519461192707,0.10083320991465372,0.03432211026314051,0.009146662431770286,0.002246071271164816,
20,703,11334.506,18,primary,tertiary,primary_link,service,unclassified,residential,0.8439610866146265,0.0892335316598712,0.03394042934028179,0.01666168777007132,0.009044946467009679,0.00715831814813985
21,1204,21477.031000000003,18,primary,tertiary,primary_link,residential,nan,nan,0.877168077840927,0.09010081514525914,0.02347819863928119,0.009252908374532774,,
22,636,11220.691,23,primary,tertiary,service,primary_link,unclassified,residential,0.8204507191223785,0.09013865545357234,0.038758308200448614,0.03428469779624089,0.00913669220549786,0.007230927221861827
23,566,11352.239000000001,0,primary,tertiary,primary_link,service,unclassified,residential,0.8426427597234345,0.07644183671608745,0.03388741198982861,0.03085003760051211,0.009030817621087785,0.007147136349049734
24,1320,21187.506999999998,9,primary,residential,tertiary,primary_link,nan,nan,0.8246820166242308,0.09651144894017027,0.050332632338481356,0.028473902097117896,,
25,1181,21778.413000000004,16,primary,tertiary,residential,primary_link,nan,nan,0.8547338137080972,0.0634005333630141,0.05416432317634898,0.02770132975253982,,
26,1381,19897.898999999998,20,primary,residential,tertiary,primary_link,service,nan,0.8073205618341919,0.12045156124272213,0.04554315005820464,0.025341469468711245,0.0013432573961703195,
27,640,11079.083,0,primary,tertiary,primary_link,unclassified,residential,service,0.863418208889671,0.07832651853948562,0.03472290982927016,0.009253473414722138,0.007323349775428165,0.006955539551423164
28,1839,20162.072999999997,19,primary,residential,tertiary,primary_link,nan,nan,0.8666249745251894,0.05850653352956317,0.04494641994402064,0.029922072001227262,,
29,750,11181.260999999999,5,primary,tertiary,primary_link,service,unclassified,nan,0.8233439859779682,0.10107849195184694,0.0344056005847641,0.03200300932068396,0.009168912164737055,
30,685,11064.518,22,primary,tertiary,primary_link,unclassified,nan,nan,0.864554786751669,0.09141094081097795,0.034768618027464004,0.009265654409889341,,
31,563,11366.703,23,primary,tertiary,service,primary_link,unclassified,residential,0.8099115460305422,0.08898077129313577,0.05110602432385186,0.03384429064434955,0.009019326008606013,0.007138041699514803
32,591,11433.863,2,primary,tertiary,primary_link,unclassified,nan,nan,0.8366273060994349,0.12076084871753319,0.0336454967144525,0.008966348468579691,,
33,2343,21476.96,6,primary,tertiary,residential,primary_link,nan,nan,0.8776326351587936,0.05441235631113528,0.04948982537565839,0.018465183154412916,,
34,828,11453.273,8,primary,tertiary,primary_link,service,unclassified,residential,0.835209463705266,0.09867790630678235,0.03358847728505206,0.01648891107371666,0.008951153089601548,0.007084088539581656
35,1386,11341.482,13,primary,tertiary,primary_link,unclassified,residential,service,0.8434419769832552,0.09965055713177519,0.033919553017850754,0.009039383036537906,0.0071539151585304295,0.006794614672050796
36,780,11222.715,19,primary,tertiary,primary_link,unclassified,residential,service,0.8523678984987147,0.09012239908079285,0.034278514601858816,0.009135044416613983,0.007229623134865316,0.006866520267154606
37,1381,19671.394,16,primary,residential,tertiary,primary_link,nan,nan,0.888241880570335,0.0444713272480842,0.036618350483956556,0.03066844169762448,,
38,693,11208.460000000003,5,primary,tertiary,primary_link,unclassified,residential,nan,0.8534519461192707,0.10083320991465372,0.03432211026314051,0.009146662431770286,0.002246071271164816,
39,1363,21284.481000000003,12,primary,tertiary,primary_link,residential,nan,nan,0.8851033764929481,0.0751170770854126,0.023690594099992378,0.016088952321646928,,
40,2190,41847.09,22,primary,tertiary,secondary,primary_link,nan,nan,0.9495388329272118,0.024169374740274658,0.019824986635868826,0.006466805696644619,,
41,1035,11141.339,7,primary,tertiary,primary_link,service,unclassified,residential,0.8585935676133725,0.07788884262475095,0.03452888382626181,0.012504511351822255,0.009201766502213065,0.0072824280815797825
42,879,13356.735,11,primary,residential,tertiary,service,nan,nan,0.6940391495376678,0.1757945336191816,0.10337578757083973,0.026790529272310935,,
43,686,11590.036000000002,19,primary,tertiary,service,primary_link,unclassified,residential,0.7943050392595847,0.11913362477907748,0.03752317939305796,0.03319213158613139,0.008845529038908936,0.00700049594323952
44,661,9826.743,21,primary,tertiary,unclassified,residential,nan,nan,0.8245981399940958,0.10292504851302207,0.056769267294361936,0.0157075441985203,,
45,1315,19961.149,19,primary,residential,tertiary,primary_link,nan,nan,0.8753482076607917,0.04902969262941727,0.04539883951570122,0.03022326019409003,,
46,664,11208.460000000003,2,primary,tertiary,primary_link,unclassified,residential,nan,0.8534519461192707,0.10083320991465372,0.03432211026314051,0.009146662431770286,0.002246071271164816,
