,travel time,distance,hour of day,1st ranked,2nd ranked,3rd ranked,4d ranked,5th ranked,6th ranked,1st dist,2nd dist,3rd dist,4rd dist,5th dist,6th dist
0,1163,21671.732999999997,18,primary,service,residential,nan,nan,nan,0.9420772210510353,0.03843790434295218,0.019484874606013284,,,
1,347,2047.6290000000001,21,service,unclassified,residential,primary,nan,nan,0.3297814203647243,0.2476967263112605,0.23371714309574632,0.18880471022826886,,
2,720,10175.882,19,primary,unclassified,tertiary,service,residential,nan,0.8484495987669669,0.07032717163976547,0.03622133196906174,0.027381803366037464,0.017620094258168486,
3,355,2337.951,16,unclassified,service,primary,residential,nan,nan,0.4587683830841621,0.29275207222050414,0.1653593253237557,0.08312021937157794,,
4,356,3083.6249999999995,17,residential,unclassified,service,primary,primary_link,nan,0.3516290080668046,0.2707119056305485,0.20889829340467797,0.09464931695650412,0.07411147594146501,
5,362,1318.8049999999998,20,residential,primary,service,tertiary,nan,nan,0.6610696805062161,0.16845325882143306,0.13671012772927008,0.03376693294308105,,
6,457,5604.611,16,primary,residential,primary_link,tertiary,nan,nan,0.5642393379308572,0.41756118310441165,0.01025387845829086,0.007945600506440144,,
7,1590,34836.872,22,primary,secondary,service,residential,nan,nan,0.9432051476952351,0.050816646224724184,0.0036491795244992143,0.0023290265555414966,,
8,1720,31031.529,1,primary,residential,primary_link,service,unclassified,nan,0.9129015524823155,0.04293349515584617,0.021936817873202445,0.01892439782777059,0.003303736660865148,
9,656,3140.3219999999997,15,primary,tertiary,primary_link,unclassified,service,residential,0.5715073167656056,0.13553482732025574,0.1095505492748833,0.0974326836547335,0.06013778204910198,0.025836840935420005
10,402,5813.798,23,tertiary,primary,service,residential,nan,nan,0.7161146637705679,0.17746402609791398,0.0895366505681828,0.016884659563335364,,
11,1234,3399.4739999999997,18,residential,service,primary,unclassified,primary_link,nan,0.5350692489485137,0.2274140058138406,0.08585534114983671,0.08401564477327964,0.06764575931452925,
12,1046,6548.858000000001,16,tertiary,primary,residential,service,primary_link,unclassified,0.33607126616579563,0.27404136721242084,0.20796099106134233,0.15201093076075248,0.023360256093505154,0.006555188706183581
13,366,3417.42,23,unclassified,residential,service,primary,nan,nan,0.4663954094024146,0.2732011283365814,0.14727660047638277,0.11312686178462114,,
14,1212,7349.808000000001,18,primary,tertiary,residential,service,primary_link,unclassified,0.3181625969004904,0.2994476862524844,0.23234634156429665,0.12338798510110739,0.02081455733265413,0.005840832848966938
15,404,4309.768,20,unclassified,residential,service,primary,nan,nan,0.3698270997417958,0.34718365350524666,0.19328557824922363,0.08970366850373383,,
16,1055,236.00900000000001,12,residential,service,unclassified,nan,nan,nan,0.5866683050222661,0.2774809435233402,0.13585075145439368,,,
17,354,2834.0640000000008,19,residential,primary,nan,nan,nan,nan,0.5949590411507996,0.40504095884920027,,,,
18,247,2178.3789999999995,3,unclassified,service,residential,primary,primary_link,nan,0.3808542957859951,0.22299884455367966,0.15660038955572014,0.13398173596054685,0.10556473414405852,
