,travel time,distance,hour of day,1st ranked,2nd ranked,3rd ranked,4d ranked,5th ranked,6th ranked,1st dist,2nd dist,3rd dist,4rd dist,5th dist,6th dist
0,1562,19784.0,17,primary,tertiary,unclassified,primary_link,nan,nan,0.898625202183583,0.04515679336837849,0.03617271532551557,0.020045289122523253,,
1,1247,18663.286,23,primary,tertiary,residential,primary_link,nan,nan,0.8816078261888073,0.048555918823726965,0.03762113488482146,0.0322151201026443,,
2,823,11453.273,6,primary,tertiary,primary_link,service,unclassified,residential,0.835209463705266,0.09867790630678235,0.03358847728505206,0.01648891107371666,0.008951153089601548,0.007084088539581656
3,1066,14463.104000000001,14,primary,tertiary,service,residential,primary_link,unclassified,0.6954104042949566,0.2459326849893356,0.026377601931093075,0.01873366878921703,0.010577466635101288,0.0029681733602966555
4,665,10011.876000000002,17,primary,residential,tertiary,nan,nan,nan,0.8294292697991865,0.10326356419116656,0.06730716600964692,,,
5,1053,13655.761,21,primary,tertiary,service,unclassified,residential,primary_link,0.762875902705093,0.10523331508218399,0.06121108885839464,0.03299464599592802,0.026482229734395613,0.011202817624004989
6,1936,42682.694,5,primary,tertiary,secondary,primary_link,service,nan,0.9309496021970869,0.032349481033226254,0.02967607902162877,0.006340204299194423,0.000684633448863373,
7,1441,11668.05,22,primary,residential,tertiary,nan,nan,nan,0.7116992985117481,0.20161800815046219,0.08668269333778997,,,
8,1130,19239.742000000002,20,primary,residential,tertiary,primary_link,nan,nan,0.8349375474993377,0.0781146129714213,0.06073948392863063,0.02620835560061044,,
9,663,11719.84,19,primary,tertiary,primary_link,unclassified,nan,nan,0.8888902066922418,0.08629964231593606,0.013053335199115347,0.011756815792707069,,
10,838,11776.935999999998,14,primary,residential,tertiary,nan,nan,nan,0.7051191413454232,0.1776378847605184,0.11724297389405873,,,
11,1193,11651.765,14,primary,residential,tertiary,nan,nan,nan,0.7126939995786048,0.21282921514465833,0.07447678527673705,,,
12,753,9674.394999999999,16,primary,tertiary,residential,unclassified,nan,nan,0.6820599117567558,0.14978797123747792,0.14338870802773715,0.024763408978029124,,
13,948,15091.741,23,primary,tertiary,residential,primary_link,nan,nan,0.6996315401914199,0.2771072601895301,0.01931626046325603,0.003944939155793888,,
14,761,10696.786,23,primary,tertiary,service,residential,unclassified,primary_link,0.7997727541712063,0.09455344811048852,0.03345247815558804,0.0263636198761011,0.024493151494289968,0.021364548192326183
15,1211,16123.198,20,primary,tertiary,service,residential,nan,nan,0.9051879782162322,0.06273060716614658,0.022193736006963383,0.009887678610657761,,
16,2108,529.915,1,tertiary,nan,nan,nan,nan,nan,1.0,,,,,
17,971,6460.444,12,primary,tertiary,nan,nan,nan,nan,0.8597289907628639,0.140271009237136,,,,
18,642,11452.534000000003,1,primary,residential,tertiary,service,nan,nan,0.8094363221274872,0.09237126036910256,0.06694745459825746,0.031244962905152687,,
19,382,4542.086,4,primary,tertiary,residential,nan,nan,nan,0.7236789439918135,0.24882509930459262,0.0274959567035939,,,
20,518,7183.112,13,primary,tertiary,nan,nan,nan,nan,0.807776490189767,0.19222350981023267,,,,
21,960,14888.203,19,primary,tertiary,residential,service,primary_link,unclassified,0.6755545313292682,0.2237387547711433,0.06329246048028767,0.02425537857053669,0.010275450972827279,0.0028834238759372103
22,1082,18277.011000000006,21,primary,tertiary,residential,service,nan,nan,0.874198685988644,0.08103409250013578,0.025188856099063454,0.01957836541215628,,
23,872,11451.249,7,primary,tertiary,service,primary_link,unclassified,residential,0.80393186804339,0.09869534755553738,0.047740294530317175,0.03359441402418199,0.008952735199452916,0.007085340647120677
24,1178,23749.394999999997,0,primary,tertiary,service,nan,nan,nan,0.8807274880054837,0.10420543344367297,0.015067078550843088,,,
25,1317,21247.538,17,primary,tertiary,primary_link,residential,nan,nan,0.6093819905157954,0.3628882085067928,0.020735625934637698,0.006994175042774367,,
26,764,8560.501,19,primary,unclassified,tertiary,residential,nan,nan,0.8143739484406345,0.08359802773225539,0.06190233492175282,0.04012568890535729,,
27,920,12287.819,20,primary,tertiary,service,nan,nan,nan,0.8585105298181885,0.11236843576553335,0.029121034416278432,,,
28,823,10705.077,19,primary,unclassified,tertiary,residential,service,nan,0.7569412158361871,0.10492628871328996,0.09448021719040416,0.03693191557613271,0.006720362683986299,
29,701,11636.063,1,primary,unclassified,tertiary,residential,service,nan,0.6963793509883885,0.14133087797823024,0.09055167542492681,0.06733884132459578,0.004399254283858724,
30,490,4955.182999999999,22,tertiary,primary,residential,nan,nan,nan,0.6506714282802472,0.26203351117405765,0.08729506054569532,,,
31,649,11337.377,8,primary,tertiary,residential,service,nan,nan,0.8176579997295672,0.09968663827620797,0.051093035011537495,0.03156232698268744,,
32,1068,12558.095999999998,17,primary,tertiary,residential,primary_link,nan,nan,0.8141202296908707,0.08999652495091613,0.07491661156277195,0.020966633795441603,,
33,1610,13254.409,1,primary,tertiary,primary_link,unclassified,nan,nan,0.7859762740081435,0.19924283308293872,0.011542046122162067,0.0032388467867560146,,
34,1402,20424.471999999998,6,primary,residential,tertiary,primary_link,nan,nan,0.8554911970306996,0.05775488345549399,0.05721626488067843,0.02953765463312834,,
