,travel time,distance,hour of day,1st ranked,2nd ranked,3rd ranked,4d ranked,5th ranked,6th ranked,1st dist,2nd dist,3rd dist,4rd dist,5th dist,6th dist
0,1917,29425.782999999996,17,primary,unclassified,tertiary,living_street,nan,nan,0.9598405588731488,0.024320202456464796,0.01485323262256097,0.0009860060478254734,,
1,766,10329.702,20,primary,unclassified,tertiary,residential,nan,nan,0.7377977602838882,0.18979811808704644,0.042311772401565896,0.0300923492274995,,
2,130,737.1789999999999,18,tertiary,residential,nan,nan,nan,nan,0.633802644947835,0.3661973550521651,,,,
3,551,10495.628000000002,15,primary,unclassified,residential,tertiary,nan,nan,0.7261338721227542,0.11881556777736402,0.11340769699535842,0.04164286310452313,,
4,962,11536.845,16,primary,unclassified,residential,tertiary,nan,nan,0.6605992366197171,0.21771160139535553,0.08380462769500675,0.03788453428992068,,
5,1494,21109.334,20,primary,residential,tertiary,primary_link,nan,nan,0.8964034109271285,0.055448741300886145,0.03412395672928383,0.014023891042701773,,
6,918,14813.777000000002,15,primary,residential,tertiary,service,nan,nan,0.9112412722292229,0.060615736283866024,0.02654528956389717,0.001597701923013962,,
7,635,10051.828,21,primary,service,tertiary,residential,nan,nan,0.8530974664508785,0.07691018986795238,0.06022655779625358,0.00976578588491566,,
8,599,10451.992000000002,0,primary,service,unclassified,tertiary,residential,nan,0.7740100643016181,0.07998130882610703,0.06846934058120212,0.060369640543161504,0.01716964574791102,
9,1380,20443.386000000002,15,primary,residential,tertiary,primary_link,nan,nan,0.8619442493528227,0.08833947566220193,0.03523555246669998,0.01448072251827559,,
10,1433,10124.538,15,primary,tertiary,unclassified,service,residential,nan,0.7990435711733217,0.08068140985791153,0.07068381786902275,0.03989554881417799,0.00969565228556602,
11,646,12232.944000000001,23,primary,tertiary,residential,unclassified,nan,nan,0.49784614398627175,0.31096733541819527,0.13268539445615055,0.0585011261393823,,
12,479,8584.713,18,primary,residential,tertiary,unclassified,nan,nan,0.7094149798601305,0.12336207395634544,0.08386069516826014,0.083362251015264,,
13,771,15894.078,16,primary,residential,tertiary,primary_link,nan,nan,0.7689070734395542,0.16509834669239706,0.042397615011075196,0.023596964856973775,,
14,619,10857.577,23,primary,residential,unclassified,tertiary,nan,nan,0.7019274189812331,0.14052435455903284,0.11729357295831289,0.04025465350142118,,
15,774,14675.486,18,primary,residential,tertiary,unclassified,primary_link,nan,0.7098145165345804,0.18260676341485385,0.07663718939188793,0.017923835708064453,0.01301769495061356,
16,667,12070.364000000001,20,primary,residential,unclassified,tertiary,nan,nan,0.6439354272994583,0.2605654643057989,0.05928909848949045,0.03621000990525223,,
17,462,9304.985,12,primary,unclassified,tertiary,service,nan,nan,0.8190481768643366,0.09551772517634363,0.04697138146918022,0.03846271649013943,,
18,1256,18686.114000000005,18,primary,residential,tertiary,primary_link,nan,nan,0.8929076960570829,0.0527006310675403,0.03854916008753879,0.015842512787838065,,
19,612,10472.463000000002,2,primary,residential,unclassified,tertiary,service,nan,0.5815369316654543,0.15873983035318434,0.12822036229681594,0.1075153953754718,0.02398748030907342,
