,travel time,distance,hour of day,1st ranked,2nd ranked,3rd ranked,4d ranked,5th ranked,6th ranked,1st dist,2nd dist,3rd dist,4rd dist,5th dist,6th dist
0,1038,17838.624000000003,16,primary,tertiary,primary_link,residential,nan,nan,0.9446736474741549,0.04038058092373043,0.014108823640209019,0.0008369479619055818,,
1,1020,17485.724000000002,22,primary,tertiary,primary_link,nan,nan,nan,0.9444108805560466,0.041195549009008715,0.01439357043494453,,,
2,730,9837.591,6,primary,unclassified,tertiary,service,residential,nan,0.8223504107865431,0.07274555325587331,0.05386633780566807,0.041059238994587195,0.009978459157328253,
3,1235,14108.017,13,primary,residential,unclassified,tertiary,nan,nan,0.6484685267957929,0.2698255183559817,0.05072583907433624,0.030980115773889413,,
4,576,10355.252,17,primary,residential,tertiary,nan,nan,nan,0.79744819343846,0.1374765191614844,0.06507528740005554,,,
5,810,10912.735999999999,21,primary,unclassified,residential,tertiary,nan,nan,0.7428451490075451,0.11209727789621231,0.08330669778871222,0.06175087530753058,,
6,2089,44817.357,4,primary,residential,secondary,unclassified,service,tertiary,0.8448365886457789,0.07657086962981775,0.035660358106347045,0.015967942955672283,0.012920686063660557,0.009752203816927445
7,985,13304.582000000002,22,primary,residential,unclassified,tertiary,service,nan,0.8073423125957659,0.09883174082432651,0.05378906304609944,0.03285093812041595,0.007185945413392168,
8,1071,18887.939999999995,19,primary,residential,primary_link,tertiary,service,nan,0.855014893101101,0.09920938969522353,0.023703220150000478,0.02081942234039287,0.0012530747132826559,
9,1110,12467.685,13,primary,residential,unclassified,tertiary,nan,nan,0.6112787578447804,0.24791186174498323,0.10575331346597223,0.03505606694426431,,
10,979,13226.468,14,primary,residential,unclassified,tertiary,nan,nan,0.8121103835128171,0.10073792943059325,0.05410673507091991,0.033044951985669944,,
11,1857,12484.757,16,primary,unclassified,residential,tertiary,primary_link,nan,0.6973164155297535,0.22748572519272905,0.033166604684416366,0.029522721187124425,0.012508533405976584,
12,790,15319.131,22,primary,tertiary,residential,nan,nan,nan,0.6918545183796654,0.25480688166972393,0.05333859995061078,,,
13,676,10727.288999999999,22,primary,unclassified,tertiary,service,residential,primary_link,0.8192135030574828,0.07903888857660123,0.0407435653127272,0.023453269507328463,0.02308085481802532,0.01446991872783515
14,916,16466.495000000003,19,primary,residential,tertiary,nan,nan,nan,0.9132993997811925,0.04577683350342619,0.04092376671538174,,,
15,138,1600.7920000000001,1,unclassified,tertiary,nan,nan,nan,nan,0.5666694985981938,0.43333050140180596,,,,
16,283,396.64099999999996,13,secondary,nan,nan,nan,nan,nan,1.0,,,,,
17,346,6274.5650000000005,12,primary,tertiary,nan,nan,nan,nan,0.8851977786507909,0.11480222134920905,,,,
18,487,4704.084,3,primary,unclassified,tertiary,residential,nan,nan,0.742965049093511,0.15213184968635765,0.0783540429975315,0.02654905822259977,,
19,829,7149.624,12,primary,unclassified,tertiary,nan,nan,nan,0.8387734795564074,0.10009491408219509,0.061131606361397466,,,
20,775,15095.867,18,primary,residential,unclassified,tertiary,primary_link,service,0.6579039812685156,0.20557567180473968,0.06483112231977135,0.058816429689000305,0.012655185687579255,0.00021760923039398797
21,1767,21906.51,20,primary,tertiary,primary_link,unclassified,residential,secondary,0.6270428288212042,0.2592136310165335,0.04202668521822965,0.03266796034603413,0.027851401250130674,0.010986779728948154
22,847,10025.260000000002,6,primary,unclassified,service,tertiary,residential,nan,0.806956328314677,0.07138378456020092,0.0682715460746155,0.043596674799456565,0.009791666251049847,
23,1098,21754.989,22,primary,tertiary,unclassified,nan,nan,nan,0.9253801507323218,0.041724360329485795,0.03289548893819252,,,
24,1188,18796.228000000003,16,primary,tertiary,unclassified,residential,primary_link,secondary,0.5492110970350008,0.3580558822759546,0.03807364967056155,0.030976693834528925,0.01385831242310957,0.009824364760844568
25,754,9374.131,19,primary,residential,tertiary,nan,nan,nan,0.7014373919033136,0.18919705730589853,0.10936555079078795,,,
26,549,12409.564,19,primary,residential,unclassified,tertiary,nan,nan,0.7825955045640606,0.10888948233797738,0.05766850471136616,0.050846508386596004,,
27,546,10957.867999999999,19,primary,unclassified,residential,tertiary,nan,nan,0.6955030850891798,0.17694400042051978,0.08766668844705923,0.03988622604324126,,
28,607,11298.426000000001,0,primary,residential,unclassified,tertiary,nan,nan,0.6879307790306366,0.1928823537013032,0.06333988468836277,0.05584698257969736,,
29,374,4617.6359999999995,21,tertiary,primary,residential,nan,nan,nan,0.6251356754841655,0.28118803647580715,0.09367628804002742,,,
30,677,11591.878,7,primary,residential,unclassified,tertiary,nan,nan,0.7892254387080334,0.11133346986571115,0.06173641579043533,0.03770467563582018,,
31,1007,13415.33,16,primary,residential,tertiary,nan,nan,nan,0.8368481431317756,0.11292044250868222,0.050231414359542405,,,
32,797,13609.491,1,primary,tertiary,unclassified,residential,primary_link,nan,0.729757710997421,0.16964447825418302,0.07191172689706028,0.01464874770114474,0.014037336150191069,
