,list_hr,move
0,16,sp_sps
1,22,sp_sps
2,6,sp_sps
3,13,sp_sps
4,17,sp_sps
5,21,sp_sps
6,4,sp_sps
7,22,sp_sps
8,19,sp_sps
9,18,sp_sps
10,13,sp_sps
11,14,sp_sps
12,16,sp_sps
13,22,sp_sps
14,22,sp_sps
15,19,sp_sps
16,1,sp_sps
17,12,sp_sps
18,3,sp_sps
19,12,sp_sps
20,18,sp_sps
21,20,sp_sps
22,6,sp_sps
23,22,sp_sps
24,16,sp_sps
25,19,sp_sps
26,19,sp_sps
27,19,sp_sps
28,0,sp_sps
29,21,sp_sps
30,7,sp_sps
31,16,sp_sps
32,1,sp_sps
33,23,sp_sps
34,6,sp_sps
35,4,sp_sps
36,20,sp_sps
37,18,sp_sps
38,1,sp_sps
39,18,sp_sps
40,20,sp_sps
41,14,sp_sps
42,22,sp_sps
43,12,sp_sps
44,0,sp_sps
45,0,sp_sps
46,22,sp_sps
47,13,sp_sps
48,16,sp_sps
49,17,sp_sps
50,19,sp_sps
51,5,sp_sps
52,23,sp_sps
53,17,sp_sps
54,18,sp_sps
55,18,sp_sps
56,20,sp_sps
57,8,sp_sps
58,19,sp_sps
59,18,sp_sps
60,5,sp_sps
61,0,sp_sps
62,16,sp_sps
63,17,sp_sps
64,22,sp_sps
65,19,sp_sps
66,20,sp_sps
67,0,sp_sps
68,23,sp_sps
69,17,sp_sps
70,18,sp_sps
71,6,sp_sps
72,0,sp_sps
73,14,sp_sps
74,15,sp_sps
75,17,sp_sps
76,5,sp_sps
77,14,sp_sps
78,15,sp_sps
79,18,sp_sps
80,21,sp_sps
81,9,sp_sps
82,20,sp_sps
83,14,sp_sps
84,22,sp_sps
85,14,sp_sps
86,20,sp_sps
87,12,sp_sps
88,22,sp_sps
89,16,sp_sps
90,17,sp_sps
91,7,sp_sps
92,19,sp_sps
93,17,sp_sps
94,18,sp_sps
95,19,sp_sps
96,18,sp_sps
97,18,sp_sps
98,9,sp_sps
99,7,sp_sps
100,15,sp_sps
101,13,sp_sps
102,17,sp_sps
103,5,sp_sps
104,11,sp_sps
105,0,sp_sps
106,14,sp_sps
107,18,sp_sps
108,7,sp_sps
109,14,sp_sps
110,20,sp_sps
111,17,sp_sps
112,1,sp_sps
113,16,sp_sps
114,23,sp_sps
115,20,sp_sps
116,21,sp_sps
117,21,sp_sps
118,19,sp_sps
119,17,sp_sps
120,18,sp_sps
121,13,sp_sps
122,16,sp_sps
123,13,sp_sps
124,15,sp_sps
125,17,sp_sps
126,21,sp_sps
127,2,sp_sps
128,22,sp_sps
129,16,sp_sps
130,2,sp_sps
131,12,sp_sps
132,14,sp_sps
133,13,sp_sps
134,6,sp_sps
135,10,sp_sps
136,12,sp_sps
137,8,sp_sps
138,19,sp_sps
139,23,sp_sps
140,3,sp_sps
141,18,sp_sps
142,19,sp_sps
143,13,sp_sps
144,23,sp_sps
145,23,sp_sps
146,11,sp_sps
147,20,sp_sps
148,0,sp_sps
149,17,sp_sps
150,18,sp_sps
151,19,sp_sps
152,18,sp_sps
153,23,sp_sps
154,17,sp_sps
155,19,sp_sps
156,18,sp_sps
157,6,sp_sps
158,13,sp_sps
159,5,sp_sps
160,18,sp_sps
161,18,sp_sps
162,20,sp_sps
163,4,sp_sps
164,16,sp_sps
165,20,sp_sps
166,21,sp_sps
167,21,sp_sps
168,17,sp_sps
169,20,sp_sps
170,10,sp_sps
171,21,sp_sps
172,0,sp_sps
173,22,sp_sps
174,18,sp_sps
175,19,sp_sps
176,1,sp_sps
177,20,sp_sps
178,4,sp_sps
179,18,sp_sps
180,3,sp_sps
181,4,sp_sps
182,23,sp_sps
183,23,sp_sps
184,19,sp_sps
185,4,sp_sps
186,18,sp_sps
187,20,sp_sps
188,17,sp_sps
189,22,sp_sps
190,23,sp_sps
191,7,sp_sps
192,17,sp_sps
193,17,sp_sps
194,5,sp_sps
195,16,sp_sps
196,17,sp_sps
197,0,sp_sps
198,3,sp_sps
199,19,sp_sps
200,5,sp_sps
201,21,sp_sps
202,0,sp_sps
203,9,sp_sps
204,12,sp_sps
205,22,sp_sps
206,17,sp_sps
207,3,sp_sps
208,18,sp_sps
209,20,sp_sps
210,14,sp_sps
211,3,sp_sps
212,5,sp_sps
213,5,sp_sps
214,22,sp_sps
215,1,sp_sps
216,0,sp_sps
217,13,sp_sps
218,17,sp_sps
219,17,sp_sps
220,22,sp_sps
221,18,sp_sps
222,20,sp_sps
223,18,sp_sps
224,4,sp_sps
225,6,sp_sps
226,20,sp_sps
227,19,sp_sps
228,4,sp_sps
229,23,sp_sps
230,16,sp_sps
231,21,sp_sps
232,15,sp_sps
233,18,sp_sps
234,0,sp_sps
235,18,sp_sps
236,17,sp_sps
237,19,sp_sps
238,20,sp_sps
239,15,sp_sps
240,19,sp_sps
241,17,sp_sps
242,13,sp_sps
243,15,sp_sps
244,21,sp_sps
245,19,sp_sps
246,5,sp_sps
247,7,sp_sps
248,21,sp_sps
249,9,sp_sps
250,22,sp_sps
