,vehicle,No added edges
0,110JG,34
1,110JG,42
2,110JG,40
3,110JG,48
4,110JG,48
5,110JG,63
6,110JG,78
7,110JG,140
8,110JG,80
9,110JG,324
10,110JG,80
11,110JG,51
12,110JG,45
13,110JG,50
14,110JG,42
15,110JG,42
16,110JG,33
17,110JG,72
18,110JG,54
19,110JG,46
20,110JG,45
21,110JG,51
22,110JG,75
23,110JG,49
24,110JG,60
25,110JG,69
26,110JG,74
27,110JG,88
28,110JG,50
29,110JG,62
30,110JG,40
31,110JG,46
32,110JG,59
33,110JG,55
34,110JG,108
35,110JG,228
36,110JG,49
37,110JG,45
38,110JG,48
39,110JG,62
40,110JG,47
41,110JG,73
42,110JG,127
43,110JG,239
44,110JG,46
45,110JG,66
46,110JG,45
47,110JG,45
48,110JG,65
49,110JG,47
50,110JG,79
51,110JG,45
52,110JG,47
53,110JG,64
54,110JG,47
55,110JG,47
56,110JG,238
57,110JG,76
58,110JG,68
59,110JG,44
60,110JG,48
61,110JG,46
62,110JG,48
63,110JG,75
64,110JG,70
65,110JG,47
66,110JG,82
67,110JG,44
68,110JG,48
69,110JG,46
70,110JG,48
71,110JG,60
72,110JG,203
73,110JG,50
74,110JG,62
75,110JG,45
76,110JG,53
77,110JG,69
78,110JG,105
79,110JG,48
80,110JG,49
81,110JG,41
82,110JG,54
83,110JG,50
84,110JG,43
85,110JG,65
86,110JG,54
87,110JG,50
88,110JG,53
89,110JG,43
90,110JG,52
91,110JG,66
92,110JG,50
93,110JG,50
94,110JG,45
95,110JG,153
96,110JG,69
97,110JG,71
98,110JG,66
99,110JG,48
100,110JG,146
101,110JG,45
102,110JG,50
103,110JG,171
104,110JG,43
105,110JG,52
106,110JG,47
107,110JG,54
108,110JG,55
109,110JG,47
110,110JG,47
111,110JG,76
112,110JG,48
113,110JG,65
114,110JG,51
115,110JG,52
116,110JG,72
117,110JG,47
118,110JG,49
119,110JG,181
120,110JG,52
121,110JG,73
122,110JG,73
123,110JG,68
124,110JG,75
125,110JG,68
126,110JG,77
127,110JG,78
128,110JG,46
129,110JG,70
130,110JG,49
131,110JG,86
132,110JG,64
133,110JG,46
134,110JG,75
135,110JG,129
136,110JG,44
137,110JG,53
138,110JG,45
139,110JG,84
140,110JG,70
141,110JG,80
142,110JG,66
143,110JG,22
144,110JG,54
145,110JG,54
146,110JG,49
147,110JG,41
148,110JG,60
149,110JG,49
150,110JG,74
151,110JG,68
152,110JG,75
153,110JG,56
154,110JG,46
155,110JG,46
156,110JG,62
157,110JG,49
158,110JG,72
159,110JG,42
160,110JG,78
161,110JG,46
162,110JG,69
163,110JG,51
164,110JG,51
165,110JG,43
166,110JG,51
167,110JG,50
168,110JG,47
169,110JG,52
170,110JG,66
171,110JG,49
172,110JG,100
173,110JG,50
174,110JG,69
175,110JG,54
176,110JG,67
177,110JG,49
178,110JG,48
179,110JG,50
180,110JG,73
181,110JG,55
182,110JG,71
183,110JG,69
184,110JG,78
185,110JG,48
186,110JG,73
187,110JG,47
188,110JG,43
189,110JG,224
190,110JG,76
191,110JG,80
192,110JG,56
193,110JG,69
194,110JG,69
195,110JG,51
196,110JG,47
197,110JG,74
198,110JG,80
199,110JG,82
200,110JG,141
201,110JG,60
202,110JG,47
203,110JG,50
204,110JG,83
205,110JG,48
206,110JG,46
207,110JG,47
208,110JG,48
209,110JG,66
210,110JG,44
211,110JG,76
212,110JG,81
213,110JG,67
214,110JG,61
215,110JG,41
216,110JG,51
217,110JG,51
218,110JG,45
219,110JG,71
220,110JG,48
221,110JG,45
222,110JG,143
223,110JG,128
224,110JG,61
225,110JG,268
226,110JG,53
227,110JG,48
228,110JG,75
229,110JG,48
230,110JG,45
231,110JG,50
232,110JG,57
233,110JG,53
234,110JG,47
235,110JG,46
236,110JG,66
237,110JG,46
238,110JG,45
239,110JG,124
240,110JG,48
241,110JG,70
242,110JG,51
243,110JG,76
244,110JG,50
245,110JG,78
246,110JG,45
247,110JG,76
248,110JG,71
249,110JG,43
250,110JG,47
251,110JG,50
252,110JG,269
253,110JG,42
254,110JG,80
255,110JG,46
256,110JG,45
257,110JG,70
258,110JG,46
259,110JG,80
260,110JG,45
261,110JG,42
262,110JG,78
263,110JG,47
264,110JG,76
265,110JG,53
266,110JG,53
267,110JG,47
268,110JG,44
269,110JG,46
270,110JG,66
271,110JG,49
272,110JG,50
273,110JG,73
274,110JG,81
275,110JG,81
276,110JG,47
277,110JG,108
278,110JG,54
279,110JG,57
280,110JG,56
281,110JG,66
282,110JG,66
283,110JG,45
284,110JG,45
285,110JG,94
286,110JG,72
287,110JG,49
288,110JG,50
289,110JG,45
290,110JG,48
291,110JG,75
292,110JG,48
293,110JG,47
294,110JG,45
295,110JG,56
296,110JG,45
297,110JG,70
298,110JG,51
299,110JG,75
300,110JG,47
301,110JG,46
302,110JG,51
303,110JG,36
304,110JG,70
305,110JG,52
306,110JG,49
307,110JG,83
308,110JG,68
309,110JG,49
310,110JG,49
311,110JG,45
312,110JG,48
313,110JG,73
314,110JG,46
315,110JG,60
316,110JG,88
317,110JG,50
318,110JG,48
319,110JG,74
320,110JG,70
321,110JG,44
322,110JG,45
323,110JG,44
324,110JG,62
325,110JG,53
326,110JG,48
327,110JG,45
328,110JG,38
329,110JG,46
330,110JG,51
331,110JG,124
332,110JG,45
333,110JG,53
334,110JG,42
335,110JG,48
336,110JG,43
337,110JG,64
338,110JG,48
339,110JG,81
340,110JG,60
