,vehicle,No added edges
0,110JG,137
1,110JG,16
2,110JG,36
3,110JG,23
4,110JG,37
5,110JG,8
6,110JG,27
7,110JG,105
8,110JG,126
9,110JG,282
10,110JG,27
11,110JG,46
12,110JG,43
13,110JG,49
14,110JG,36
15,110JG,52
16,110JG,43
17,110JG,2
18,110JG,17
19,110JG,25
20,110JG,45
21,110JG,38
22,110JG,47
23,110JG,26
24,110JG,75
25,110JG,44
26,110JG,105
27,110JG,116
28,110JG,55
29,110JG,13
30,110JG,16
31,110JG,47
32,110JG,14
33,110JG,39
34,110JG,52
35,110JG,26
36,110JG,250
37,110JG,28
38,110JG,35
39,110JG,38
40,110JG,20
41,110JG,30
42,110JG,24
43,110JG,99
44,110JG,239
45,110JG,48
46,110JG,38
47,110JG,32
48,110JG,23
49,110JG,119
50,110JG,31
51,110JG,48
52,110JG,48
53,110JG,58
54,110JG,60
55,110JG,47
56,110JG,33
57,110JG,181
58,110JG,70
59,110JG,25
60,110JG,22
61,110JG,59
62,110JG,43
63,110JG,54
64,110JG,53
65,110JG,46
66,110JG,33
67,110JG,43
68,110JG,60
69,110JG,9
70,110JG,17
71,110JG,14
72,110JG,140
73,110JG,108
74,110JG,310
75,110JG,59
76,110JG,44
77,110JG,16
78,110JG,50
79,110JG,38
80,110JG,20
81,110JG,28
82,110JG,40
83,110JG,33
84,110JG,48
85,110JG,48
86,110JG,107
87,110JG,62
88,110JG,45
89,110JG,49
90,110JG,50
91,110JG,29
92,110JG,36
93,110JG,36
94,110JG,20
95,110JG,107
96,110JG,110
97,110JG,83
98,110JG,63
99,110JG,31
100,110JG,58
101,110JG,64
102,110JG,51
103,110JG,63
104,110JG,254
105,110JG,47
106,110JG,32
107,110JG,46
108,110JG,30
109,110JG,51
110,110JG,45
111,110JG,49
112,110JG,14
113,110JG,23
114,110JG,38
115,110JG,72
116,110JG,45
117,110JG,59
118,110JG,47
119,110JG,41
120,110JG,26
121,110JG,54
122,110JG,121
123,110JG,40
124,110JG,39
125,110JG,61
126,110JG,22
127,110JG,35
128,110JG,41
129,110JG,38
130,110JG,31
131,110JG,49
132,110JG,19
133,110JG,76
134,110JG,26
135,110JG,36
136,110JG,35
137,110JG,107
138,110JG,142
139,110JG,35
140,110JG,74
141,110JG,43
142,110JG,55
143,110JG,113
144,110JG,49
145,110JG,113
146,110JG,19
147,110JG,52
148,110JG,41
149,110JG,41
150,110JG,10
151,110JG,35
152,110JG,17
153,110JG,208
154,110JG,20
155,110JG,5
156,110JG,47
157,110JG,32
158,110JG,57
159,110JG,23
160,110JG,21
161,110JG,55
162,110JG,134
163,110JG,33
164,110JG,26
165,110JG,18
166,110JG,33
167,110JG,29
168,110JG,25
169,110JG,51
170,110JG,39
171,110JG,40
172,110JG,48
173,110JG,38
174,110JG,33
175,110JG,37
176,110JG,26
177,110JG,48
178,110JG,15
179,110JG,50
180,110JG,28
181,110JG,32
182,110JG,48
183,110JG,20
184,110JG,45
185,110JG,33
186,110JG,19
187,110JG,35
188,110JG,109
189,110JG,25
190,110JG,19
191,110JG,314
192,110JG,14
193,110JG,126
194,110JG,84
195,110JG,49
196,110JG,53
197,110JG,50
198,110JG,113
199,110JG,53
200,110JG,121
201,110JG,62
202,110JG,211
203,110JG,74
204,110JG,26
205,110JG,114
206,110JG,32
207,110JG,51
208,110JG,17
209,110JG,43
210,110JG,41
211,110JG,20
212,110JG,31
213,110JG,35
214,110JG,20
215,110JG,29
216,110JG,120
217,110JG,14
218,110JG,49
219,110JG,13
220,110JG,51
221,110JG,52
222,110JG,35
223,110JG,20
224,110JG,118
225,110JG,187
226,110JG,223
227,110JG,49
228,110JG,339
229,110JG,12
230,110JG,91
231,110JG,30
232,110JG,36
233,110JG,113
234,110JG,19
235,110JG,16
236,110JG,53
237,110JG,16
238,110JG,48
239,110JG,43
240,110JG,38
241,110JG,65
242,110JG,62
243,110JG,17
244,110JG,40
245,110JG,38
246,110JG,47
247,110JG,139
248,110JG,94
249,110JG,115
250,110JG,43
251,110JG,23
252,110JG,60
253,110JG,62
254,110JG,285
255,110JG,51
256,110JG,71
257,110JG,99
258,110JG,37
259,110JG,32
260,110JG,72
261,110JG,131
262,110JG,47
263,110JG,24
264,110JG,25
265,110JG,31
266,110JG,23
267,110JG,57
268,110JG,54
269,110JG,97
270,110JG,37
271,110JG,27
272,110JG,44
273,110JG,51
274,110JG,23
275,110JG,51
276,110JG,55
277,110JG,54
278,110JG,39
279,110JG,13
280,110JG,41
281,110JG,139
282,110JG,46
283,110JG,42
284,110JG,65
285,110JG,36
286,110JG,23
287,110JG,123
288,110JG,127
289,110JG,28
290,110JG,71
291,110JG,40
292,110JG,54
293,110JG,13
294,110JG,42
295,110JG,20
296,110JG,24
297,110JG,28
298,110JG,28
299,110JG,46
300,110JG,39
301,110JG,71
302,110JG,62
303,110JG,26
304,110JG,60
305,110JG,19
306,110JG,111
307,110JG,43
308,110JG,104
309,110JG,49
310,110JG,36
311,110JG,63
312,110JG,20
313,110JG,63
314,110JG,48
315,110JG,54
316,110JG,114
317,110JG,16
318,110JG,47
319,110JG,33
320,110JG,29
321,110JG,20
322,110JG,47
323,110JG,32
324,110JG,20
325,110JG,46
326,110JG,51
327,110JG,19
328,110JG,120
329,110JG,125
330,110JG,21
331,110JG,55
332,110JG,193
333,110JG,65
334,110JG,38
335,110JG,74
336,110JG,20
337,110JG,19
338,110JG,36
