,vehicle,No added edges
0,110JG,80
1,110JG,65
2,110JG,49
3,110JG,81
4,110JG,38
5,110JG,57
6,110JG,140
7,110JG,53
8,110JG,74
9,110JG,48
10,110JG,56
11,110JG,55
12,110JG,47
13,110JG,35
14,110JG,47
15,110JG,86
16,110JG,2
17,110JG,5
18,110JG,44
19,110JG,20
20,110JG,17
21,110JG,74
22,110JG,70
23,110JG,48
24,110JG,139
25,110JG,84
26,110JG,30
27,110JG,46
28,110JG,51
29,110JG,65
30,110JG,18
31,110JG,44
32,110JG,55
33,110JG,71
34,110JG,68
35,110JG,49
36,110JG,68
37,110JG,110
38,110JG,72
39,110JG,122
40,110JG,44
41,110JG,34
42,110JG,55
43,110JG,32
44,110JG,49
45,110JG,20
46,110JG,39
47,110JG,240
48,110JG,66
49,110JG,56
50,110JG,45
51,110JG,135
52,110JG,65
53,110JG,47
54,110JG,124
55,110JG,4
56,110JG,26
57,110JG,44
58,110JG,35
59,110JG,98
60,110JG,129
61,110JG,18
62,110JG,48
63,110JG,42
64,110JG,81
65,110JG,86
66,110JG,80
67,110JG,4
68,110JG,50
69,110JG,121
70,110JG,68
71,110JG,77
72,110JG,80
73,110JG,87
74,110JG,45
75,110JG,132
76,110JG,26
77,110JG,39
78,110JG,45
79,110JG,65
80,110JG,23
81,110JG,59
82,110JG,76
83,110JG,4
84,110JG,27
85,110JG,42
86,110JG,34
87,110JG,36
88,110JG,34
89,110JG,52
90,110JG,45
91,110JG,86
92,110JG,55
93,110JG,37
94,110JG,71
95,110JG,58
96,110JG,57
97,110JG,22
98,110JG,129
99,110JG,29
100,110JG,40
101,110JG,62
102,110JG,36
103,110JG,86
104,110JG,77
105,110JG,34
106,110JG,0
107,110JG,9
108,110JG,49
109,110JG,34
110,110JG,29
111,110JG,92
112,110JG,49
113,110JG,67
114,110JG,41
115,110JG,22
116,110JG,80
117,110JG,16
118,110JG,16
119,110JG,45
120,110JG,43
121,110JG,12
122,110JG,0
123,110JG,70
124,110JG,40
125,110JG,36
126,110JG,36
127,110JG,38
128,110JG,20
129,110JG,73
130,110JG,65
131,110JG,74
132,110JG,7
133,110JG,39
134,110JG,0
135,110JG,55
136,110JG,72
137,110JG,69
138,110JG,41
139,110JG,37
140,110JG,66
141,110JG,4
142,110JG,59
143,110JG,5
