,vehicle,No added edges
0,110JG,154
1,110JG,44
2,110JG,5
3,110JG,51
4,110JG,55
5,110JG,72
6,110JG,45
7,110JG,45
8,110JG,55
9,110JG,67
10,110JG,42
11,110JG,49
12,110JG,51
13,110JG,78
14,110JG,55
15,110JG,89
16,110JG,58
17,110JG,43
18,110JG,61
19,110JG,66
20,110JG,57
21,110JG,53
22,110JG,69
23,110JG,54
24,110JG,83
25,110JG,14
26,110JG,41
27,110JG,43
28,110JG,35
29,110JG,53
30,110JG,80
31,110JG,72
32,110JG,44
33,110JG,17
34,110JG,1
35,110JG,71
36,110JG,44
37,110JG,49
38,110JG,103
39,110JG,39
40,110JG,68
41,110JG,16
42,110JG,62
43,110JG,43
44,110JG,72
45,110JG,1
46,110JG,49
47,110JG,60
48,110JG,47
49,110JG,43
50,110JG,58
51,110JG,84
52,110JG,99
53,110JG,2
54,110JG,2
55,110JG,41
56,110JG,81
57,110JG,33
58,110JG,55
59,110JG,43
60,110JG,13
61,110JG,10
62,110JG,50
63,110JG,91
64,110JG,31
65,110JG,63
66,110JG,16
67,110JG,20
68,110JG,47
69,110JG,60
70,110JG,46
71,110JG,139
72,110JG,79
73,110JG,73
74,110JG,71
75,110JG,2
76,110JG,56
77,110JG,48
78,110JG,38
79,110JG,40
80,110JG,87
81,110JG,62
82,110JG,60
83,110JG,15
84,110JG,64
85,110JG,79
86,110JG,1
87,110JG,40
88,110JG,70
89,110JG,17
90,110JG,73
91,110JG,2
92,110JG,48
93,110JG,81
94,110JG,36
95,110JG,51
96,110JG,72
97,110JG,45
98,110JG,50
99,110JG,40
100,110JG,64
101,110JG,77
102,110JG,81
103,110JG,3
104,110JG,85
105,110JG,72
106,110JG,16
107,110JG,15
108,110JG,64
109,110JG,52
110,110JG,15
111,110JG,14
112,110JG,18
113,110JG,66
114,110JG,64
115,110JG,44
116,110JG,4
117,110JG,64
118,110JG,79
119,110JG,40
120,110JG,1
121,110JG,53
122,110JG,227
123,110JG,63
124,110JG,46
125,110JG,12
126,110JG,79
127,110JG,40
128,110JG,61
129,110JG,43
130,110JG,102
131,110JG,46
132,110JG,63
133,110JG,41
134,110JG,68
135,110JG,37
136,110JG,61
137,110JG,29
138,110JG,84
139,110JG,45
140,110JG,178
141,110JG,60
142,110JG,89
143,110JG,85
144,110JG,37
145,110JG,44
146,110JG,3
147,110JG,116
148,110JG,60
149,110JG,4
150,110JG,6
151,110JG,14
152,110JG,46
153,110JG,51
154,110JG,59
155,110JG,138
156,110JG,77
157,110JG,51
158,110JG,3
159,110JG,55
160,110JG,3
161,110JG,52
162,110JG,79
163,110JG,8
164,110JG,43
165,110JG,50
166,110JG,66
167,110JG,48
168,110JG,58
169,110JG,46
170,110JG,48
171,110JG,1
172,110JG,67
173,110JG,17
174,110JG,27
175,110JG,48
176,110JG,44
177,110JG,45
178,110JG,75
179,110JG,81
180,110JG,61
181,110JG,70
182,110JG,45
183,110JG,76
184,110JG,44
185,110JG,52
186,110JG,43
187,110JG,68
188,110JG,80
189,110JG,52
190,110JG,45
191,110JG,46
192,110JG,71
193,110JG,84
194,110JG,60
195,110JG,41
196,110JG,117
197,110JG,41
198,110JG,44
199,110JG,50
200,110JG,148
201,110JG,38
202,110JG,44
203,110JG,41
204,110JG,71
205,110JG,96
206,110JG,67
207,110JG,154
208,110JG,60
209,110JG,42
210,110JG,55
211,110JG,15
212,110JG,79
213,110JG,64
214,110JG,49
215,110JG,76
216,110JG,76
217,110JG,89
218,110JG,50
219,110JG,48
220,110JG,5
221,110JG,40
222,110JG,48
223,110JG,3
224,110JG,70
225,110JG,44
226,110JG,104
227,110JG,77
228,110JG,76
229,110JG,72
230,110JG,49
231,110JG,130
232,110JG,72
233,110JG,55
234,110JG,77
235,110JG,40
236,110JG,57
237,110JG,2
238,110JG,51
239,110JG,67
240,110JG,41
241,110JG,18
242,110JG,15
243,110JG,66
244,110JG,57
245,110JG,54
246,110JG,59
247,110JG,51
248,110JG,30
249,110JG,89
250,110JG,101
251,110JG,48
252,110JG,42
253,110JG,65
254,110JG,131
255,110JG,67
256,110JG,49
257,110JG,62
258,110JG,9
259,110JG,88
260,110JG,54
261,110JG,62
262,110JG,107
263,110JG,54
264,110JG,51
265,110JG,46
266,110JG,63
267,110JG,69
268,110JG,86
269,110JG,92
270,110JG,3
271,110JG,126
272,110JG,56
273,110JG,65
274,110JG,49
275,110JG,4
276,110JG,55
277,110JG,24
278,110JG,112
279,110JG,42
280,110JG,48
281,110JG,87
282,110JG,44
283,110JG,176
284,110JG,79
285,110JG,39
286,110JG,62
287,110JG,51
288,110JG,45
289,110JG,51
290,110JG,56
291,110JG,52
292,110JG,51
293,110JG,65
294,110JG,77
295,110JG,63
296,110JG,42
297,110JG,56
298,110JG,58
299,110JG,59
300,110JG,57
301,110JG,80
302,110JG,23
303,110JG,18
304,110JG,41
305,110JG,94
306,110JG,86
307,110JG,45
308,110JG,71
309,110JG,68
310,110JG,39
311,110JG,16
312,110JG,86
313,110JG,51
314,110JG,59
315,110JG,79
316,110JG,69
317,110JG,62
318,110JG,12
319,110JG,51
320,110JG,43
321,110JG,67
322,110JG,43
323,110JG,72
324,110JG,39
325,110JG,59
326,110JG,69
327,110JG,11
328,110JG,83
329,110JG,61
330,110JG,117
331,110JG,126
332,110JG,42
333,110JG,46
334,110JG,7
335,110JG,73
336,110JG,99
337,110JG,57
338,110JG,86
339,110JG,51
340,110JG,35
341,110JG,56
342,110JG,74
343,110JG,54
344,110JG,58
345,110JG,46
346,110JG,121
347,110JG,57
348,110JG,63
349,110JG,52
350,110JG,60
351,110JG,128
352,110JG,4
353,110JG,41
354,110JG,91
355,110JG,99
356,110JG,49
357,110JG,2
358,110JG,99
359,110JG,82
360,110JG,14
361,110JG,57
362,110JG,84
363,110JG,44
364,110JG,83
365,110JG,42
366,110JG,63
367,110JG,88
368,110JG,48
369,110JG,50
370,110JG,3
371,110JG,44
372,110JG,14
373,110JG,62
374,110JG,133
375,110JG,79
376,110JG,28
377,110JG,66
378,110JG,52
379,110JG,52
380,110JG,44
381,110JG,35
382,110JG,52
383,110JG,61
384,110JG,62
385,110JG,40
386,110JG,54
387,110JG,46
388,110JG,43
389,110JG,86
390,110JG,71
391,110JG,52
392,110JG,15
393,110JG,14
394,110JG,67
395,110JG,43
396,110JG,60
397,110JG,78
398,110JG,37
399,110JG,60
400,110JG,67
401,110JG,40
402,110JG,81
403,110JG,83
404,110JG,71
405,110JG,65
406,110JG,1
407,110JG,60
408,110JG,40
409,110JG,70
410,110JG,57
411,110JG,81
412,110JG,53
413,110JG,53
414,110JG,66
415,110JG,43
416,110JG,80
417,110JG,21
418,110JG,92
419,110JG,47
420,110JG,56
421,110JG,109
422,110JG,79
423,110JG,196
424,110JG,31
425,110JG,71
426,110JG,47
427,110JG,121
428,110JG,42
429,110JG,62
430,110JG,7
431,110JG,54
432,110JG,43
433,110JG,84
434,110JG,15
435,110JG,40
436,110JG,41
437,110JG,15
438,110JG,16
439,110JG,82
440,110JG,44
441,110JG,70
442,110JG,51
443,110JG,48
444,110JG,90
445,110JG,101
446,110JG,121
447,110JG,113
448,110JG,68
449,110JG,4
450,110JG,53
451,110JG,67
452,110JG,2
453,110JG,98
454,110JG,46
455,110JG,91
456,110JG,80
457,110JG,15
458,110JG,74
459,110JG,84
460,110JG,79
461,110JG,3
462,110JG,55
463,110JG,55
464,110JG,41
465,110JG,77
466,110JG,53
467,110JG,36
468,110JG,35
469,110JG,0
470,110JG,20
471,110JG,91
472,110JG,78
473,110JG,44
474,110JG,85
475,110JG,29
476,110JG,74
477,110JG,56
478,110JG,52
479,110JG,81
480,110JG,49
481,110JG,68
482,110JG,67
483,110JG,68
484,110JG,85
485,110JG,39
486,110JG,51
487,110JG,38
488,110JG,75
489,110JG,66
490,110JG,132
491,110JG,46
492,110JG,78
493,110JG,18
494,110JG,102
495,110JG,43
496,110JG,76
497,110JG,4
498,110JG,123
499,110JG,82
500,110JG,16
501,110JG,71
502,110JG,78
503,110JG,2
504,110JG,3
505,110JG,55
506,110JG,42
507,110JG,18
508,110JG,57
509,110JG,138
510,110JG,55
511,110JG,34
512,110JG,92
513,110JG,51
514,110JG,45
515,110JG,50
516,110JG,45
517,110JG,86
518,110JG,60
519,110JG,84
520,110JG,85
521,110JG,44
522,110JG,35
523,110JG,47
524,110JG,59
525,110JG,64
526,110JG,1
527,110JG,57
528,110JG,100
529,110JG,48
530,110JG,58
531,110JG,72
532,110JG,11
533,110JG,45
534,110JG,49
535,110JG,52
536,110JG,65
537,110JG,61
538,110JG,58
539,110JG,69
540,110JG,85
541,110JG,144
542,110JG,18
543,110JG,16
544,110JG,57
545,110JG,94
546,110JG,56
547,110JG,22
548,110JG,40
549,110JG,88
550,110JG,37
551,110JG,48
552,110JG,54
