,vehicle,No added edges
0,110JG,63
1,110JG,61
2,110JG,39
3,110JG,89
4,110JG,44
5,110JG,62
6,110JG,162
7,110JG,55
8,110JG,66
9,110JG,53
10,110JG,66
11,110JG,58
12,110JG,69
13,110JG,36
14,110JG,47
15,110JG,87
16,110JG,2
17,110JG,3
18,110JG,5
19,110JG,12
20,110JG,16
21,110JG,96
22,110JG,81
23,110JG,42
24,110JG,132
25,110JG,72
26,110JG,62
27,110JG,62
28,110JG,66
29,110JG,51
30,110JG,14
31,110JG,51
32,110JG,57
33,110JG,83
34,110JG,44
35,110JG,73
36,110JG,63
37,110JG,63
38,110JG,127
39,110JG,70
40,110JG,89
41,110JG,50
42,110JG,39
43,110JG,62
44,110JG,36
45,110JG,52
46,110JG,24
47,110JG,42
48,110JG,221
49,110JG,50
50,110JG,64
51,110JG,36
52,110JG,140
53,110JG,106
54,110JG,49
55,110JG,112
56,110JG,4
57,110JG,37
58,110JG,46
59,110JG,39
60,110JG,72
61,110JG,131
62,110JG,11
63,110JG,21
64,110JG,55
65,110JG,37
66,110JG,67
67,110JG,98
68,110JG,78
69,110JG,4
70,110JG,41
71,110JG,119
72,110JG,75
73,110JG,76
74,110JG,55
75,110JG,69
76,110JG,50
77,110JG,138
78,110JG,18
79,110JG,38
80,110JG,44
81,110JG,67
82,110JG,19
83,110JG,46
84,110JG,73
85,110JG,4
86,110JG,70
87,110JG,43
88,110JG,35
89,110JG,38
90,110JG,39
91,110JG,79
92,110JG,44
93,110JG,94
94,110JG,64
95,110JG,44
96,110JG,78
97,110JG,60
98,110JG,65
99,110JG,13
100,110JG,127
101,110JG,32
102,110JG,44
103,110JG,51
104,110JG,40
105,110JG,85
106,110JG,69
107,110JG,65
108,110JG,7
109,110JG,43
110,110JG,41
111,110JG,38
112,110JG,112
113,110JG,41
114,110JG,54
115,110JG,43
116,110JG,24
117,110JG,78
118,110JG,14
119,110JG,17
120,110JG,48
121,110JG,54
122,110JG,12
123,110JG,76
124,110JG,52
125,110JG,37
126,110JG,40
127,110JG,87
128,110JG,45
129,110JG,15
130,110JG,55
131,110JG,61
132,110JG,85
133,110JG,4
134,110JG,44
135,110JG,43
136,110JG,47
137,110JG,75
138,110JG,72
139,110JG,55
140,110JG,53
141,110JG,66
142,110JG,55
143,110JG,1
144,110JG,104
145,110JG,5
146,110JG,51
147,110JG,65
148,110JG,51
149,110JG,67
150,110JG,19
151,110JG,3
152,110JG,96
153,110JG,43
154,110JG,85
155,110JG,42
156,110JG,36
157,110JG,58
158,110JG,55
159,110JG,121
160,110JG,88
161,110JG,64
162,110JG,91
163,110JG,43
164,110JG,68
165,110JG,15
166,110JG,44
167,110JG,96
168,110JG,17
169,110JG,63
170,110JG,44
171,110JG,51
172,110JG,58
173,110JG,60
174,110JG,60
175,110JG,47
176,110JG,56
177,110JG,137
178,110JG,33
179,110JG,59
180,110JG,49
181,110JG,59
182,110JG,63
183,110JG,120
184,110JG,52
185,110JG,63
186,110JG,77
187,110JG,79
188,110JG,89
189,110JG,13
190,110JG,51
191,110JG,63
192,110JG,52
193,110JG,77
194,110JG,122
195,110JG,41
196,110JG,26
197,110JG,78
198,110JG,126
199,110JG,56
200,110JG,90
201,110JG,70
202,110JG,44
203,110JG,68
204,110JG,52
205,110JG,63
206,110JG,48
207,110JG,51
208,110JG,50
209,110JG,73
210,110JG,39
211,110JG,125
212,110JG,51
213,110JG,2
214,110JG,62
215,110JG,92
216,110JG,97
217,110JG,74
218,110JG,56
219,110JG,52
220,110JG,13
221,110JG,69
222,110JG,142
223,110JG,225
224,110JG,68
225,110JG,15
226,110JG,47
227,110JG,45
228,110JG,35
229,110JG,44
230,110JG,81
231,110JG,54
232,110JG,33
233,110JG,34
234,110JG,65
235,110JG,51
236,110JG,64
237,110JG,42
238,110JG,49
239,110JG,83
240,110JG,60
241,110JG,76
242,110JG,50
243,110JG,51
244,110JG,95
245,110JG,73
246,110JG,66
247,110JG,92
248,110JG,26
249,110JG,48
250,110JG,185
251,110JG,122
252,110JG,53
253,110JG,8
254,110JG,45
255,110JG,45
256,110JG,50
257,110JG,15
258,110JG,65
259,110JG,84
260,110JG,76
261,110JG,42
262,110JG,73
263,110JG,57
264,110JG,42
265,110JG,78
266,110JG,75
267,110JG,120
268,110JG,49
269,110JG,66
270,110JG,56
271,110JG,96
272,110JG,64
273,110JG,24
274,110JG,131
275,110JG,46
276,110JG,62
277,110JG,30
278,110JG,46
279,110JG,37
280,110JG,48
281,110JG,32
282,110JG,15
283,110JG,39
284,110JG,179
285,110JG,82
286,110JG,38
287,110JG,26
288,110JG,29
289,110JG,68
290,110JG,69
291,110JG,68
292,110JG,90
293,110JG,17
294,110JG,61
295,110JG,58
296,110JG,87
297,110JG,37
298,110JG,130
299,110JG,4
300,110JG,62
301,110JG,51
302,110JG,74
303,110JG,60
304,110JG,162
305,110JG,37
306,110JG,62
307,110JG,87
308,110JG,45
309,110JG,138
310,110JG,37
311,110JG,98
312,110JG,136
313,110JG,58
314,110JG,54
315,110JG,51
316,110JG,46
317,110JG,59
318,110JG,3
319,110JG,38
320,110JG,47
321,110JG,48
322,110JG,10
323,110JG,42
324,110JG,57
325,110JG,68
326,110JG,77
327,110JG,45
328,110JG,79
329,110JG,54
330,110JG,33
331,110JG,48
332,110JG,68
333,110JG,14
334,110JG,88
335,110JG,18
336,110JG,14
337,110JG,132
338,110JG,60
339,110JG,73
340,110JG,34
341,110JG,101
342,110JG,57
343,110JG,49
344,110JG,67
345,110JG,66
346,110JG,76
347,110JG,73
348,110JG,79
349,110JG,16
350,110JG,52
351,110JG,64
352,110JG,60
353,110JG,72
354,110JG,67
355,110JG,72
356,110JG,24
357,110JG,43
358,110JG,57
359,110JG,70
360,110JG,51
361,110JG,136
362,110JG,67
363,110JG,49
364,110JG,88
365,110JG,41
366,110JG,34
367,110JG,72
368,110JG,77
369,110JG,133
370,110JG,63
371,110JG,64
372,110JG,50
373,110JG,4
374,110JG,46
375,110JG,94
376,110JG,14
377,110JG,79
378,110JG,68
379,110JG,44
380,110JG,37
381,110JG,54
382,110JG,44
383,110JG,66
384,110JG,46
385,110JG,49
386,110JG,77
387,110JG,62
388,110JG,47
389,110JG,50
390,110JG,67
391,110JG,78
392,110JG,48
393,110JG,46
394,110JG,38
395,110JG,55
396,110JG,39
397,110JG,78
398,110JG,75
399,110JG,38
400,110JG,80
401,110JG,26
402,110JG,48
403,110JG,22
404,110JG,43
405,110JG,87
406,110JG,96
407,110JG,84
408,110JG,0
409,110JG,54
410,110JG,58
411,110JG,13
412,110JG,3
413,110JG,76
414,110JG,75
415,110JG,93
416,110JG,48
417,110JG,38
418,110JG,80
419,110JG,59
420,110JG,71
421,110JG,59
422,110JG,71
423,110JG,35
424,110JG,43
425,110JG,49
426,110JG,23
427,110JG,17
428,110JG,62
429,110JG,52
430,110JG,71
431,110JG,43
432,110JG,43
433,110JG,149
434,110JG,113
435,110JG,75
436,110JG,51
437,110JG,43
438,110JG,98
439,110JG,14
440,110JG,37
441,110JG,44
442,110JG,27
443,110JG,56
444,110JG,37
445,110JG,87
446,110JG,124
447,110JG,53
448,110JG,52
449,110JG,54
450,110JG,55
451,110JG,43
452,110JG,135
453,110JG,64
454,110JG,46
455,110JG,3
456,110JG,57
457,110JG,69
458,110JG,74
459,110JG,9
460,110JG,48
461,110JG,76
462,110JG,41
463,110JG,81
464,110JG,81
465,110JG,90
466,110JG,66
467,110JG,92
468,110JG,56
469,110JG,48
470,110JG,62
471,110JG,91
472,110JG,56
473,110JG,44
474,110JG,46
475,110JG,80
476,110JG,182
477,110JG,46
478,110JG,61
479,110JG,28
480,110JG,30
481,110JG,73
482,110JG,22
483,110JG,38
484,110JG,75
485,110JG,65
486,110JG,49
487,110JG,73
488,110JG,61
489,110JG,44
490,110JG,57
491,110JG,14
492,110JG,30
493,110JG,68
494,110JG,76
495,110JG,83
496,110JG,37
497,110JG,51
498,110JG,40
499,110JG,66
500,110JG,98
501,110JG,47
502,110JG,57
503,110JG,23
504,110JG,93
505,110JG,37
506,110JG,52
507,110JG,81
508,110JG,58
509,110JG,32
510,110JG,72
511,110JG,51
512,110JG,35
513,110JG,45
514,110JG,49
515,110JG,46
516,110JG,48
517,110JG,81
518,110JG,39
519,110JG,71
520,110JG,84
521,110JG,64
522,110JG,49
523,110JG,69
524,110JG,74
525,110JG,18
526,110JG,61
527,110JG,40
528,110JG,40
529,110JG,46
530,110JG,72
531,110JG,11
532,110JG,22
533,110JG,34
534,110JG,5
535,110JG,43
536,110JG,83
537,110JG,93
538,110JG,35
539,110JG,44
540,110JG,50
541,110JG,73
542,110JG,39
543,110JG,47
544,110JG,72
545,110JG,71
546,110JG,85
547,110JG,100
548,110JG,80
549,110JG,34
550,110JG,48
551,110JG,47
552,110JG,93
553,110JG,40
554,110JG,56
555,110JG,55
556,110JG,91
557,110JG,53
558,110JG,73
559,110JG,86
560,110JG,49
561,110JG,33
562,110JG,52
563,110JG,27
564,110JG,90
565,110JG,54
566,110JG,45
567,110JG,39
568,110JG,66
569,110JG,84
570,110JG,78
571,110JG,83
572,110JG,28
573,110JG,48
574,110JG,59
575,110JG,92
576,110JG,70
577,110JG,79
