move,vehicle,hour,mean_speed
hs_sphs,110JG,19,17.8968254
hs_sphs,110JG,21,17.60416667
hs_sphs,110JG,19,17.8042328
hs_sphs,110JG,17,17.27598566
hs_sphs,110JG,17,18.09343434
hs_sphs,110JG,21,16.60805301
hs_sphs,110JG,16,16.95340502
hs_sphs,110JG,23,22.63261649
hs_sphs,110JG,1,20.96040189
hs_sphs,110JG,17,20.86447067
hs_sphs,110JG,16,15.1171024
hs_sphs,110JG,0,16.81238616
hs_sphs,110JG,19,16.84895833
hs_sphs,110JG,17,15.92190016
hs_sphs,110JG,19,16.32168459
hs_sphs,110JG,21,16.61111111
hs_sphs,110JG,12,17.47821351
hs_sphs,110JG,20,17.04569055
hs_sphs,110JG,3,18.43434343
hs_sphs,110JG,19,18.15613027
hs_sphs,110JG,11,16.73300166
hs_sphs,110JG,18,16.96208113
hs_sphs,110JG,18,20.27310924
hs_sphs,110JG,23,18.54166667
hs_sphs,110JG,0,18.44806763
hs_sphs,110JG,9,17.8185525
hs_sphs,110JG,16,20.34188034
hs_sphs,110JG,20,17.64479905
hs_sphs,110JG,1,18.82599581
hs_sphs,110JG,19,15.56380638
hs_sphs,110JG,5,16.92167577
hs_sphs,110JG,22,17.97222222
hs_sphs,110JG,23,20.50569801
hs_sphs,110JG,2,20.33333333
hs_sphs,110JG,6,15.90608466
hs_sphs,110JG,15,16.10277136
hs_sphs,110JG,8,16.2202381
hs_sphs,110JG,14,16.73611111
hs_sphs,110JG,19,15.89814815
hs_sphs,110JG,16,17.24945534
hs_sphs,110JG,5,17.19202899
hs_sphs,110JG,12,17.55668934
hs_sphs,110JG,22,19.12365591
hs_sphs,110JG,17,22.28602277
hs_sphs,110JG,7,13.83913765
hs_sphs,110JG,11,16.33680556
hs_sphs,110JG,19,17.53144654
hs_sphs,110JG,21,17.42165242
hs_sphs,110JG,19,17.46453901
hs_sphs,110JG,2,17.35142119
hs_sphs,110JG,0,20.71581197
hs_sphs,110JG,12,16.45224172
hs_sphs,110JG,14,14.33641975
hs_sphs,110JG,19,15.625
hs_sphs,110JG,0,17.46124031
hs_sphs,110JG,17,15.51709402
hs_sphs,110JG,17,19.79752343
hs_sphs,110JG,3,19.18381344
hs_sphs,110JG,19,17.28808706
hs_sphs,110JG,10,12.76666667
hs_sphs,110JG,20,15.99537037
hs_sphs,110JG,18,16.49641577
hs_sphs,110JG,16,13.45306513
hs_sphs,110JG,18,17.44949495
hs_sphs,110JG,23,19.47956577
hs_sphs,110JG,0,19.2816092
hs_sphs,110JG,18,16.98989899
hs_sphs,110JG,4,21.84620596
hs_sphs,110JG,0,17.97222222
hs_sphs,110JG,19,17.90189125
hs_sphs,110JG,21,18.2910628
hs_sphs,110JG,15,15.52579365
hs_sphs,110JG,20,15.12205387
hs_sphs,110JG,17,28.03376906
hs_sphs,110JG,19,19.04255319
hs_sphs,110JG,23,21.14766082
hs_sphs,110JG,16,15.3411306
hs_sphs,110JG,19,21.51084011
hs_sphs,110JG,12,17.16269841
hs_sphs,110JG,0,17.65
hs_sphs,110JG,17,16.76272066
hs_sphs,110JG,19,15.19230769
hs_sphs,110JG,2,18.85185185
hs_sphs,110JG,6,16.31147541
hs_sphs,110JG,19,17.36961451
hs_sphs,110JG,17,16.06102004
hs_sphs,110JG,21,17.04545455
hs_sphs,110JG,8,15.9909188
hs_sphs,110JG,18,20.31084656
hs_sphs,110JG,12,17.2851153
hs_sphs,110JG,19,17.6713948
hs_sphs,110JG,19,16.32662835
hs_sphs,110JG,18,17.4382716
