"","x"
"1",0
"2",0
"3",0
"4",1
"5",1
"6",1
"7",1
"8",2
"9",2
"10",2
"11",2
"12",2
"13",2
"14",3
"15",3
"16",4
"17",4
"18",4
"19",5
"20",5
"21",5
"22",6
"23",6
"24",6
"25",6
"26",6
"27",6
"28",6
"29",6
"30",7
"31",7
"32",7
"33",0
"34",0
"35",0
"36",8
"37",8
"38",8
"39",0
"40",9
"41",9
"42",9
"43",9
"44",10
"45",10
"46",10
"47",10
"48",0
"49",11
"50",11
"51",11
"52",11
"53",12
"54",12
"55",12
"56",13
"57",13
"58",13
"59",14
"60",14
"61",15
"62",15
"63",0
"64",16
"65",16
"66",0
"67",0
"68",17
"69",17
"70",17
"71",17
"72",17
"73",0
"74",18
"75",18
"76",18
"77",18
"78",18
"79",18
"80",19
"81",19
"82",19
"83",19
"84",0
"85",20
"86",20
"87",21
"88",21
"89",21
"90",22
"91",22
"92",23
"93",23
"94",23
"95",24
"96",24
"97",24
"98",25
"99",25
"100",25
"101",25
"102",25
"103",25
"104",25
"105",0
"106",26
"107",26
"108",26
"109",27
"110",27
"111",0
"112",0
"113",0
"114",0
"115",28
"116",28
"117",29
"118",29
"119",29
"120",30
"121",30
"122",30
"123",30
"124",31
"125",31
"126",31
"127",32
"128",32
"129",33
"130",33
"131",33
"132",33
"133",33
"134",34
"135",34
"136",34
"137",34
"138",34
"139",34
"140",34
"141",34
"142",35
"143",35
"144",35
"145",36
"146",36
"147",0
"148",0
"149",0
"150",0
"151",0
"152",0
"153",0
"154",0
"155",37
"156",37
"157",37
"158",38
"159",38
"160",39
"161",39
"162",39
"163",0
"164",0
"165",0
"166",0
"167",0
"168",0
"169",0
"170",40
"171",40
"172",40
"173",41
"174",41
"175",41
"176",42
"177",42
"178",42
"179",42
"180",42
"181",42
"182",42
"183",0
"184",43
"185",43
"186",43
"187",43
"188",43
"189",44
"190",44
"191",45
"192",45
"193",45
"194",45
"195",45
"196",45
"197",45
"198",46
"199",46
"200",46
"201",47
"202",47
"203",0
"204",48
"205",48
"206",48
"207",49
"208",49
"209",49
"210",50
"211",50
"212",50
"213",50
"214",50
"215",50
"216",50
"217",50
"218",51
"219",51
"220",51
"221",51
"222",52
"223",52
"224",52
