movement_id,first_LAT,first_LON,last_LAT,last_LON,num_lines,first_time,last_time,length_metres,duration,first_position_closest_centre_id,first_position_closest_hospital_id,first_position_min_dist_to_centre,first_position_min_dist_to_hospital,last_position_closest_centre_id,last_position_closest_hospital_id,last_position_min_dist_to_centre,last_position_min_dist_to_hospital
14,49.183748,18.863311,49.077779,18.926654,95,3/3/2016 16:04,3/3/2016 16:22,17463.857780000002,18.03333333,207,74,33.79189943,9189.245751,314,39,554.8558805,2063.546939
59,49.18393,18.863032,49.078283,18.927169,96,3/6/2016 22:23,3/6/2016 22:42,17462.85484,18.5,207,74,9.552520549,9162.510004,314,39,598.1983537000001,2129.124903
64,49.18393,18.862946,49.217672,18.747933,65,3/7/2016 6:20,3/7/2016 6:33,10021.44793,13.0,207,74,4.289610148,9156.780014,370,74,348.0696443,84.22497028
85,49.183791,18.863225,49.19836,18.721218,92,3/8/2016 13:20,3/8/2016 13:40,14104.690680000002,20.91666667,207,74,25.99809927,9181.590393,272,74,1361.039275,2823.202139
90,49.183876,18.86301,49.226695,18.746066,53,3/8/2016 17:42,3/8/2016 17:52,10580.90235,10.1,207,74,7.819543679,9163.461195,270,74,915.3968672,1091.935099
109,49.183887,18.86301,49.217071000000004,18.740015,73,3/9/2016 21:04,3/9/2016 21:18,10950.59706,14.06666667,207,74,7.49010651,9162.968561,273,74,856.122943,554.631685
127,49.183876,18.86271,49.438246,18.7707,192,3/11/2016 4:33,3/11/2016 5:08,42412.11087,35.15,207,74,14.72408058,9143.481725,286,15,123.0875797,123.0875797
145,49.183909,18.863096,49.23045,18.732913,87,3/11/2016 22:29,3/11/2016 22:47,13601.071569999998,17.13333333,207,74,13.64335139,9167.713620999999,271,74,576.2027582999999,1846.1325219999999
158,49.183726,18.863096,49.082017,18.899081,104,3/12/2016 19:50,3/12/2016 20:08,18783.62616,18.26666667,207,74,23.67105909,9175.917416,120,39,2237.672586,2746.2847469999997
189,49.183748,18.863182000000002,49.220471999999994,18.731968,69,3/14/2016 18:55,3/14/2016 19:48,11942.16682,52.96666667,207,74,26.09382184,9180.655281,273,74,221.64785730000003,1205.450028
201,49.183619,18.863160999999998,49.22736,18.732934,90,3/15/2016 13:38,3/15/2016 13:58,12337.70375,19.23333333,207,74,36.25878993,9185.056809,271,74,306.8374486,1577.560516
233,49.183865999999995,18.863289,49.230579,18.730102,89,3/17/2016 14:23,3/17/2016 14:39,13353.19209,16.56666667,207,74,27.90746336,9182.496692,271,74,535.2211269999999,1982.676861
235,49.183758000000005,18.863225,49.206493,18.766837,83,3/17/2016 16:07,3/17/2016 16:39,12694.27262,31.31666667,207,74,27.90241378,9183.069992,370,74,1563.064413,1816.9648
291,49.183351,18.862967,49.119621,18.944335,74,3/20/2016 22:46,3/20/2016 23:00,15219.375240000001,13.3,207,74,61.25994005,9184.275441,257,39,2122.090473,6892.174126000001
339,49.183876,18.863075,49.215269,18.74244,72,3/22/2016 22:52,3/22/2016 23:04,10878.57719,12.3,207,74,12.37046284,9167.791187,370,74,765.1457865,421.3950763
353,49.183952000000005,18.863032,49.173126,18.728042000000002,94,3/23/2016 19:39,3/23/2016 19:55,16372.86794,15.75,207,74,10.65860374,9161.526378,272,74,2813.252584,5081.446870000001
356,49.184241,18.862581,49.186376,18.855435999999997,16,3/24/2016 1:48,3/24/2016 1:50,1170.47271,2.55,207,74,44.83902837,9118.569245,207,74,609.6072713,8547.040669
366,49.438525,18.772845,49.43874,18.779347,9,3/24/2016 13:29,3/24/2016 13:35,590.4945156,5.766666667000001,286,15,42.93511466,42.93511466,43,15,359.6492004,505.587176
426,49.183726,18.863289,49.166388,18.881013,30,3/26/2016 12:28,3/26/2016 12:34,5600.203464,6.083333333,207,74,33.75921444,9188.767476,207,74,2352.896189,11216.757940000001
453,49.184016,18.862560000000002,49.205698999999996,18.738363,74,3/28/2016 23:51,3/29/2016 0:04,11843.37371,13.25,207,74,28.48859313,9127.215042,272,74,953.0938182,1421.617773
455,49.183844,18.863096,49.192941999999995,18.815160000000002,38,3/29/2016 3:44,3/29/2016 3:52,4714.674442,8.716666667,207,74,14.96659377,9170.623195999999,207,74,3616.8811159999996,5590.408264
465,49.183844,18.863246,49.210902000000004,18.780676999999997,52,3/29/2016 12:45,3/29/2016 13:00,7526.425862,15.13333333,207,74,25.30085951,9180.615723,370,74,2151.295825,2494.6400129999997
493,49.183801,18.863075,49.214529,18.710618,84,3/30/2016 18:28,3/30/2016 18:42,14831.64761,13.91666667,207,74,16.35068927,9171.152127,273,74,1467.193694,2705.411818
495,49.18393,18.862925,49.256478,18.744328,156,3/30/2016 20:36,3/30/2016 21:06,22535.25952,30.01666667,207,74,3.536689552,9155.380935,271,74,3582.973126,4407.928471
674,49.184037,18.862560000000002,49.217704,18.747889999999998,63,4/11/2016 6:46,4/11/2016 7:00,10000.99408,14.21666667,207,74,29.62158866,9126.274948,370,74,351.8807435,86.969111
704,49.184005,18.862624,49.131240999999996,18.713794,101,4/12/2016 22:52,4/12/2016 23:11,21886.78115,18.55,207,74,23.80447243,9131.971040999999,176,74,7057.209941,9852.833773999999
778,49.183984,18.863032,49.243109999999994,18.819344,107,4/16/2016 16:49,4/16/2016 17:10,18833.1279,20.68333333,207,74,12.94356567,9160.096629000001,270,74,5337.120575,5971.328221
780,49.183898,18.863075,49.215804999999996,18.760958,59,4/16/2016 19:13,4/16/2016 19:27,9467.193665,13.53333333,207,74,12.08056478,9166.80652,370,74,621.5741245,976.6173779
848,49.183855,18.863096,49.205742,18.734307,49,4/20/2016 19:40,4/20/2016 19:50,11756.65474,9.75,207,74,14.49935666,9170.13047,272,74,1033.455324,1579.247874
879,49.183909,18.862839,49.223326,18.742418,48,4/22/2016 19:25,4/22/2016 19:34,10491.55473,9.216666667,207,74,5.190948979,9150.592545,270,74,930.6106367000001,805.9282762999999
882,49.183909,18.863139,49.22736,18.74171,48,4/23/2016 0:48,4/23/2016 0:58,10934.766529999999,10.73333333,207,74,16.76524963,9170.578837000001,271,74,907.1477762000001,1237.484783
939,49.183823,18.863139,49.175165,18.817176999999997,38,4/25/2016 21:24,4/25/2016 21:32,4722.534052,7.933333332999999,207,74,18.80273032,9174.428253,207,74,3467.0027,6871.210561
1030,49.18363,18.863289,49.211878999999996,18.733276999999998,51,5/1/2016 7:55,5/1/2016 8:07,11581.53267,11.6,207,74,40.83973418,9193.080240000001,273,74,942.3849585,1186.699846
1069,49.18378,18.863096,49.230633000000005,18.730037,84,5/3/2016 16:20,5/3/2016 16:37,13333.09781,16.98333333,207,74,19.06785209,9173.492682,271,74,540.8269680999999,1990.31885
1074,49.183984,18.863096,49.206953999999996,18.718364,69,5/4/2016 1:03,5/4/2016 1:18,13583.57574,15.06666667,207,74,16.50985036,9164.362371,273,74,1635.835898,2401.7235140000003
1085,49.183962,18.86286,49.212994,18.732955,61,5/4/2016 23:27,5/4/2016 23:39,11223.9815,11.8,207,74,7.768308856,9149.618381,273,74,817.6089988,1154.659807
1087,49.183952000000005,18.862817,49.060452000000005,18.916483,112,5/5/2016 6:10,5/5/2016 6:35,20025.843240000002,25.61666667,207,74,8.849812542999999,9147.201159999999,120,39,815.8383352999999,43.89626109
