"","x"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0
"17",1
"18",1
"19",1
"20",1
"21",1
"22",1
"23",1
"24",0
"25",0
"26",0
"27",2
"28",2
"29",2
"30",3
"31",3
"32",3
"33",3
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",4
"54",4
"55",4
"56",4
"57",4
"58",0
"59",0
"60",0
"61",0
"62",0
"63",0
"64",0
"65",0
"66",0
"67",0
"68",0
"69",0
"70",5
"71",5
"72",5
"73",5
"74",6
"75",6
"76",6
"77",6
"78",6
"79",6
"80",0
"81",7
"82",7
"83",0
"84",8
"85",8
"86",8
"87",8
"88",8
"89",9
"90",9
"91",9
"92",9
"93",0
"94",10
"95",10
"96",11
"97",11
"98",11
"99",11
"100",11
"101",0
"102",0
"103",12
"104",12
"105",12
"106",0
"107",0
"108",0
"109",0
"110",0
"111",0
"112",0
"113",0
"114",0
"115",0
"116",13
"117",13
"118",13
"119",13
"120",13
"121",13
"122",13
"123",13
"124",0
"125",14
"126",14
"127",14
"128",14
"129",14
"130",14
"131",14
"132",15
"133",15
"134",15
"135",0
"136",16
"137",16
"138",17
"139",17
"140",17
"141",18
"142",18
"143",0
"144",19
"145",19
"146",20
"147",20
"148",20
"149",20
"150",20
"151",0
"152",0
"153",0
"154",21
"155",21
"156",21
"157",22
"158",22
"159",23
"160",23
"161",23
"162",23
"163",23
"164",23
"165",24
"166",24
"167",0
"168",25
"169",25
"170",25
"171",25
"172",25
"173",25
"174",25
"175",26
"176",26
"177",26
"178",0
"179",0
"180",0
"181",27
"182",27
"183",27
"184",27
"185",28
"186",28
"187",0
"188",0
"189",0
"190",0
"191",0
"192",0
"193",0
"194",0
"195",0
"196",0
"197",0
"198",0
"199",0
"200",0
"201",0
"202",0
"203",0
"204",29
"205",29
"206",30
"207",30
"208",0
"209",0
"210",0
"211",0
"212",0
"213",31
"214",31
"215",0
"216",0
"217",0
"218",0
"219",0
"220",0
"221",32
"222",32
"223",32
"224",33
