"","x"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0
"32",0
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0
"54",0
"55",0
"56",0
"57",0
"58",0
"59",0
"60",0
"61",0
"62",0
"63",0
"64",0
"65",0
"66",0
"67",0
"68",0
"69",0
"70",0
"71",0
"72",0
"73",0
"74",0
"75",0
"76",0
"77",0
"78",0
"79",1
"80",1
"81",2
"82",2
"83",3
"84",3
"85",3
"86",4
"87",4
"88",4
"89",5
"90",5
"91",5
"92",5
"93",0
"94",0
"95",0
"96",6
"97",6
"98",6
"99",0
"100",0
"101",7
"102",7
"103",8
"104",8
"105",9
"106",9
"107",10
"108",10
"109",11
"110",11
"111",11
"112",12
"113",12
"114",0
"115",0
"116",13
"117",13
"118",14
"119",14
"120",0
"121",15
"122",15
"123",15
"124",16
"125",16
"126",17
"127",17
"128",17
"129",18
"130",18
"131",18
"132",19
"133",19
"134",19
"135",19
"136",0
"137",0
"138",20
"139",20
"140",20
"141",20
"142",0
"143",0
"144",0
"145",0
"146",0
"147",21
"148",21
"149",21
"150",0
"151",22
"152",22
"153",22
"154",0
"155",23
"156",23
"157",23
"158",0
"159",24
"160",24
"161",25
"162",25
"163",26
"164",26
"165",26
"166",26
"167",26
"168",26
"169",26
"170",26
"171",0
"172",0
"173",0
"174",0
"175",0
"176",0
"177",0
"178",0
"179",27
"180",27
"181",27
"182",27
"183",28
"184",28
"185",28
"186",29
"187",29
"188",29
"189",29
"190",30
"191",30
"192",31
"193",31
"194",31
"195",32
"196",32
"197",32
"198",33
"199",33
"200",0
"201",34
"202",34
"203",34
"204",34
"205",35
"206",35
"207",35
"208",0
"209",0
"210",36
"211",36
"212",36
"213",0
"214",0
"215",37
"216",37
"217",38
"218",38
"219",39
"220",39
"221",39
"222",39
"223",40
"224",40
