"","x"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0
"32",0
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0
"54",0
"55",1
"56",1
"57",1
"58",1
"59",1
"60",1
"61",1
"62",0
"63",0
"64",0
"65",0
"66",2
"67",2
"68",0
"69",0
"70",3
"71",3
"72",4
"73",4
"74",5
"75",5
"76",5
"77",5
"78",0
"79",6
"80",6
"81",6
"82",0
"83",0
"84",0
"85",7
"86",7
"87",8
"88",8
"89",9
"90",9
"91",9
"92",0
"93",10
"94",10
"95",10
"96",0
"97",0
"98",11
"99",11
"100",11
"101",12
"102",12
"103",12
"104",13
"105",13
"106",0
"107",0
"108",14
"109",14
"110",15
"111",15
"112",16
"113",16
"114",16
"115",17
"116",17
"117",0
"118",0
"119",0
"120",18
"121",18
"122",18
"123",18
"124",0
"125",19
"126",19
"127",19
"128",0
"129",20
"130",20
"131",20
"132",21
"133",21
"134",21
"135",22
"136",22
"137",22
"138",0
"139",0
"140",23
"141",23
"142",23
"143",23
"144",0
"145",24
"146",24
"147",25
"148",25
"149",0
"150",0
"151",0
"152",0
"153",0
"154",0
"155",26
"156",26
"157",27
"158",27
"159",0
"160",28
"161",28
"162",29
"163",29
"164",30
"165",30
"166",30
"167",31
"168",31
"169",32
"170",32
"171",32
"172",0
"173",0
"174",33
"175",33
"176",33
"177",0
"178",34
"179",34
"180",34
"181",0
"182",35
"183",35
"184",36
"185",36
"186",0
"187",37
"188",37
"189",38
"190",38
"191",38
"192",0
"193",0
"194",0
"195",0
"196",0
"197",0
"198",0
"199",0
"200",39
"201",39
"202",39
"203",40
"204",40
"205",40
"206",0
"207",41
"208",41
"209",41
"210",42
"211",42
"212",42
"213",43
"214",43
"215",43
"216",0
"217",0
"218",44
"219",44
"220",44
"221",45
"222",45
"223",45
"224",45
