"","x"
"1",0
"2",0
"3",1
"4",1
"5",1
"6",1
"7",1
"8",2
"9",2
"10",2
"11",3
"12",3
"13",0
"14",4
"15",4
"16",0
"17",5
"18",5
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0
"32",0
"33",0
"34",6
"35",6
"36",7
"37",7
"38",7
"39",0
"40",8
"41",8
"42",8
"43",8
"44",9
"45",9
"46",10
"47",10
"48",10
"49",11
"50",11
"51",11
"52",12
"53",12
"54",12
"55",13
"56",13
"57",0
"58",0
"59",0
"60",0
"61",14
"62",14
"63",14
"64",15
"65",15
"66",0
"67",16
"68",16
"69",0
"70",17
"71",17
"72",18
"73",18
"74",19
"75",19
"76",19
"77",0
"78",20
"79",20
"80",21
"81",21
"82",22
"83",22
"84",22
"85",23
"86",23
"87",23
"88",23
"89",0
"90",24
"91",24
"92",24
"93",24
"94",0
"95",0
"96",25
"97",25
"98",25
"99",25
"100",26
"101",26
"102",0
"103",27
"104",27
"105",27
"106",27
"107",27
"108",0
"109",0
"110",0
"111",0
"112",28
"113",28
"114",28
"115",0
"116",29
"117",29
"118",29
"119",30
"120",30
"121",30
"122",30
"123",30
"124",30
"125",31
"126",31
"127",31
"128",31
"129",31
"130",32
"131",32
"132",32
"133",32
"134",33
"135",33
"136",0
"137",0
"138",34
"139",34
"140",34
"141",0
"142",0
"143",0
"144",35
"145",35
"146",0
"147",0
"148",0
"149",0
"150",0
"151",0
"152",0
"153",0
"154",0
"155",36
"156",36
"157",37
"158",37
"159",37
"160",38
"161",38
"162",38
"163",38
"164",0
"165",0
"166",0
"167",0
"168",0
"169",39
"170",39
"171",39
"172",40
"173",40
"174",40
"175",41
"176",41
"177",42
"178",42
"179",42
"180",42
"181",43
"182",43
"183",43
"184",44
"185",44
"186",44
"187",0
"188",0
"189",0
"190",45
"191",45
"192",45
"193",45
"194",45
"195",45
"196",46
"197",46
"198",46
"199",46
"200",0
"201",0
"202",0
"203",0
"204",47
"205",47
"206",48
"207",48
"208",48
"209",49
"210",49
"211",50
"212",50
"213",50
"214",51
"215",51
"216",51
"217",51
"218",51
"219",52
"220",52
"221",52
"222",53
"223",53
"224",53
