"","x"
"1",1
"2",1
"3",2
"4",2
"5",2
"6",0
"7",0
"8",3
"9",3
"10",3
"11",4
"12",4
"13",4
"14",5
"15",5
"16",5
"17",6
"18",6
"19",6
"20",7
"21",7
"22",8
"23",8
"24",9
"25",9
"26",9
"27",10
"28",10
"29",10
"30",11
"31",11
"32",11
"33",11
"34",11
"35",12
"36",12
"37",13
"38",13
"39",14
"40",14
"41",14
"42",15
"43",15
"44",15
"45",16
"46",16
"47",16
"48",17
"49",17
"50",17
"51",17
"52",17
"53",18
"54",18
"55",18
"56",19
"57",19
"58",19
"59",0
"60",0
"61",0
"62",20
"63",20
"64",20
"65",21
"66",21
"67",21
"68",22
"69",22
"70",22
"71",22
"72",23
"73",23
"74",23
"75",0
"76",24
"77",24
"78",25
"79",25
"80",26
"81",26
"82",27
"83",27
"84",27
"85",0
"86",28
"87",28
"88",28
"89",28
"90",0
"91",0
"92",29
"93",29
"94",30
"95",30
"96",30
"97",31
"98",31
"99",32
"100",32
"101",32
"102",33
"103",33
"104",33
"105",34
"106",34
"107",34
"108",35
"109",35
"110",35
"111",36
"112",36
"113",37
"114",37
"115",37
"116",0
"117",38
"118",38
"119",0
"120",39
"121",39
"122",0
"123",40
"124",40
"125",41
"126",41
"127",42
"128",42
"129",42
"130",43
"131",43
"132",44
"133",44
"134",45
"135",45
"136",45
"137",46
"138",46
"139",0
"140",47
"141",47
"142",47
"143",48
"144",48
"145",48
"146",49
"147",49
"148",49
"149",49
"150",0
"151",50
"152",50
"153",51
"154",51
"155",52
"156",52
"157",52
"158",53
"159",53
"160",53
"161",54
"162",54
"163",55
"164",55
"165",56
"166",56
"167",57
"168",57
"169",58
"170",58
"171",58
"172",59
"173",59
"174",59
"175",59
"176",60
"177",60
"178",60
"179",61
"180",61
"181",61
"182",62
"183",62
"184",63
"185",63
"186",63
"187",63
"188",64
"189",64
"190",64
"191",65
"192",65
"193",66
"194",66
"195",66
"196",67
"197",67
"198",67
"199",0
"200",0
"201",68
"202",68
"203",68
"204",69
"205",69
"206",69
"207",70
"208",70
"209",70
"210",0
"211",71
"212",71
"213",71
"214",72
"215",72
"216",72
"217",73
"218",73
"219",73
"220",74
"221",74
"222",74
"223",75
"224",75
"225",76
"226",76
"227",76
"228",77
"229",77
"230",77
"231",78
"232",78
"233",0
"234",79
"235",79
"236",79
"237",80
"238",80
"239",80
"240",81
"241",81
"242",81
"243",82
"244",82
"245",82
"246",83
"247",83
"248",83
"249",84
"250",84
"251",84
"252",85
"253",85
"254",85
"255",85
"256",0
"257",86
"258",86
"259",86
"260",86
"261",87
"262",87
"263",87
"264",0
"265",0
"266",0
"267",0
"268",0
"269",0
"270",88
"271",88
"272",88
"273",89
"274",89
"275",89
"276",89
"277",89
"278",90
"279",90
"280",91
"281",91
"282",92
"283",92
"284",93
"285",93
"286",94
"287",94
"288",94
"289",95
"290",95
"291",95
"292",95
"293",0
"294",96
"295",96
"296",96
"297",97
"298",97
"299",97
"300",98
"301",98
"302",98
"303",98
"304",98
"305",99
"306",99
"307",99
"308",100
"309",100
"310",100
"311",101
"312",101
"313",102
"314",102
"315",102
"316",103
"317",103
"318",0
"319",104
"320",104
"321",104
"322",105
"323",105
"324",105
"325",106
"326",106
"327",106
"328",106
"329",106
"330",107
"331",107
"332",107
"333",107
"334",108
"335",108
"336",108
"337",109
"338",109
"339",110
"340",110
"341",111
"342",111
"343",112
"344",112
"345",112
"346",113
"347",113
"348",114
"349",114
"350",114
"351",115
"352",115
"353",115
"354",116
"355",116
"356",116
"357",0
"358",0
"359",117
"360",117
"361",117
"362",118
"363",118
"364",119
"365",119
"366",120
"367",120
"368",120
"369",121
"370",121
"371",121
"372",122
"373",122
"374",123
"375",123
"376",0
"377",124
"378",124
"379",125
"380",125
"381",125
"382",125
"383",125
"384",126
"385",126
"386",126
"387",127
"388",127
"389",127
"390",128
"391",128
"392",128
"393",129
"394",129
"395",129
"396",130
"397",130
"398",130
"399",0
"400",131
"401",131
"402",131
"403",0
"404",132
"405",132
"406",132
"407",133
"408",133
"409",133
"410",134
"411",134
"412",134
"413",135
"414",135
"415",135
"416",136
"417",136
"418",136
"419",136
"420",137
"421",137
"422",138
"423",138
"424",138
"425",138
"426",0
"427",139
"428",139
"429",139
"430",140
"431",140
"432",141
"433",141
"434",141
"435",142
"436",142
"437",143
"438",143
"439",143
"440",144
"441",144
"442",0
"443",0
"444",145
"445",145
"446",145
"447",146
"448",146
"449",147
"450",147
"451",148
"452",148
"453",149
"454",149
"455",149
"456",150
"457",150
"458",151
"459",151
"460",0
"461",0
"462",0
"463",152
"464",152
"465",153
"466",153
"467",153
"468",154
"469",154
"470",154
"471",155
"472",155
"473",0
"474",0
"475",0
"476",156
"477",156
"478",156
"479",156
"480",156
"481",157
