movement_id,first_LAT,first_LON,last_LAT,last_LON,num_lines,first_time,last_time,length_metres,duration,first_position_closest_centre_id,first_position_closest_hospital_id,first_position_min_dist_to_centre,first_position_min_dist_to_hospital,last_position_closest_centre_id,last_position_closest_hospital_id,last_position_min_dist_to_centre,last_position_min_dist_to_hospital
83,49.112733,18.680899,49.216374,18.746903,148,1/16/2018 18:02,1/16/2018 18:40,18707.617159999998,37.75,176,74,3897.523238,12576.45613,370,74,421.54022960000003,82.71498149
158,49.217704,18.747976,49.090096,18.687637,146,1/20/2018 18:35,1/20/2018 19:02,20213.86766,27.68333333,370,74,345.77779100000004,88.48773239,176,74,3517.667747,14780.56721
161,49.088368,18.634764999999998,49.218241,18.74553,140,1/20/2018 23:12,1/20/2018 23:39,21890.655909999998,27.35,176,50,422.7473147,12941.623090000001,370,74,532.7687437,210.9823232
183,49.051193,18.565114,49.106597,18.459992,104,1/21/2018 19:07,1/21/2018 19:44,13262.92233,36.81666667,176,50,6974.453522,9824.299823000001,331,50,110.1722919,110.1722919
193,49.120834,18.707786,49.217608,18.747933,109,1/22/2018 18:40,1/22/2018 19:00,14532.49579,20.3,176,74,6010.700065,11084.74502,370,74,346.65657660000005,77.35321845
200,49.088089000000004,18.643048,49.217254,18.747633,132,1/23/2018 10:59,1/23/2018 11:30,21718.31895,30.58333333,176,50,390.972466,13543.39381,370,74,363.1847309,34.95802581
260,49.123827,18.684225,49.218584,18.745809,114,1/26/2018 13:28,1/26/2018 13:56,16212.311880000001,27.85,176,74,4930.368256000001,11346.44505,370,74,524.575273,226.3131614
320,48.95105,18.513443,49.217651000000004,18.747847,288,1/27/2018 22:38,1/27/2018 23:33,41897.64755,55.78333333,137,50,12998.92892,17670.223,370,74,353.7174776,80.56662677
340,49.042759999999994,18.64176,49.217715000000005,18.747911,171,1/29/2018 17:03,1/29/2018 17:43,28416.296919999997,39.75,176,50,5334.7797,15045.964719999998,370,74,350.65770630000003,88.49439436
379,49.087918,18.633349,49.217715000000005,18.747933,151,1/31/2018 22:27,1/31/2018 22:56,21904.47095,28.78333333,176,50,535.7677497999999,12847.28225,370,74,349.09750710000003,88.86428471
384,49.127003,18.683388,49.217608,18.747911,115,2/1/2018 12:54,2/1/2018 13:18,15585.173690000001,23.68333333,176,74,5162.255325,11049.98396,370,74,348.2277157,76.9279988
400,49.100567,18.709567,49.217275,18.747332,148,2/2/2018 20:38,2/2/2018 21:21,19643.00232,43.13333333,176,74,5232.840914,13247.770359999999,370,74,385.18316719999996,43.50014326
403,49.116960999999996,18.703429999999997,49.217361,18.747354,103,2/2/2018 22:49,2/2/2018 23:11,14956.03694,21.75,176,74,5509.599904,11585.47428,370,74,384.4117425,51.27229716
