"","x"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",1
"21",1
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",2
"29",2
"30",2
"31",3
"32",3
"33",0
"34",4
"35",4
"36",0
"37",0
"38",0
"39",5
"40",5
"41",0
"42",0
"43",6
"44",6
"45",6
"46",6
"47",7
"48",7
"49",0
"50",0
"51",8
"52",8
"53",8
"54",9
"55",9
"56",9
"57",9
"58",0
"59",10
"60",10
"61",0
"62",0
"63",0
"64",0
"65",0
"66",11
"67",11
"68",0
"69",0
"70",12
"71",12
"72",12
"73",12
"74",0
"75",13
"76",13
"77",0
"78",0
"79",0
"80",0
"81",0
"82",0
"83",14
"84",14
"85",15
"86",15
"87",0
"88",0
"89",16
"90",16
"91",16
"92",16
"93",0
"94",17
"95",17
"96",0
"97",0
"98",0
"99",0
"100",0
"101",0
"102",18
"103",18
"104",0
"105",19
"106",19
"107",0
"108",20
"109",20
"110",0
"111",0
"112",0
"113",21
"114",21
"115",22
"116",22
"117",0
"118",23
"119",23
"120",23
"121",23
"122",23
"123",0
"124",24
"125",24
"126",0
"127",0
"128",0
"129",0
"130",25
"131",25
"132",25
"133",26
"134",26
"135",0
"136",27
"137",27
"138",28
"139",28
"140",29
"141",29
"142",0
"143",30
"144",30
"145",0
"146",31
"147",31
"148",0
"149",0
"150",0
"151",0
"152",32
"153",32
"154",33
"155",33
"156",0
"157",34
"158",34
"159",34
"160",0
"161",0
"162",0
"163",0
"164",0
"165",35
"166",35
"167",35
"168",35
"169",0
"170",0
"171",0
"172",0
"173",0
"174",0
"175",0
"176",0
"177",0
"178",36
"179",36
"180",37
"181",37
"182",37
"183",38
"184",38
"185",0
"186",39
"187",39
"188",39
"189",40
"190",40
"191",41
"192",41
"193",0
"194",0
"195",0
"196",0
"197",0
"198",0
"199",0
"200",42
"201",42
"202",0
"203",0
"204",0
"205",0
"206",0
"207",0
"208",0
"209",43
"210",43
"211",43
"212",0
"213",0
"214",0
"215",0
"216",0
"217",0
"218",0
"219",0
"220",0
"221",44
"222",44
"223",44
"224",45
