movement_id,first_LAT,first_LON,last_LAT,last_LON,num_lines,first_time,last_time,length_metres,duration,first_position_closest_centre_id,first_position_closest_hospital_id,first_position_min_dist_to_centre,first_position_min_dist_to_hospital,last_position_closest_centre_id,last_position_closest_hospital_id,last_position_min_dist_to_centre,last_position_min_dist_to_hospital
86,49.345539,19.00948,49.438804,18.771966,120,9/15/2016 10:44,9/15/2016 11:10,25457.132530000003,25.45,142,15,1.893820515,20040.86994,286,15,67.23558245,67.23558245
111,49.345581,19.009501999999998,49.43756,18.781064,118,9/17/2016 15:04,9/17/2016 15:30,25076.96739,26.25,142,15,6.776360492,20039.82229,43,15,490.37520290000003,632.1293847999999
200,49.345614000000005,19.009459,49.34424,19.037826000000003,17,9/24/2016 2:48,9/24/2016 2:55,2322.280067,6.6,142,15,10.34359864,20035.255090000002,371,15,2060.134552,21895.919530000003
229,49.439008,18.772395,49.442527,18.9185,141,9/26/2016 12:44,9/26/2016 13:15,26376.09114,31.66666667,286,15,82.15458146,82.15458146,43,15,10440.1008,10585.94825
262,49.345485,19.00948,49.438708,18.772674,126,9/29/2016 14:03,9/29/2016 14:35,25439.11052,31.18333333,142,15,4.119459614,20043.97499,286,15,52.63768737,52.63768737
338,49.345581,19.009459,49.346075,18.941867000000002,24,10/4/2016 20:36,10/4/2016 20:42,5246.453433,5.25,142,15,6.726109841,20037.151469999997,142,15,4903.863995000001,16003.12211
480,49.345485,19.009588,49.384044,18.819558999999998,91,10/18/2016 23:26,10/18/2016 23:45,20717.726619999998,19.06666667,142,15,8.913804768,20050.68166,43,15,6876.3203969999995,6935.747737000001
572,49.438235999999996,18.770678,49.213928,19.302893,431,10/27/2016 6:49,10/27/2016 8:22,81068.96391,92.98333333,286,15,124.7085648,124.7085648,288,16,41.14646967,41.14646967
574,49.438246,18.770807,49.217211,18.747504,130,10/27/2016 11:31,10/27/2016 12:03,35108.1791,32.33333333,286,15,115.3440751,115.3440751,370,74,372.23891360000005,31.74705631
583,49.438761,18.772479999999998,49.436690999999996,18.791749,85,10/27/2016 18:31,10/27/2016 18:52,16502.24977,21.93333333,286,15,54.96378797,54.96378797,43,15,1269.269023,1411.632242
656,49.345506,19.009545000000003,49.347309,18.938005,35,11/4/2016 12:40,11/4/2016 12:49,5797.77232,8.366666667,142,15,5.107237142,20046.80388,142,15,5187.315132,15700.384230000001
768,49.345614000000005,19.009695,49.344390999999995,19.003557999999998,8,11/13/2016 17:45,11/13/2016 17:47,608.2677069,2.016666667,142,15,18.71590041,20049.91649,371,15,445.0852629,19741.84545
810,49.345678,19.009631,49.378626000000004,18.836317,88,11/17/2016 0:09,11/17/2016 0:27,19744.93895,18.8,142,15,20.56923611,20042.265669999997,43,15,8022.3203969999995,8094.23542
861,49.345657,19.009287,49.354894,18.892944,39,11/20/2016 18:31,11/20/2016 18:38,9335.914990000001,7.033333333,142,15,20.48755484,20022.1005,142,15,8514.955747,12744.17482
869,49.345506,19.009545000000003,49.217662,18.748105,312,11/21/2016 17:01,11/21/2016 18:30,61722.81721,88.71666667,142,15,5.107237142,20046.80388,370,74,335.6087758,87.19510901
897,49.438697,18.772867,49.345506,19.009523,133,11/23/2016 6:28,11/23/2016 6:59,25628.32243,30.93333333,286,15,58.32827882,58.32827882,142,15,3.6544840360000004,20045.43762
941,49.345549,19.009738,49.345871,18.936353,34,11/26/2016 1:42,11/26/2016 1:51,5939.937569,8.033333333,142,15,19.02270745,20056.32081,142,15,5303.52696,15713.546890000001
950,49.345539,19.009459,49.34438,19.023042,9,11/26/2016 18:32,11/26/2016 18:33,1112.435687,1.6666666669999999,142,15,2.384365476,20039.565759999998,371,15,990.6379926000001,20953.50727
969,49.345581,19.009523,49.362919,18.899573999999998,47,11/29/2016 7:35,11/29/2016 7:45,10373.8575,9.966666667,142,15,7.302022436000001,20041.12669,142,15,8201.294183,12459.369840000001
