movement_id,first_LAT,first_LON,last_LAT,last_LON,num_lines,first_time,last_time,length_metres,duration,first_position_closest_centre_id,first_position_closest_hospital_id,first_position_min_dist_to_centre,first_position_min_dist_to_hospital,last_position_closest_centre_id,last_position_closest_hospital_id,last_position_min_dist_to_centre,last_position_min_dist_to_hospital
21,49.440757,18.785204999999998,49.438804,18.772545,14,3/4/2016 9:19,3/4/2016 9:25,1207.191994,6.8,43,15,824.9489229,967.3596666000001,286,15,60.36414355,60.36414355
36,49.444673,18.66487,49.438987,18.772008,71,3/4/2016 21:29,3/4/2016 21:46,10903.90688,17.28333333,243,15,5064.439456,7815.87572,286,15,84.70999434,84.70999434
46,49.410888,18.629379,49.218531,18.745852,256,3/5/2016 13:33,3/5/2016 14:24,47977.22048,50.85,243,15,755.4826059,10795.08648,370,74,519.6887206,219.70487020000002
51,49.464317,18.651116000000002,49.438965,18.771987,92,3/6/2016 13:30,3/6/2016 13:48,13474.901259999999,17.2,243,15,6807.962562000001,9243.634617,286,15,82.94225297,82.94225297
61,49.479091,18.736818,49.439008,18.772008,55,3/7/2016 11:07,3/7/2016 11:38,7369.047365,31.31666667,286,15,5222.849061999999,5222.849061999999,286,15,86.91617366,86.91617366
66,49.378927000000004,18.51825,49.438858,18.771944,147,3/7/2016 18:10,3/7/2016 18:42,22634.52738,32.3,115,15,2922.074396,19557.80426,286,15,73.30775797,73.30775797
81,49.40871,18.572945999999998,49.438858,18.772266000000002,116,3/8/2016 19:38,3/8/2016 20:12,17744.817890000002,33.85,243,15,4331.363384,14812.429619999999,286,15,66.17066418,66.17066418
86,49.425940000000004,18.673303,49.438837,18.771987,58,3/8/2016 21:51,3/8/2016 22:04,8858.482512,13.48333333,243,15,3813.533736,7304.392423,286,15,69.84025243,69.84025243
91,49.378465000000006,18.519173000000002,49.438761,18.771901,146,3/9/2016 9:11,3/9/2016 9:41,22537.69842,29.51666667,115,15,2968.296209,19512.461040000002,286,15,65.51502349,65.51502349
96,49.389720000000004,18.610046,49.438846999999996,18.772351999999998,101,3/9/2016 15:08,3/9/2016 16:02,15501.313059999999,54.05,243,15,2298.3157739999997,12940.8034,286,15,64.32525552,64.32525552
161,49.433751,18.776042,49.438815000000005,18.772116,28,3/12/2016 10:38,3/12/2016 10:49,1909.4269199999999,10.23333333,43,15,529.0092293,567.9540795,286,15,64.05755054,64.05755054
