movement_id,first_LAT,first_LON,last_LAT,last_LON,num_lines,first_time,last_time,length_metres,duration,first_position_closest_centre_id,first_position_closest_hospital_id,first_position_min_dist_to_centre,first_position_min_dist_to_hospital,last_position_closest_centre_id,last_position_closest_hospital_id,last_position_min_dist_to_centre,last_position_min_dist_to_hospital
69,49.406403000000005,18.629229000000002,49.40459,18.632491,18,3/8/2016 2:28,3/8/2016 2:59,871.2851857999999,31.21666667,243,15,319.73298619999997,10957.26869,243,15,24.1603907,10802.61191
73,49.4012,18.623735999999997,49.404569,18.632512,26,3/8/2016 10:39,3/8/2016 10:54,1775.5301100000001,14.83333333,243,15,719.2484721,11529.27178,243,15,22.62418729,10801.9995
108,49.438568,18.771729,49.404612,18.632619000000002,84,3/9/2016 17:53,3/9/2016 18:08,12362.86505,15.31666667,286,15,58.81904615,58.81904615,243,15,30.73894957,10793.06723
122,49.413785,18.544128,49.404601,18.632469,50,3/10/2016 7:34,3/10/2016 7:57,7550.792318000001,23.38333333,243,15,6476.678135,16751.367169999998,243,15,24.81658941,10803.680040000001
151,49.460541,18.577752,49.404601,18.632469,60,3/11/2016 21:55,3/11/2016 22:15,9036.339165000001,20.15,243,15,7396.771395999999,14303.353119999998,243,15,24.81658941,10803.680040000001
153,49.442463000000004,18.730381,49.40459,18.632469,60,3/11/2016 23:48,3/12/2016 0:02,8902.83513,13.7,286,15,3077.1225440000003,3077.1225440000003,243,15,23.64362247,10804.10597
194,49.393947,18.732591,49.404612,18.632512,88,3/14/2016 17:33,3/14/2016 17:55,11001.57022,22.13333333,286,15,5714.54402,5714.54402,243,15,26.99493771,10800.33382
221,49.412217999999996,18.555522,49.404579,18.632469,50,3/16/2016 6:15,3/16/2016 6:28,6506.119606,13.15,243,15,5634.288081000001,15968.94309,243,15,22.47615466,10804.53203
224,49.409965,18.646073,49.40459,18.632598,23,3/16/2016 10:44,3/16/2016 12:03,2352.333666,79.8,243,15,1170.596818,9674.602194,243,15,27.86216485,10795.34577
252,49.394913,18.615839,49.404612,18.632469,27,3/18/2016 0:53,3/18/2016 0:59,2550.025346,6.183333332999999,243,15,1595.926288,12322.589,243,15,25.99431106,10803.25422
256,49.401703999999995,18.618714999999998,49.404451,18.632298000000002,18,3/18/2016 18:10,3/18/2016 18:26,1606.905902,16.18333333,243,15,1033.4748849999999,11850.04877,243,15,8.959523897999999,10821.10685
260,49.438933,18.771601,49.404612,18.632448,85,3/18/2016 19:22,3/18/2016 19:43,12353.79013,20.4,286,15,93.76718617,93.76718617,243,15,25.62931311,10804.68051
269,49.422357,18.693581,49.404579,18.632598,44,3/19/2016 16:11,3/19/2016 16:21,5453.938809,10.85,243,15,4863.390197,5975.0528030000005,243,15,26.87855881,10795.77217
271,49.380268,18.586335000000002,49.404601,18.632469,36,3/19/2016 19:07,3/19/2016 19:15,5289.046671,8.316666667,243,15,4282.0091299999995,14943.61104,243,15,24.81658941,10803.680040000001
330,49.412465000000005,18.607042,49.404461,18.632448,28,3/23/2016 11:31,3/23/2016 11:42,3103.369963,11.5,243,15,2043.2758399999998,12312.75963,243,15,9.867829676,10810.53564
364,49.407369,18.571143,49.404569,18.632641,42,3/26/2016 10:08,3/26/2016 10:21,5669.066452,12.71666667,243,15,4447.6114210000005,14973.531,243,15,28.05967261,10793.24028
371,49.414460999999996,18.554664000000002,49.404579,18.632619000000002,47,3/26/2016 15:33,3/26/2016 15:48,6583.042156,15.25,243,15,5739.090478,15986.396780000001,243,15,27.82726222,10794.34623
373,49.422175,18.678925,49.404644,18.632791,41,3/26/2016 16:41,3/26/2016 16:51,5429.833533,10.88333333,243,15,3909.98345,7000.676733,243,15,41.65673568,10780.14724
384,49.216138,18.750443,49.438214,18.7707,152,3/27/2016 9:20,3/27/2016 9:47,34791.64142,27.53333333,370,74,186.02519840000002,222.51348219999997,286,15,123.2164183,123.2164183
409,49.413774,18.583975,49.438783,18.771966,107,3/28/2016 18:10,3/28/2016 18:29,16393.86964,18.73333333,243,15,3657.92126,13912.84266,286,15,65.17791365,65.17791365
429,49.40871,18.572945999999998,49.404494,18.632512,38,3/29/2016 19:52,3/29/2016 20:03,5442.370102000001,10.51666667,243,15,4331.363384,14812.429619999999,243,15,15.59669119,10804.90922
450,49.41225,18.555585999999998,49.404601,18.632598,47,3/31/2016 6:17,3/31/2016 6:28,6507.884827000001,11.15,243,15,5630.259234,15963.734390000001,243,15,28.86420635,10794.91949
522,49.404451,18.632877,49.438139,18.7707,82,4/3/2016 1:46,4/3/2016 2:02,12589.06524,16.83333333,243,15,37.19707337,10781.809159999999,286,15,123.9197608,123.9197608
531,49.405652,18.48572,49.404569,18.632619000000002,93,4/3/2016 13:08,4/3/2016 13:27,15080.414130000001,19.1,115,15,3990.3336990000003,21074.06664,243,15,26.98166783,10794.73403
542,49.414654,18.552346,49.404579,18.632512,45,4/3/2016 19:22,4/3/2016 19:34,6690.202657,11.88333333,243,15,5907.9452710000005,16148.39009,243,15,23.62625697,10801.61197
615,49.416242,18.514751999999998,49.40459,18.632448,62,4/14/2016 22:27,4/14/2016 23:05,9609.021133,37.93333333,115,15,5721.628211,18815.119619999998,243,15,23.24173742,10805.532140000001
635,49.445167,18.739715,49.404612,18.632555,70,4/15/2016 18:57,4/15/2016 19:11,10100.4361,13.7,286,15,2487.2782780000002,2487.2782780000002,243,15,28.30464764,10797.41352
753,49.470755,18.608265,49.404612,18.632491,70,4/21/2016 7:08,4/21/2016 7:22,11828.46105,14.31666667,243,15,7591.365053,12415.66703,243,15,26.46521852,10801.76005
792,49.40606,18.624744,49.404633000000004,18.632576,171,4/23/2016 8:34,4/23/2016 9:23,25541.023269999998,48.78333333,243,15,583.1536371000001,11277.14875,243,15,31.08288525,10795.17425
806,49.395986,18.623672,49.404601,18.632469,23,4/23/2016 23:02,4/23/2016 23:14,2414.884122,12.0,243,15,1127.78884,11754.29525,243,15,24.81658941,10803.680040000001
851,49.428548,18.704524,49.40459,18.632598,50,4/26/2016 18:22,4/26/2016 18:54,6537.54894,32.71666667,286,15,5031.621048,5031.621048,243,15,27.86216485,10795.34577
987,49.418859000000005,18.66854,49.404483,18.632598,32,5/4/2016 20:10,5/4/2016 20:17,4085.2015380000003,7.083333333,243,15,3075.211315,7823.947144,243,15,19.48955167,10799.49866
1010,49.441433,18.657382000000002,49.404451,18.632704999999998,56,5/6/2016 1:11,5/6/2016 1:26,8508.593111,15.28333333,243,15,4504.027696,8333.024939,243,15,25.08229552,10793.481020000001
1017,49.404011,18.790913,49.404429,18.632276,123,5/6/2016 11:35,5/6/2016 12:05,17845.76427,29.9,43,15,4008.5691130000005,4042.450743,243,15,8.439796263,10823.4547
1021,49.46583,18.843098,49.404621999999996,18.632469,122,5/6/2016 17:58,5/6/2016 18:28,19795.52137,30.08333333,43,15,5834.755475999999,5965.564543,243,15,27.06857091,10802.86723
1031,49.386790999999995,18.642726,49.404418,18.632448,35,5/7/2016 14:52,5/7/2016 15:43,4119.161518,50.55,243,15,2097.48139,11001.98602,243,15,6.436153921,10812.207190000001
1040,49.410512,18.717399,49.404601,18.632469,72,5/8/2016 1:49,5/8/2016 2:07,9183.778916,18.26666667,286,15,5040.682904,5040.682904,243,15,24.81658941,10803.680040000001
1055,49.376115999999996,18.510439,49.404418,18.632469,69,5/8/2016 19:44,5/8/2016 20:01,11600.05746,16.2,115,15,2285.451703,20196.782219999997,243,15,7.763160997999999,10810.7819
1059,49.437731,18.707570999999998,49.404612,18.632469,56,5/8/2016 21:50,5/8/2016 22:07,8028.433698000001,16.51666667,286,15,4693.210868,4693.210868,243,15,25.99431106,10803.25422
1068,49.333436,18.561723,49.404569,18.632512,85,5/9/2016 14:07,5/9/2016 14:24,11858.147009999999,16.08333333,115,74,7166.909965999999,18721.64075,243,15,22.62418729,10801.9995
1145,49.412122,18.566164999999998,49.40459,18.632405,41,5/14/2016 20:51,5/14/2016 21:17,5698.453644,26.88333333,243,15,4872.245683,15213.83425,243,15,22.71643037,10808.45248
1147,49.377886,18.543377,49.404579,18.632512,54,5/14/2016 22:33,5/14/2016 22:45,8729.268306,12.35,115,15,4652.336571,17898.73704,243,15,23.62625697,10801.61197
1158,49.380912,18.566701000000002,49.40459,18.632512,48,5/15/2016 17:08,5/15/2016 17:21,7052.450211,13.31666667,243,15,5428.612751,16209.27503,243,15,24.73951014,10801.1858
1165,49.397294,18.490548,49.404621999999996,18.632704999999998,85,5/16/2016 12:26,5/16/2016 12:42,14194.179709999999,15.76666667,115,15,3129.4116489999997,20914.517490000002,243,15,35.53465332,10786.83972
1168,49.453095000000005,18.658133,49.404621999999996,18.632704999999998,62,5/16/2016 14:45,5/16/2016 14:58,8243.25493,13.05,243,15,5733.94807,8433.288996,243,15,35.53465332,10786.83972
1210,49.402176000000004,18.619187,49.404569,18.632448,30,5/19/2016 9:50,5/19/2016 10:15,2282.912597,24.66666667,243,15,986.38183,11799.91021,243,15,20.97591038,10806.34552
1220,49.444491,18.779218,49.40444,18.632469,93,5/19/2016 19:23,5/19/2016 19:45,15184.894709999999,21.75,43,15,763.8607335,850.3705028999999,243,15,9.119600686,10809.92634
1245,49.416047999999996,18.664054999999998,49.404483,18.632684,26,5/21/2016 0:45,5/21/2016 0:53,3249.464075,7.85,243,15,2636.408631,8225.383915,243,15,24.93423155,10793.6613
1282,49.414782,18.539965,49.40459,18.632491,50,5/23/2016 2:18,5/23/2016 2:28,7684.373419,10.28333333,115,15,6597.994041,17031.28416,243,15,24.1603907,10802.61191
1300,49.404139,18.622148000000003,49.40459,18.632469,160,5/23/2016 21:25,5/23/2016 22:19,25955.8373,54.58333333,243,15,741.1884328,11524.453590000001,243,15,23.64362247,10804.10597
1341,49.404494,18.623242,49.404612,18.632491,22,5/26/2016 16:23,5/26/2016 16:30,1306.9633410000001,6.2,243,15,661.5322617,11436.60332,243,15,26.46521852,10801.76005
1395,49.377253,18.516791,49.40444,18.632319,74,5/28/2016 18:36,5/28/2016 18:50,12062.52651,14.18333333,115,15,2762.6716100000003,19721.00433,243,15,7.078838436,10820.1084
1421,49.408742,18.572881,49.40459,18.632512,44,5/29/2016 20:31,5/29/2016 21:17,5676.170885,46.88333333,243,15,4336.437889,14816.22335,243,15,24.73951014,10801.1858
1436,49.426638,18.806856,49.40444,18.632727,109,5/30/2016 22:06,5/30/2016 22:36,16672.19704,30.2,43,15,2688.3744100000004,2810.532247,243,15,26.31279931,10792.4163
