"","x"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",1
"21",1
"22",1
"23",2
"24",2
"25",2
"26",2
"27",2
"28",0
"29",0
"30",0
"31",0
"32",0
"33",0
"34",0
"35",3
"36",3
"37",3
"38",0
"39",0
"40",0
"41",0
"42",0
"43",4
"44",4
"45",5
"46",5
"47",5
"48",0
"49",0
"50",6
"51",6
"52",6
"53",0
"54",0
"55",0
"56",7
"57",7
"58",8
"59",8
"60",9
"61",9
"62",9
"63",10
"64",10
"65",11
"66",11
"67",11
"68",12
"69",12
"70",0
"71",0
"72",13
"73",13
"74",14
"75",14
"76",14
"77",14
"78",0
"79",0
"80",15
"81",15
"82",15
"83",0
"84",0
"85",16
"86",16
"87",16
"88",0
"89",0
"90",17
"91",17
"92",17
"93",18
"94",18
"95",19
"96",19
"97",19
"98",20
"99",20
"100",0
"101",0
"102",0
"103",0
"104",0
"105",0
"106",0
"107",21
"108",21
"109",0
"110",0
"111",22
"112",22
"113",22
"114",22
"115",22
"116",0
"117",0
"118",0
"119",0
"120",0
"121",23
"122",23
"123",24
"124",24
"125",24
"126",24
"127",24
"128",25
"129",25
"130",25
"131",25
"132",25
"133",26
"134",26
"135",0
"136",27
"137",27
"138",27
"139",27
"140",0
"141",28
"142",28
"143",28
"144",28
"145",0
"146",0
"147",29
"148",29
"149",0
"150",30
"151",30
"152",31
"153",31
"154",32
"155",32
"156",0
"157",0
"158",0
"159",0
"160",33
"161",33
"162",33
"163",0
"164",0
"165",34
"166",34
"167",34
"168",35
"169",35
"170",35
"171",0
"172",0
"173",36
"174",36
"175",36
"176",37
"177",37
"178",37
"179",0
"180",38
"181",38
"182",38
"183",0
"184",0
"185",0
"186",0
"187",0
"188",39
"189",39
"190",40
"191",40
"192",40
"193",41
"194",41
"195",0
"196",0
"197",0
"198",42
"199",42
"200",42
"201",0
"202",0
"203",43
"204",43
"205",43
"206",43
"207",43
"208",0
"209",0
"210",44
"211",44
"212",44
"213",45
"214",45
"215",45
"216",45
"217",45
"218",0
"219",0
"220",46
"221",46
"222",0
"223",47
"224",47
