movement_id,first_LAT,first_LON,last_LAT,last_LON,num_lines,first_time,last_time,length_metres,duration,first_position_closest_centre_id,first_position_closest_hospital_id,first_position_min_dist_to_centre,first_position_min_dist_to_hospital,last_position_closest_centre_id,last_position_closest_hospital_id,last_position_min_dist_to_centre,last_position_min_dist_to_hospital
105,49.438547,18.771729,49.345506,19.009588,143,3/13/2016 23:07,3/13/2016 23:36,25713.1815,29.51666667,286,15,57.53301183,57.53301183,142,15,8.103305526,20049.47438
108,49.469457,18.788917,49.345571,19.009588,141,3/14/2016 18:55,3/14/2016 19:24,27621.10359,28.86666667,43,15,3614.9509439999997,3671.709432,142,15,9.604393795,20045.738830000002
155,49.288236,18.978581,49.345539,19.009501999999998,83,3/17/2016 19:40,3/17/2016 20:01,14411.94589,20.23333333,223,74,4908.836184000001,18562.65864,142,15,2.522638941,20042.23625
342,49.060559000000005,18.915839000000002,49.438096,18.770742000000002,227,4/4/2016 10:01,4/4/2016 11:00,62017.541470000004,59.03333333,120,39,821.2597746,92.34028295,286,15,121.5714605,121.5714605
383,49.365634,19.054241,49.345506,19.009545000000003,30,4/8/2016 7:41,4/8/2016 7:51,4945.194205,9.916666667000001,142,15,3942.945352,21959.659819999997,142,15,5.107237142,20046.80388
447,49.350871000000005,18.784904,49.345539,19.009501999999998,115,4/13/2016 3:31,4/13/2016 3:56,26992.04075,25.33333333,98,15,5385.253215,9771.299432,142,15,2.522638941,20042.23625
459,49.355913,18.894939,49.345528,19.00948,43,4/13/2016 23:20,4/13/2016 23:40,9560.666415,19.76666667,142,15,8386.199484,12761.85702,142,15,0.67184284,20041.50234
501,49.34438,19.00167,49.345549,19.00948,231,4/18/2016 23:14,4/19/2016 0:20,50366.36527,66.83333333,371,15,578.5813412,19626.5738,142,15,3.006501108,20040.29507
518,49.21735,18.747354,49.438161,18.770678,165,4/21/2016 12:50,4/21/2016 13:28,35018.12185,38.08333333,370,74,384.29315299999996,50.15548839,286,15,125.2403865,125.2403865
543,49.216224,18.746881,49.345539,19.00948,278,4/23/2016 18:20,4/23/2016 19:26,60448.58584,65.8,370,74,426.27715650000005,96.94730942,142,15,1.893820515,20040.86994
605,49.301753999999995,18.77409,49.345485,19.009459,152,4/28/2016 8:43,4/28/2016 9:16,31176.566189999998,33.66666667,98,74,909.0995562,9635.021076,142,15,4.366759942,20042.67101
658,49.345442,19.00948,49.438128000000006,18.770678,132,5/3/2016 9:05,5/3/2016 9:35,25778.834430000003,29.85,371,15,0.222638981,20046.448480000003,286,15,125.6495445,125.6495445
