"","x"
"1",0
"2",0
"3",1
"4",1
"5",2
"6",2
"7",2
"8",0
"9",3
"10",3
"11",3
"12",3
"13",4
"14",4
"15",0
"16",0
"17",0
"18",0
"19",5
"20",5
"21",5
"22",5
"23",5
"24",5
"25",5
"26",5
"27",5
"28",5
"29",0
"30",0
"31",0
"32",0
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",6
"40",6
"41",6
"42",6
"43",0
"44",0
"45",0
"46",7
"47",7
"48",0
"49",0
"50",8
"51",8
"52",8
"53",8
"54",8
"55",8
"56",8
"57",0
"58",0
"59",0
"60",0
"61",0
"62",0
"63",0
"64",0
"65",0
"66",0
"67",0
"68",0
"69",9
"70",9
"71",10
"72",10
"73",10
"74",11
"75",11
"76",11
"77",12
"78",12
"79",0
"80",13
"81",13
"82",13
"83",14
"84",14
"85",14
"86",0
"87",0
"88",15
"89",15
"90",15
"91",0
"92",16
"93",16
"94",16
"95",16
"96",16
"97",16
"98",16
"99",17
"100",17
"101",17
"102",18
"103",18
"104",18
"105",18
"106",18
"107",19
"108",19
"109",19
"110",20
"111",20
"112",20
"113",21
"114",21
"115",22
"116",22
"117",23
"118",23
"119",0
"120",0
"121",0
"122",24
"123",24
"124",24
"125",25
"126",25
"127",25
"128",26
"129",26
"130",26
"131",27
"132",27
"133",27
"134",28
"135",28
"136",28
"137",28
"138",29
"139",29
"140",29
"141",0
"142",30
"143",30
"144",30
"145",31
"146",31
"147",31
"148",31
"149",32
"150",32
"151",32
"152",33
"153",33
"154",0
"155",34
"156",34
"157",34
"158",35
"159",35
"160",0
"161",36
"162",36
"163",37
"164",37
"165",0
"166",0
"167",0
"168",0
"169",0
"170",0
"171",0
"172",0
"173",0
"174",0
"175",38
"176",38
"177",39
"178",39
"179",39
"180",40
"181",40
"182",40
"183",41
"184",41
"185",42
"186",42
"187",43
"188",43
"189",43
"190",43
"191",44
"192",44
"193",44
"194",0
"195",0
"196",45
"197",45
"198",46
"199",46
"200",0
"201",47
"202",47
"203",48
"204",48
"205",48
"206",49
"207",49
"208",49
"209",50
"210",50
"211",50
"212",50
"213",0
"214",51
"215",51
"216",0
"217",52
"218",52
"219",52
"220",53
"221",53
"222",53
"223",53
"224",54
