movement_id,first_LAT,first_LON,last_LAT,last_LON,num_lines,first_time,last_time,length_metres,duration,first_position_closest_centre_id,first_position_closest_hospital_id,first_position_min_dist_to_centre,first_position_min_dist_to_hospital,last_position_closest_centre_id,last_position_closest_hospital_id,last_position_min_dist_to_centre,last_position_min_dist_to_hospital
5,49.220848,18.753791,49.20513,18.754714,29,3/9/2016 11:12,3/9/2016 11:18,3840.979419,6.016666667000001,270,74,59.63388679,623.9257482999999,370,74,1332.4721359999999,1411.749719
71,49.225998,18.729308,49.219689,18.748062,20,3/22/2016 16:20,3/22/2016 16:26,1969.1906149999998,5.8666666670000005,271,74,25.94685916,1671.3034480000001,370,74,444.7547673,307.5517833
74,49.225891,18.729415,49.186784,18.730102,48,3/22/2016 18:19,3/22/2016 18:30,5899.791344,10.73333333,271,74,11.94461697,1657.9210460000002,272,74,1358.154515,3591.15183
80,49.225719,18.729501000000003,49.210194,18.717184,28,3/22/2016 21:33,3/22/2016 21:39,2993.399998,5.55,271,74,8.197287532999999,1641.458542,273,74,1381.517153,2338.568524
83,49.225966,18.729286,49.203113,18.676629000000002,50,3/22/2016 22:56,3/22/2016 23:07,6677.077020000001,11.4,271,74,23.65322542,1670.4346050000001,273,74,4245.085443999999,5388.688377
88,49.225751,18.729544,49.289491,18.581808,163,3/23/2016 6:19,3/23/2016 6:46,26371.4521,26.76666667,271,74,7.074621689,1641.0739199999998,42,74,7938.668173,14505.67576
99,49.225901,18.729522,49.243057,18.715339,38,3/23/2016 13:39,3/23/2016 13:46,4330.424713,7.1,271,74,13.11565772,1652.381513,271,74,2179.345172,3737.130389
107,49.225966,18.729351,49.216889,18.562088,87,3/23/2016 18:01,3/23/2016 18:28,19117.33256,26.93333333,271,74,21.40393824,1666.661605,42,74,298.2778531,13492.14589
110,49.226051,18.729351,49.238121,18.733342,25,3/23/2016 19:34,3/23/2016 19:40,2936.1572699999997,5.666666667,271,74,30.34035292,1672.382126,271,74,1401.407138,2576.804345
122,49.225901,18.729351,49.216235,18.746945999999998,39,3/24/2016 6:22,3/24/2016 6:36,3883.415421,13.15,271,74,15.01147557,1662.310149,370,74,421.3994005,93.30443801
125,49.225933000000005,18.729329,49.223144,18.666372,75,3/24/2016 7:18,3/24/2016 7:30,9681.240319,12.46666667,271,74,18.87225028,1665.728062,273,74,4571.98736,5949.134922
128,49.226009000000005,18.729157,49.29934,18.788209,62,3/24/2016 10:01,3/24/2016 10:15,10500.74585,14.26666667,271,74,33.23287292,1680.807118,98,74,372.2442791,9634.645273999999
131,49.226137,18.729544,49.226985,18.746517,17,3/24/2016 16:46,3/24/2016 16:51,1411.971849,4.966666667,271,74,39.15201418,1667.107727,270,74,918.4640793,1121.1812439999999
138,49.225944,18.729372,49.239269,18.735809,26,3/24/2016 21:03,3/24/2016 21:08,2671.582323,4.983333333,271,74,18.55855143,1663.967548,271,74,1569.8254789999999,2630.248468
142,49.225644,18.729479,49.286004,18.744757,58,3/25/2016 10:44,3/25/2016 10:55,8745.769267,10.76666667,271,74,16.16897151,1637.791717,98,74,3547.624397,7691.022818
149,49.225955,18.729392999999998,49.224592,18.660085000000002,78,3/25/2016 13:32,3/25/2016 13:42,9332.33283,10.53333333,271,74,19.22603351,1663.487364,273,74,5041.911783,6422.677322
155,49.22603,18.729372,49.213842,18.710682000000002,40,3/25/2016 17:04,3/25/2016 17:12,4082.309841,8.666666667000001,271,74,27.68470138,1669.7508699999998,273,74,1495.7389460000002,2709.4683010000003
177,49.225976,18.729351,49.263549,18.519967,115,3/26/2016 19:21,3/26/2016 19:39,24504.6715,17.58333333,271,74,22.43291206,1667.3328390000001,42,74,5742.407008,17341.47322
180,49.225933000000005,18.729372,49.217329,18.737976999999997,13,3/26/2016 21:55,3/26/2016 21:58,1356.2919470000002,3.75,271,74,17.42591341,1663.230345,273,74,708.2274922,703.9612209
191,49.225837,18.729415,49.2331,18.572751999999998,115,3/27/2016 15:55,3/27/2016 16:14,17925.167719999998,18.8,271,74,6.503726201,1654.315803,42,74,1739.410666,12841.27116
203,49.225697,18.729522,49.235632,18.642576000000002,58,3/28/2016 9:26,3/28/2016 9:35,9860.052443,9.85,271,74,11.02093769,1638.774294,42,74,6194.892686,7916.481304999999
206,49.224818,18.729908,49.224334999999996,18.738256,13,3/28/2016 17:34,3/28/2016 17:36,903.8653982999999,2.016666667,271,74,112.7665876,1559.249763,271,74,659.2261612000001,1069.202588
217,49.225773,18.729436,49.211128,18.709974,41,3/28/2016 22:05,3/28/2016 22:13,4398.692969,7.8,271,74,2.8158815660000003,1648.835192,273,74,1695.633125,2814.365742
231,49.225923,18.729372,49.219475,18.740551,17,3/29/2016 13:07,3/29/2016 13:12,1380.805889,4.983333333,271,74,16.40770024,1662.560659,273,74,837.0288594,587.6442501
234,49.225933000000005,18.729436,49.239216,18.813164,61,3/29/2016 15:35,3/29/2016 15:50,9355.734784,14.15,271,74,16.17769848,1659.516757,270,74,4740.224537,5370.216444
237,49.225955,18.729286,49.256908,18.658369,48,3/29/2016 17:47,3/29/2016 17:57,7755.762554000001,9.683333333,271,74,22.64332099,1669.6984630000002,271,74,6220.9232409999995,7867.480795
240,49.225976,18.729308,49.230837,18.742096,21,3/29/2016 19:57,3/29/2016 20:01,1710.8073219999999,4.5,271,74,23.77562202,1669.8272769999999,271,74,1076.473998,1598.653703
245,49.225891,18.7292,49.225471999999996,18.620389000000003,71,3/29/2016 23:56,3/30/2016 0:07,12134.4618,11.78333333,271,74,22.42536836,1670.441249,42,74,4366.923889,9300.692079
256,49.225923,18.729329,49.212029,18.765292000000002,37,3/30/2016 12:55,3/30/2016 13:04,4273.5607820000005,9.166666667000001,271,74,17.93633212,1665.0593820000001,370,74,1076.377696,1395.172629
295,49.225869,18.729351,49.236394,18.643649,58,4/1/2016 10:51,4/1/2016 11:04,9776.697228,12.7,271,74,12.21506519,1660.1752880000001,42,74,6294.389857,7864.122915000001
298,49.225955,18.729415,49.220451000000004,18.736517000000003,11,4/1/2016 12:42,4/1/2016 12:47,986.7341630000001,4.416666667,271,74,18.8473324,1662.2119519999999,273,74,546.1526989,898.2522207999999
303,49.225869,18.729072,49.160788000000004,18.787372,65,4/1/2016 22:52,4/1/2016 23:08,9953.005088,15.95,271,74,29.99644138,1676.466993,272,74,5327.742288,6886.854418999999
316,49.226040999999995,18.729392999999998,49.255438,18.759627,42,4/2/2016 20:11,4/2/2016 20:22,5615.237133,11.05,271,74,28.550113399999997,1669.279374,270,74,3895.885626,4373.2483600000005
329,49.225773,18.729415,49.198189,18.721197,27,4/3/2016 12:10,4/3/2016 12:16,4030.103649,6.466666667,271,74,4.113343756,1650.0610789999998,272,74,1360.877677,2838.21437
332,49.226009000000005,18.729243,49.204368,18.767223,34,4/3/2016 17:13,4/3/2016 17:24,4801.570429,10.96666667,271,74,29.370204700000002,1675.8120880000001,370,74,1764.226889,1996.690037
335,49.225955,18.729286,49.220805,18.748062,19,4/3/2016 19:10,4/3/2016 19:16,2219.576376,5.9,271,74,22.64332099,1669.6984630000002,270,74,469.95721389999994,431.34257869999993
338,49.225944,18.729351,49.284127000000005,18.748062,49,4/3/2016 20:12,4/3/2016 20:24,8549.106441,11.58333333,271,74,19.17334669,1665.186558,98,74,3463.87594,7479.2854879999995
341,49.225966,18.729372,49.211396,18.886614,54,4/3/2016 23:15,4/3/2016 23:30,13848.249380000001,14.73333333,271,74,20.85500397,1665.4436759999999,207,74,3513.135058,10124.68256
354,49.225944,18.729392999999998,49.21308,18.530931,71,4/4/2016 15:00,4/4/2016 15:14,18899.86069,13.75,271,74,18.052260699999998,1662.7490460000001,42,50,2301.6725699999997,13038.91187
523,49.219775,18.729694,49.215720000000005,18.711261999999998,28,5/12/2016 3:03,5/12/2016 3:08,2934.472334,5.85,273,74,47.9211386,1342.500763,273,74,1374.331865,2648.6895219999997
531,49.219797,18.729029,49.211459999999995,18.757868,29,5/12/2016 9:18,5/12/2016 9:26,3178.637434,7.966666667,273,74,9.772686693999999,1390.103328,370,74,727.4150193,961.9300481
543,49.219818,18.729651,49.241704999999996,18.718685999999998,44,5/12/2016 19:16,5/12/2016 19:28,5851.844215,12.13333333,273,74,43.86293711,1346.670135,271,74,1937.303018,3468.4814229999997
551,49.219561,18.729286,49.188844,18.861701,84,5/13/2016 7:13,5/13/2016 7:26,12476.3572,12.85,273,74,39.55400839,1366.070709,207,74,557.3375096,8866.110843
554,49.219775,18.729179000000002,49.209851,18.734779,22,5/13/2016 9:17,5/13/2016 9:22,2117.792627,5.116666667,273,74,14.98406474,1378.9258869999999,273,74,1191.777299,1223.688691
557,49.219807,18.729135999999997,49.211106,18.765357,56,5/13/2016 11:10,5/13/2016 11:18,5680.595988,7.716666667,273,74,10.26697768,1382.787083,370,74,1136.703203,1442.772958
560,49.219818,18.729115,49.223348,18.741281,33,5/13/2016 13:13,5/13/2016 13:22,2353.496816,8.733333333,273,74,8.411842773,1384.555527,271,74,900.9331120999999,850.0704281999999
585,49.093121000000004,18.638542,49.217726,18.747954,122,5/18/2016 8:32,5/18/2016 8:58,20801.09501,26.03333333,176,50,281.07823030000003,13146.21955,370,74,347.8827202,90.42698783
666,49.183694,18.863225,49.224013,18.741925,71,5/28/2016 12:30,5/28/2016 12:40,10792.97877,10.16666667,207,74,32.47369164,9185.943027,271,74,927.1168809000001,890.2829386
676,49.183919,18.863032,49.069518,18.925796,92,5/28/2016 20:05,5/28/2016 20:25,18505.470269999998,20.03333333,207,74,9.196268971,9163.002023000001,314,39,463.02064709999996,1204.09522
679,49.183758000000005,18.863525,49.113172999999996,18.913479000000002,73,5/29/2016 3:23,5/29/2016 3:40,13520.41967,16.93333333,207,74,47.52728412,9203.052387,257,39,262.5498614,5887.134292
695,49.183811999999996,18.863225,49.200474,18.736925,75,5/29/2016 14:40,5/29/2016 14:53,12552.795559999999,13.08333333,207,74,24.99270128,9180.649470999999,272,74,422.5323226,1991.7527719999998
698,49.183834000000004,18.863204,49.216138,18.732762,65,5/29/2016 19:04,5/29/2016 19:16,11483.36195,11.36666667,207,74,22.68742138,9178.265307,273,74,496.3999118,1085.5182550000002
701,49.183758000000005,18.863311,49.110147999999995,18.9135,65,5/29/2016 22:43,5/29/2016 22:56,13201.04657,13.38333333,207,74,33.24845453,9188.797423,257,39,404.1241438,5550.6727710000005
771,49.225901,18.729308,49.220655,18.55314,70,6/6/2016 19:12,6/6/2016 19:27,17704.73338,15.28333333,271,74,16.952555899999997,1664.812116,42,74,588.5165365,14148.2917
812,49.22573,18.729415,49.208403000000004,18.770120000000002,51,6/8/2016 14:07,6/8/2016 14:17,4257.675961999999,10.05,271,74,7.542141767,1647.213572,370,74,1593.982514,1890.903183
816,49.225805,18.729372,49.172546999999994,18.638005,91,6/8/2016 17:09,6/8/2016 17:27,13907.764169999999,18.63333333,271,74,7.062140236,1654.694459,42,74,7658.144551,9382.454815000001
819,49.225944,18.729392999999998,49.20881,18.74053,22,6/8/2016 19:17,6/8/2016 19:24,2599.770398,7.25,271,74,18.052260699999998,1662.7490460000001,370,74,1267.987419,1042.305445
831,49.225986999999996,18.729308,49.237649,18.467395,113,6/9/2016 9:01,6/9/2016 9:21,26293.28284,20.25,271,74,24.85478658,1670.565077,42,50,7101.193262999999,14695.008769999999
853,49.225858,18.729351,49.217211,18.734393,13,6/10/2016 11:12,6/10/2016 11:17,1353.340964,4.983333333,271,74,11.35329457,1659.4425609999998,273,74,488.94182259999997,963.7057988
860,49.226009000000005,18.729372,49.234173,18.579555,100,6/10/2016 15:10,6/10/2016 15:29,19872.00636,18.31666667,271,74,25.42588204,1668.335444,42,74,2118.846036,12369.58333
867,49.225869,18.729415,49.150381,18.670192,71,6/11/2016 6:00,6/11/2016 6:16,12782.895,15.43333333,271,74,9.646563975,1656.4505570000001,176,74,7016.833103,9308.845969
870,49.226009000000005,18.729329,49.298567999999996,18.633714,91,6/11/2016 8:33,6/11/2016 8:52,15052.36899,18.6,271,74,26.43813097,1670.825526,42,74,10266.4019,12291.47411
873,49.225966,18.729372,49.239269,18.808744,52,6/11/2016 9:48,6/11/2016 9:59,7487.367644,10.96666667,271,74,20.85500397,1665.4436759999999,270,74,4456.209379,5090.2433710000005
876,49.22603,18.729351,49.243635999999995,18.68871,30,6/11/2016 12:04,6/11/2016 12:09,4479.586989,5.7,271,74,28.10053455,1670.965659,271,74,3566.951564,5213.720773
882,49.225986999999996,18.729372,49.193811,18.785119,47,6/11/2016 17:40,6/11/2016 17:49,6744.470179000001,9.166666667000001,271,74,23.07636019,1666.854844,272,74,3315.040349,3749.597256
