"","x"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",1
"17",1
"18",1
"19",2
"20",2
"21",0
"22",0
"23",0
"24",3
"25",3
"26",3
"27",4
"28",4
"29",5
"30",5
"31",5
"32",6
"33",6
"34",7
"35",7
"36",7
"37",0
"38",8
"39",8
"40",8
"41",8
"42",8
"43",8
"44",8
"45",0
"46",9
"47",9
"48",9
"49",9
"50",10
"51",10
"52",10
"53",11
"54",11
"55",12
"56",12
"57",13
"58",13
"59",13
"60",13
"61",0
"62",14
"63",14
"64",14
"65",14
"66",15
"67",15
"68",15
"69",16
"70",16
"71",16
"72",17
"73",17
"74",17
"75",18
"76",18
"77",19
"78",19
"79",19
"80",20
"81",20
"82",21
"83",21
"84",21
"85",22
"86",22
"87",22
"88",23
"89",23
"90",23
"91",24
"92",24
"93",24
"94",0
"95",25
"96",25
"97",25
"98",25
"99",25
"100",0
"101",26
"102",26
"103",26
"104",27
"105",27
"106",27
"107",27
"108",28
"109",28
"110",29
"111",29
"112",29
"113",0
"114",0
"115",0
"116",0
"117",0
"118",0
"119",0
"120",0
"121",0
"122",30
"123",30
"124",30
"125",31
"126",31
"127",31
"128",31
"129",31
"130",0
"131",32
"132",32
"133",32
"134",0
"135",0
"136",0
"137",0
"138",0
"139",0
"140",0
"141",0
"142",0
"143",0
"144",0
"145",0
"146",0
"147",0
"148",0
"149",0
"150",0
"151",0
"152",0
"153",0
"154",0
"155",0
"156",0
"157",33
"158",33
"159",33
"160",34
"161",34
"162",34
"163",35
"164",35
"165",36
"166",36
"167",36
"168",36
"169",37
"170",37
"171",37
"172",37
"173",38
"174",38
"175",39
"176",39
"177",40
"178",40
"179",40
"180",0
"181",41
"182",41
"183",42
"184",42
"185",43
"186",43
"187",43
"188",44
"189",44
"190",44
"191",45
"192",45
"193",45
"194",45
"195",46
"196",46
"197",46
"198",47
"199",47
"200",47
"201",47
"202",47
"203",48
"204",48
"205",0
"206",49
"207",49
"208",50
"209",50
"210",50
"211",51
"212",51
"213",52
"214",52
"215",52
"216",53
"217",53
"218",53
"219",53
"220",54
"221",54
"222",0
"223",55
"224",55
