EdgeID,Length(m)(poly),Hour_of_Day,time_poly(s)
857,130.576,9.0,237.0
857,130.576,12.0,17.0
857,130.576,13.0,15.0
857,130.576,14.0,
857,130.576,21.0,17.0
858,21.433,9.0,
858,21.433,12.0,
858,21.433,13.0,
858,21.433,14.0,
858,21.433,21.0,
859,182.674,9.0,21.0
859,182.674,12.0,102.0
859,182.674,13.0,28.0
859,182.674,14.0,18.0
859,182.674,21.0,110.0
860,96.106,9.0,
860,96.106,12.0,
860,96.106,13.0,
860,96.106,14.0,21.0
860,96.106,21.0,
861,50.291,9.0,29.0
861,50.291,12.0,
861,50.291,13.0,
861,50.291,14.0,
861,50.291,21.0,
862,117.486,12.0,
862,117.486,13.0,157.0
862,117.486,14.0,34.0
862,117.486,21.0,43.0
863,31.129,12.0,
863,31.129,13.0,
863,31.129,14.0,
863,31.129,21.0,
864,56.664,12.0,29.0
864,56.664,21.0,
865,103.826,9.0,
865,103.826,12.0,
865,103.826,21.0,
868,285.639,16.0,25.0
868,285.639,19.0,26.0
868,285.639,22.0,26.5
869,158.311,9.0,46.0
870,43.751,9.0,
872,529.102,9.0,93.0
873,80.879,9.0,
874,92.893,9.0,
875,150.537,9.0,43.0
876,12.194,9.0,
876,12.194,12.0,
876,12.194,13.0,
876,12.194,14.0,
876,12.194,21.0,
877,55.774,9.0,
877,55.774,12.0,
877,55.774,13.0,50.0
877,55.774,21.0,
878,27.04,9.0,
878,27.04,12.0,
878,27.04,21.0,
879,39.705,9.0,
879,39.705,12.0,
879,39.705,21.0,34.0
880,103.791,9.0,39.0
880,103.791,12.0,30.0
880,103.791,21.0,
881,11.959,9.0,
881,11.959,12.0,
881,11.959,21.0,
882,37.621,6.0,
882,37.621,8.0,
882,37.621,9.0,
882,37.621,12.0,
882,37.621,14.0,
882,37.621,23.0,
883,28.384,0.0,
883,28.384,1.0,
883,28.384,2.0,
883,28.384,3.0,
883,28.384,4.0,
883,28.384,5.0,
883,28.384,6.0,
883,28.384,7.0,
883,28.384,8.0,
883,28.384,9.0,40.0
883,28.384,10.0,
883,28.384,11.0,
