EdgeID,Length(m)(poly),Hour_of_Day,time_poly(s)
337,17.146,19.0,
436,211.808,19.0,13.0
440,31.948,9.0,
495,292.168,19.0,21.0
857,130.576,6.0,
857,130.576,12.0,30.0
857,130.576,18.0,
857,130.576,19.0,
858,21.433,6.0,25.0
858,21.433,12.0,
858,21.433,18.0,
858,21.433,19.0,
859,182.674,6.0,
859,182.674,12.0,16.0
859,182.674,18.0,34.0
859,182.674,19.0,25.0
859,182.674,22.0,1071.0
860,96.106,2.0,42.0
860,96.106,6.0,15.0
860,96.106,12.0,
860,96.106,15.0,
860,96.106,17.0,183.0
860,96.106,18.0,
860,96.106,19.0,153.0
860,96.106,22.0,
861,50.291,2.0,
861,50.291,6.0,
861,50.291,12.0,
861,50.291,15.0,
861,50.291,17.0,
861,50.291,18.0,101.0
861,50.291,19.0,50.5
861,50.291,22.0,
862,117.486,2.0,15.0
862,117.486,6.0,
862,117.486,12.0,40.0
862,117.486,15.0,
862,117.486,17.0,
862,117.486,18.0,
862,117.486,19.0,
862,117.486,22.0,
863,31.129,2.0,
863,31.129,6.0,
863,31.129,12.0,
863,31.129,15.0,36.0
863,31.129,17.0,27.0
863,31.129,18.0,
863,31.129,19.0,19.0
863,31.129,22.0,37.0
864,56.664,2.0,
864,56.664,6.0,
864,56.664,12.0,
864,56.664,19.0,
865,103.826,2.0,
865,103.826,6.0,
865,103.826,12.0,30.0
865,103.826,19.0,19.0
866,97.957,15.0,40.0
868,285.639,2.0,24.0
870,43.751,12.0,321.0
871,37.894,2.0,
871,37.894,12.0,
871,37.894,21.0,327.0
872,529.102,19.0,95.0
873,80.879,19.0,
874,92.893,19.0,571.0
876,12.194,2.0,
876,12.194,6.0,
876,12.194,12.0,
876,12.194,15.0,41.0
876,12.194,17.0,
876,12.194,18.0,445.0
876,12.194,19.0,61.0
876,12.194,22.0,
877,55.774,2.0,22.0
877,55.774,6.0,
877,55.774,12.0,
877,55.774,19.0,26.0
878,27.04,2.0,
878,27.04,6.0,
878,27.04,12.0,
878,27.04,19.0,
879,39.705,2.0,
879,39.705,6.0,
879,39.705,12.0,
879,39.705,19.0,
880,103.791,2.0,
880,103.791,6.0,
880,103.791,12.0,
880,103.791,19.0,
881,11.959,2.0,22.0
881,11.959,6.0,32.0
881,11.959,12.0,
881,11.959,19.0,36.0
882,37.621,11.0,
882,37.621,19.0,
882,37.621,22.0,
883,28.384,6.0,278.0
883,28.384,7.0,
883,28.384,10.0,
883,28.384,12.0,
883,28.384,14.0,
883,28.384,15.0,
883,28.384,16.0,
883,28.384,18.0,228.0
883,28.384,19.0,253.0
883,28.384,21.0,
883,28.384,22.0,18.0
884,125.754,0.0,30.0
884,125.754,1.0,
884,125.754,2.0,16.0
884,125.754,3.0,16.0
884,125.754,4.0,
884,125.754,5.0,
884,125.754,6.0,
884,125.754,7.0,28.0
884,125.754,8.0,55.0
884,125.754,9.0,17.5
884,125.754,10.0,556.0
884,125.754,11.0,16.666666666666668
884,125.754,12.0,17.0
884,125.754,13.0,14.5
884,125.754,14.0,
884,125.754,15.0,15.0
884,125.754,16.0,15.0
884,125.754,17.0,18.0
884,125.754,18.0,397.0
884,125.754,19.0,16.0
884,125.754,20.0,16.0
884,125.754,21.0,17.666666666666668
884,125.754,22.0,19.0
884,125.754,23.0,16.0
885,164.231,0.0,130.7
885,164.231,1.0,21.2
885,164.231,2.0,21.833333333333332
885,164.231,3.0,18.666666666666668
885,164.231,4.0,97.77777777777777
885,164.231,5.0,21.0
885,164.231,6.0,21.142857142857142
885,164.231,7.0,84.25
885,164.231,8.0,30.6
885,164.231,9.0,20.4
885,164.231,10.0,31.555555555555557
885,164.231,11.0,18.714285714285715
885,164.231,12.0,23.375
885,164.231,13.0,121.125
885,164.231,14.0,22.09090909090909
885,164.231,15.0,20.285714285714285
885,164.231,16.0,21.77777777777778
885,164.231,17.0,18.125
885,164.231,18.0,20.636363636363637
885,164.231,19.0,25.7
885,164.231,20.0,51.4
885,164.231,21.0,17.0
885,164.231,22.0,20.125
885,164.231,23.0,150.0
886,11.203,0.0,
886,11.203,1.0,
886,11.203,2.0,
886,11.203,3.0,
886,11.203,4.0,37.0
886,11.203,5.0,
886,11.203,6.0,
886,11.203,7.0,
886,11.203,8.0,
886,11.203,9.0,16.0
886,11.203,10.0,
886,11.203,11.0,15.0
886,11.203,12.0,
886,11.203,13.0,10.0
886,11.203,14.0,
886,11.203,15.0,
886,11.203,16.0,
886,11.203,17.0,
886,11.203,18.0,
886,11.203,19.0,
886,11.203,20.0,
886,11.203,21.0,
886,11.203,22.0,
886,11.203,23.0,
887,119.311,0.0,10.666666666666666
887,119.311,1.0,17.25
887,119.311,2.0,11.333333333333334
887,119.311,3.0,12.5
887,119.311,4.0,20.375
887,119.311,5.0,12.0
887,119.311,6.0,25.5
887,119.311,7.0,14.5
887,119.311,8.0,25.333333333333332
887,119.311,9.0,12.5
887,119.311,10.0,9.5
887,119.311,11.0,17.5
887,119.311,12.0,15.142857142857142
887,119.311,13.0,26.5
887,119.311,14.0,12.777777777777779
887,119.311,15.0,131.5
887,119.311,16.0,13.166666666666666
887,119.311,17.0,13.142857142857142
887,119.311,18.0,12.0
887,119.311,19.0,13.142857142857142
887,119.311,20.0,15.625
887,119.311,21.0,16.333333333333332
887,119.311,22.0,11.4
887,119.311,23.0,10.0
888,227.409,0.0,12.0
888,227.409,1.0,16.0
888,227.409,2.0,14.25
888,227.409,3.0,52.0
888,227.409,4.0,151.55555555555554
888,227.409,5.0,13.0
888,227.409,6.0,19.75
888,227.409,7.0,13.0
888,227.409,8.0,14.142857142857142
888,227.409,9.0,10.333333333333334
888,227.409,10.0,16.666666666666668
888,227.409,11.0,15.875
888,227.409,12.0,12.142857142857142
888,227.409,13.0,12.0
888,227.409,14.0,12.0
888,227.409,15.0,19.5
888,227.409,16.0,10.714285714285714
888,227.409,17.0,11.0
888,227.409,18.0,14.6
888,227.409,19.0,14.375
888,227.409,20.0,13.4
888,227.409,21.0,11.272727272727273
888,227.409,22.0,14.555555555555555
888,227.409,23.0,17.2
889,153.766,0.0,14.0
889,153.766,1.0,21.857142857142858
889,153.766,2.0,14.833333333333334
889,153.766,3.0,13.2
889,153.766,4.0,14.222222222222221
889,153.766,5.0,10.0
889,153.766,6.0,56.666666666666664
889,153.766,7.0,27.8
889,153.766,8.0,18.571428571428573
889,153.766,9.0,13.0
889,153.766,10.0,21.0
889,153.766,11.0,13.0
889,153.766,12.0,14.0
889,153.766,13.0,33.2
889,153.766,14.0,14.375
889,153.766,15.0,12.6
889,153.766,16.0,14.8
889,153.766,17.0,15.5
889,153.766,18.0,13.0
889,153.766,19.0,43.55555555555556
889,153.766,20.0,12.2
889,153.766,21.0,17.875
889,153.766,22.0,14.461538461538462
889,153.766,23.0,12.2
890,16.419,0.0,
890,16.419,1.0,
890,16.419,2.0,
890,16.419,3.0,
890,16.419,4.0,34.0
890,16.419,5.0,
890,16.419,6.0,
890,16.419,7.0,26.0
890,16.419,8.0,
890,16.419,9.0,
890,16.419,10.0,
890,16.419,11.0,
890,16.419,12.0,15.0
890,16.419,13.0,14.0
890,16.419,14.0,12.0
890,16.419,15.0,
890,16.419,16.0,
890,16.419,17.0,
890,16.419,18.0,13.5
890,16.419,19.0,20.0
890,16.419,20.0,115.0
890,16.419,21.0,11.0
890,16.419,22.0,17.0
890,16.419,23.0,
891,68.773,0.0,
891,68.773,1.0,21.0
891,68.773,2.0,
891,68.773,3.0,
891,68.773,4.0,19.0
891,68.773,5.0,
891,68.773,6.0,
891,68.773,7.0,
891,68.773,8.0,
891,68.773,9.0,
891,68.773,10.0,20.0
891,68.773,11.0,
891,68.773,12.0,
891,68.773,13.0,
891,68.773,14.0,21.0
891,68.773,15.0,
891,68.773,16.0,16.0
891,68.773,17.0,
891,68.773,18.0,16.0
891,68.773,19.0,
891,68.773,20.0,13.0
891,68.773,21.0,18.0
891,68.773,22.0,
891,68.773,23.0,
892,43.444,0.0,10.0
892,43.444,1.0,10.0
892,43.444,2.0,20.0
892,43.444,3.0,14.0
892,43.444,4.0,
892,43.444,5.0,
892,43.444,6.0,
892,43.444,7.0,15.0
892,43.444,8.0,
892,43.444,9.0,11.0
892,43.444,10.0,
892,43.444,11.0,11.0
892,43.444,12.0,24.0
892,43.444,13.0,12.0
892,43.444,14.0,
892,43.444,15.0,17.0
892,43.444,16.0,16.0
892,43.444,17.0,
892,43.444,18.0,
892,43.444,19.0,
892,43.444,20.0,26.0
892,43.444,21.0,
892,43.444,22.0,
892,43.444,23.0,16.0
893,163.516,0.0,19.285714285714285
893,163.516,1.0,15.428571428571429
893,163.516,2.0,15.0
893,163.516,3.0,16.0
893,163.516,4.0,13.222222222222221
893,163.516,5.0,18.333333333333332
893,163.516,6.0,16.5
893,163.516,7.0,18.25
893,163.516,8.0,15.833333333333334
893,163.516,9.0,13.833333333333334
893,163.516,10.0,14.5
893,163.516,11.0,16.333333333333332
893,163.516,12.0,14.333333333333334
893,163.516,13.0,13.5
893,163.516,14.0,14.0
893,163.516,15.0,14.6
893,163.516,16.0,15.75
893,163.516,17.0,15.428571428571429
893,163.516,18.0,19.1
893,163.516,19.0,13.88888888888889
893,163.516,20.0,18.0
893,163.516,21.0,15.909090909090908
893,163.516,22.0,11.222222222222221
893,163.516,23.0,16.0
894,202.018,0.0,12.0
894,202.018,1.0,14.555555555555555
894,202.018,2.0,12.5
894,202.018,3.0,12.285714285714286
894,202.018,4.0,14.666666666666666
894,202.018,5.0,10.666666666666666
894,202.018,6.0,14.857142857142858
894,202.018,7.0,13.857142857142858
894,202.018,8.0,17.125
894,202.018,9.0,11.666666666666666
894,202.018,10.0,16.555555555555557
894,202.018,11.0,13.142857142857142
894,202.018,12.0,81.375
894,202.018,13.0,13.636363636363637
894,202.018,14.0,15.7
894,202.018,15.0,16.4
894,202.018,16.0,10.75
894,202.018,17.0,15.285714285714286
894,202.018,18.0,15.222222222222221
894,202.018,19.0,64.3
894,202.018,20.0,14.8
894,202.018,21.0,13.714285714285714
894,202.018,22.0,29.384615384615383
894,202.018,23.0,11.25
895,266.218,0.0,17.285714285714285
895,266.218,1.0,121.25
895,266.218,2.0,15.5
895,266.218,3.0,15.166666666666666
895,266.218,4.0,12.916666666666666
895,266.218,5.0,10.5
895,266.218,6.0,15.6
895,266.218,7.0,14.0
895,266.218,8.0,33.44444444444444
895,266.218,9.0,16.0
895,266.218,10.0,12.25
