EdgeID,Length(m)(poly),Hour_of_Day,time_poly(s)
857,130.576,0.0,
857,130.576,1.0,46.0
857,130.576,2.0,
857,130.576,8.0,28.0
857,130.576,10.0,
857,130.576,14.0,
857,130.576,16.0,43.0
857,130.576,18.0,17.0
857,130.576,19.0,415.0
858,21.433,1.0,
858,21.433,2.0,
858,21.433,8.0,
858,21.433,10.0,43.0
858,21.433,14.0,
858,21.433,16.0,19.0
858,21.433,18.0,
858,21.433,19.0,
859,182.674,1.0,49.0
859,182.674,2.0,15.0
859,182.674,8.0,75.0
859,182.674,10.0,
859,182.674,14.0,72.0
859,182.674,16.0,
859,182.674,18.0,22.0
859,182.674,19.0,36.0
859,182.674,23.0,65.0
860,96.106,2.0,34.0
860,96.106,7.0,
860,96.106,10.0,
860,96.106,12.0,15.0
860,96.106,14.0,
860,96.106,16.0,142.0
860,96.106,18.0,
860,96.106,19.0,
860,96.106,23.0,
861,50.291,1.0,
861,50.291,7.0,
861,50.291,10.0,78.0
861,50.291,14.0,
861,50.291,16.0,79.0
861,50.291,18.0,
861,50.291,19.0,37.0
861,50.291,23.0,
862,117.486,1.0,
862,117.486,7.0,
862,117.486,14.0,
862,117.486,16.0,
862,117.486,18.0,29.0
862,117.486,19.0,
862,117.486,23.0,57.0
863,31.129,1.0,32.0
863,31.129,7.0,
863,31.129,14.0,
863,31.129,16.0,
863,31.129,18.0,
863,31.129,23.0,
864,56.664,1.0,
864,56.664,7.0,
864,56.664,14.0,26.0
864,56.664,16.0,
864,56.664,18.0,
865,103.826,1.0,
865,103.826,14.0,
865,103.826,17.0,
865,103.826,18.0,
868,285.639,0.0,
868,285.639,7.0,58.0
869,158.311,12.0,
869,158.311,17.0,
870,43.751,12.0,
870,43.751,17.0,40.0
872,529.102,7.0,152.0
872,529.102,16.0,89.0
872,529.102,17.0,95.0
873,80.879,7.0,
873,80.879,12.0,
873,80.879,16.0,54.0
873,80.879,17.0,
874,92.893,7.0,
874,92.893,12.0,
874,92.893,17.0,
875,150.537,12.0,36.0
875,150.537,17.0,28.0
876,12.194,1.0,
876,12.194,14.0,
876,12.194,17.0,
876,12.194,18.0,
876,12.194,23.0,
877,55.774,1.0,
877,55.774,14.0,
877,55.774,17.0,
877,55.774,18.0,
878,27.04,1.0,
878,27.04,14.0,
