,Time Error [s],Whole trip time
0,-885.4024087328294,674
1,,2225
2,-109.44627604787684,1062
3,-474.29190824357147,638
4,-1444.1109539330114,1414
5,-531.5452317798147,703
6,255.05820192578676,1586
7,-1087.8258793061455,1847
8,-672.4388689607517,1862
9,-568.3340165237221,678
10,-1134.02785191041,1348
11,-1121.3213829291344,1147
12,-357.44627604787684,814
13,-1027.3208274465107,864
14,-1964.0299902331026,743
15,-392.3708117163869,1010
16,-1503.1329002522302,1193
17,-436.0603168078594,711
18,-1015.1774350469291,1315
19,-298.99220610297175,929
20,-991.9953882019017,2091
21,-1111.573230767964,1171
22,-575.8896473290574,1955
23,-1378.8258793061455,1586
24,-1044.6645945122166,698
25,-111.58300937108947,954
26,-1686.196392152046,1046
27,-299.10683111874073,792
28,-1240.6992056287338,683
29,-1297.3169428692463,1280
30,-450.85870792281776,761
31,-902.1591595801056,1223
32,-1226.648958952604,818
33,-1266.6106115038397,1345
34,-1283.7827013057913,1189
35,-1125.1635370805882,771
36,-572.399233442211,733
37,-1066.5856535845337,1003
38,-323.1563210178397,868
39,-592.3562937360584,697
40,-1879.6971069823298,766
41,-1246.3486681159375,1222
42,-577.1792097808104,913
43,-869.9711770968602,778
44,574.8149813970285,1687
45,-507.81402736924724,807
46,-1240.6412074569607,1050
47,-787.3557196104348,1399
48,-688.5440226081323,703
49,-317.4246816953171,1662
50,-1443.860437714864,745
51,-616.1119540677091,889
52,-1135.5463185267663,1563
53,-100.93804554013605,938
54,-1208.600679629048,945
55,-361.85992159233047,2098
56,-679.1774350469291,1651
57,-476.4943850782281,681
58,-629.0663774770237,1484
59,-407.2141629617058,971
60,-417.44627604787684,754
61,-1110.20085287358,1515
62,-429.94627604787684,764
63,-530.9028146081951,1613
64,-839.6909160551213,984
65,-1783.28561535868,2091
66,-1176.5656486199,1420
67,-335.23042908931984,890
68,-388.96542585904194,1026
69,-1216.3110631510158,1248
70,-999.546859142715,832
71,-743.9569875585885,854
72,-853.0823763223409,641
73,-648.7557196104349,1305
74,-273.8037628678726,850
75,-446.16838127585356,626
76,-784.3155669899502,691
77,-1467.538868960753,1514
78,-128.1865298482619,1001
79,-933.9059076710873,1563
80,-144.18187774254784,988
81,-978.4529507756779,1442
82,-1181.3486681159375,1287
83,-491.38426394253565,591
84,-1240.1974020023808,1299
85,-269.3137982636265,1010
86,-1193.4143339588527,1382
87,-1285.0552652660308,763
88,-413.33513388021925,652
89,-1325.6397821415649,1193
90,-313.37762252928565,852
91,-635.2752766400918,659
92,-753.7194989547111,1878
93,,1176
94,-950.8313931536322,1641
95,-1251.5079002522302,1388
96,-314.94630856988124,744
97,-642.9866285705968,619
98,-258.5297207291301,818
99,-958.4486681159374,1422
100,-811.3047240997478,748
101,-648.7357388942899,1013
102,-1384.0208231639558,1084
103,336.93997335002837,1716
104,-181.22214989640452,1178
105,-222.0257654622842,1381
106,-484.39487632234113,901
107,-795.1933993190821,789
108,-949.562332296724,1369
109,-735.5011052056473,993
110,-731.891130537341,670
111,-235.0079618086197,740
112,,1646
113,-555.0600266499716,824
114,-1275.6397821415649,1243
115,-970.0092386639485,743
116,-695.2437217942897,1393
117,-990.8482760223014,1163
118,-616.3773306209469,629
119,-988.5267326524154,573
120,-1182.1809828663845,1774
121,-393.37733062094685,852
122,-388.6027608374932,736
123,-298.18501860297147,814
124,-1043.1635370805882,853
125,,1436
126,-405.02624255278215,724
127,-842.209834132118,1485
128,-1331.1974020023808,1208
129,-570.5929823891927,594
130,-546.9291657204917,752
131,-1418.0481015283672,1440
132,-418.69492274775484,675
133,-322.2141629617058,1080
134,-1159.8062719590207,1121
135,-719.3948763223411,666
136,-704.4499169015803,891
137,-1143.9680538291077,1246
138,-1519.196392152046,1232
139,-1027.689175669624,1480
140,-403.44627604787684,768
141,92.02569180117723,444
142,-652.4198263438448,818
143,-1111.8601775830743,1245
144,-314.9344404736612,1999
145,-1418.4858759622398,869
146,-542.6214376982036,766
147,-909.7903730940186,839
148,-1095.8367442658105,1999
149,-593.7455285034912,705
150,-265.10683111874073,826
151,-609.7844253685175,733
152,-378.86718488853785,971
153,-610.2242919681207,1440
154,-373.32896665573276,798
155,-316.0776225292857,878
156,-438.0256796290496,1433
157,-1019.3486681159375,1449
158,-278.04379259133566,1577
159,-350.59499373833955,838
160,506.28394135391613,1747
161,-503.1670352003732,693
162,-938.360533006386,1440
163,-557.3119568384966,799
164,-802.9711770968602,845
165,-735.1550882234333,1332
166,-1091.4957601258043,1499
167,-1251.689175669624,1286
168,74.36697899066348,2162
169,-934.743964283185,1331
170,-751.0995961496683,1778
171,-544.7357388942899,1117
172,-1271.9680754299848,741
173,-427.4170352003732,745
174,-476.34013671221487,662
175,-938.7511052056475,917
176,82.2407346667967,1413
177,-869.5989074108211,1342
178,-1240.7426219722047,828
179,-303.6780355902574,1967
180,-1021.6489589526041,1023
181,-420.33513388021925,645
182,-959.3388315265042,1580
183,-378.0776225292857,816
184,-362.52831308353325,725
185,-1370.6106115038397,1241
186,-616.3562937360584,673
187,-1171.144559540959,1778
188,-459.27858975354366,806
189,-508.8758745752839,745
190,-52.41982634384476,1418
191,-590.6214376982036,718
192,-608.3562937360584,681
193,-457.5349994902874,1200
194,-1193.4244054172386,1329
195,-1098.4920007346595,1062
196,-1106.0236309855402,609
197,-411.12143769820364,744
198,-901.3948915150497,665
199,-373.9291657204917,925
200,-994.3486681159375,1474
201,917.8283500043367,2121
202,-396.56471789424586,887
203,277.15918716516535,2125
204,1146.0876907848929,2212
205,-827.0823763223409,667
206,-539.8177194214263,671
207,-1952.0270311952208,2320
208,-533.0546043505165,1688
209,-1060.072875344652,1275
210,551.5886569685365,1654
211,-793.6040675062636,782
212,-1193.2701065980186,1260
213,-1065.2444914521348,1201
214,-682.8140273692472,648
215,-838.5738996933937,1320
216,-546.9680538291077,1843
217,-755.7699169015805,985
218,-1273.238436470413,623
219,-790.6388689607516,1771
220,-1004.4192122877412,1583
221,-664.1792097808104,826
222,-491.69492274775484,602
223,-895.4388689607517,1639
224,-1085.072875344652,1250
225,,1932
226,-1512.0481015283672,1346
227,-867.9885429070619,806
228,-1421.4100997639584,1096
229,-841.2346895831381,751
230,-529.1850186029715,583
231,-135.59190824357142,948
232,-529.6219446860546,722
233,-742.8482760223014,1411
234,-956.3062719590212,1161
235,89.40644607090056,156
236,-382.18329597192064,782
237,-458.44999368457707,607
238,-696.272880110329,1607
239,-620.9769395687131,2361
240,-355.0349437839618,1802
241,-1737.2471069823296,967
242,-1097.0221648598376,1103
243,91.02266937905347,1457
244,-1209.2852781841839,1192
245,-573.8185862941662,596
246,-1226.0963838615635,1302
247,-537.1937905327961,626
248,-1380.394643823503,1073
249,-979.3694194335292,676
250,-1096.1266938374597,772
251,-476.9592492325387,741
252,-625.2849816727719,707
253,-159.87733062094685,1038
254,-1784.2471069823296,920
255,-412.69492274775484,681
256,-576.0211319045243,746
257,-847.1374081231738,654
258,-932.453985877336,1707
259,-1522.1286754089392,1308
260,-1406.6266938374592,602
261,-1404.0321872003592,1117
262,-340.44627604787684,831
263,-388.2095128111139,823
264,-1090.0321872003592,1431
265,104.67103334426724,1276
266,-1565.9874803479465,1626
267,209.51726753205332,815
268,-513.6676007906681,1777
269,-1036.984514684716,1179
270,-1214.312605945971,1337
271,-663.8552119352685,886
272,308.2084998766093,580
273,-249.4328149680614,380
274,-944.0798591664443,1612
275,-777.3908303404596,1636
276,-1112.329328187417,1352
277,-123.68153199279232,540
278,-761.0963838615635,1767
279,-1278.797335216278,1240
280,-437.6219446860546,814
281,-270.64399728761373,862
282,-524.9788210528395,632
283,-1016.3855061288941,922
284,-1442.5960880153484,1204
285,-424.3845751411518,1062
286,-112.22587104822014,1156
287,-423.70076994571264,1034
288,-0.8444934283502334,1406
289,-286.14596381481454,400
290,-747.3674503704922,561
291,254.50169101996244,546
292,-124.43506643609987,372
293,-1308.4690965951722,1769
294,-163.0069966394932,476
295,-583.0280197883358,525
296,297.30307857133977,734
297,-411.6337488331976,359
298,-641.196434862891,562
299,69.44085756788525,490
300,-1607.5199266616914,1909
301,-455.69492274775484,654
302,-408.2095128111139,803
303,,2055
304,-703.1380337863716,1650
305,252.07995127613822,821
306,-439.3740229488592,450
307,-318.8018965213962,450
308,-135.74180763413767,492
309,-535.7523936332839,662
310,-398.7012544643917,519
311,-338.61006290488024,467
312,-481.79924115148856,1132
313,-1829.0720218958877,997
314,,1022
315,,1065
316,-410.4422846712014,1018
317,-354.3108150030048,1115
318,-677.0031238085198,1013
319,-104.78253271319636,1217
320,-1399.3652406980145,1698
321,-1309.4115266852477,1554
322,-1432.0763913047635,1474
323,481.0845323804281,1684
324,-89.56931267805987,423
325,-997.3429237659964,682
326,-49.56931267805987,463
327,-768.7676016516436,470
328,-236.055523241375,332
329,-682.1792097808104,808
330,-474.1670352003732,722
331,-394.6093591621527,1084
332,-543.3289666557328,628
333,-706.6337646815634,475
334,-18.031256397844288,361
335,24.872380247035892,441
336,-62.519748883909415,378
337,-220.47199908306152,352
338,-265.323232102729,329
339,-261.42411840424745,370
340,-207.63949532166055,331
341,-202.24687499450636,382
342,135.08654336850503,398
343,-1196.7784224879365,1623
344,-296.6410619831264,373
345,-863.995642780475,644
346,-95.14187400717333,388
347,-343.78327548285404,306
348,25.303078571339768,462
349,124.4847077041693,666
350,-1330.39798723099,1495
351,-390.69850101856434,367
352,142.67404187068223,1252
353,-747.6337646815634,434
354,267.02870109808674,536
355,-1534.1337930989284,611
356,367.65293824812966,623
357,-255.50876567893215,803
358,166.47419574047214,399
359,-1202.5223434912205,1368
360,-38.28019215387121,396
361,-998.0069743947786,317
362,-143.21779771033067,344
363,-1793.9443171592834,1952
364,-1492.2748147615252,368
365,-317.8445092696818,316
366,-1234.0521825261453,380
367,544.9449026455521,1125
368,-93.50366803841843,348
369,162.26500493116976,813
370,-593.4528611515402,391
371,-115.92467601915928,345
372,-70.42958434825755,1420
373,-641.7013586674398,457
374,-246.6498405133035,465
375,-0.7161250610403158,441
376,-1086.816841323993,478
377,-844.0297842284633,483
378,-687.6925712068305,388
379,-155.75134494872532,321
380,-957.0262354673141,324
381,1029.9632580817893,2051
382,-1474.0131598610585,372
383,-153.3642425900378,246
384,-108.43366751274357,411
385,-539.501728160551,411
386,-1569.8030764891387,430
387,-257.5534822606742,359
388,-1013.9766290379728,320
389,-1065.2024806644656,379
390,-303.53391630956685,273
391,-376.49383703403976,339
392,-577.9806868170567,324
393,-1046.1684040440548,345
394,-256.2546067406681,414
395,-888.4218163571286,399
396,-292.5352842298846,293
397,-547.1378377197827,384
398,-748.616771593164,375
399,-1362.5576663328561,1710
400,-1139.6468086828706,342
401,-663.1318299996733,435
