,Time Error [s],Whole trip time
0,-590.5504166149944,1792
1,-1708.7631301330166,738
2,-2159.403820873383,877
3,1889.102962079624,2310
4,-1210.1307104419022,664
5,371.9367500221297,914
6,-173.27893522963177,744
7,,487
8,-423.1957257659542,765
9,-299.54158924157036,935
10,,532
11,-165.37332440803766,388
12,-778.6893516149871,993
13,-514.8081726632677,291
14,-1286.6192674529575,1085
15,-1878.3414609183255,390
16,,444
17,-643.6704885882937,666
18,-507.4394776525219,574
19,-2324.5173105916047,478
20,-1028.404798857709,942
21,241.8116278907621,617
22,-1097.076472490458,980
23,-1068.3947078919177,331
24,-384.57642498398263,461
25,-1776.426495069738,1226
26,-440.2812224803164,386
27,-727.971408965796,786
28,-91.22890346640418,244
29,-1885.3413261941482,1854
30,-420.4364111351647,694
31,503.18204931906257,579
32,758.4532078198729,1890
33,-276.1340643070811,710
34,-733.4459663261589,1033
35,-813.3833866872696,1063
36,-357.46859434769624,305
37,-797.324464937029,568
38,-970.8870874133572,566
39,-69.99665269437833,777
40,,497
41,-746.1727996024156,578
42,-748.2591861428923,1123
43,-367.70722968155894,394
44,206.20974268360112,562
45,-405.65084908113704,808
46,-567.6725317472919,791
47,-979.6954302158433,923
48,-228.8822778067589,505
49,246.0254952840653,1475
50,-559.3939299692586,327
51,-100.78976378868481,242
52,-461.5054316148754,539
53,-1683.5719310297081,1785
54,-140.10585821171014,485
55,-404.2778544139876,1081
56,295.84276343494275,349
57,-685.1554076423763,1285
58,-166.31327951350397,381
59,-421.5799988547783,1182
60,-135.27532280939033,846
61,111.55355372401152,1008
62,-3471.6916230372535,1545
63,-922.7674301573838,1905
64,281.80892844421874,1979
65,41.09540764293172,388
66,-1316.768027347179,470
67,-832.4819334501926,415
68,-1232.8211265156087,410
69,-610.9641425071907,989
70,-388.83399699651,256
71,-149.1307825949507,150
72,-745.276552059009,378
73,-102.37512680812068,354
74,-304.52164650180964,603
75,-750.7846036800875,892
76,-217.91014750183808,303
77,-1656.44880516388,748
78,101.33266150622705,911
79,924.7271464410856,1109
