,Time Error [s],Whole trip time
0,-451.8589188493777,684
1,,1385
2,,1352
3,-2318.9309875321733,1088
4,-850.6645759487424,1294
5,-472.85086882023006,823
6,,1260
7,-471.05040514611073,871
8,-37.88042639567743,1435
9,-1164.6039477888874,617
10,174.29662984988727,1790
11,-963.561305371077,889
12,-594.8917509190089,409
13,,1751
14,-381.59738757717605,1976
15,,1387
16,-554.791696227137,1301
17,-655.2531527287406,1090
18,-779.6780631318989,700
19,-370.99879692113336,884
20,-498.9614956106543,814
21,-214.03839638994964,513
22,-570.8621314737331,705
23,-790.8749460853587,1196
24,,1409
25,-644.590009511167,633
26,-635.740035750976,1664
27,-917.6766037239711,818
28,,1889
29,-687.1203371804868,867
30,,1313
31,,1860
32,-342.45272644161423,1091
33,-550.2863859909689,1157
34,-22.95490825656816,2118
35,-1258.50602663066,1030
36,-563.8972893981211,858
37,45.19384621328004,1334
38,-599.1682769221286,819
39,-530.3220151025487,794
40,-598.6099242184771,846
41,-418.8917509190089,565
42,612.5682305526836,2119
43,51.06360978273847,1298
44,-361.1793887202282,886
45,-1008.2157152902635,723
46,-47.07774130104815,564
47,13.78464403627953,475
48,-300.3953832637096,953
49,,2001
50,-424.73554182558564,765
51,-447.27122070578343,864
52,-371.6158169168066,676
53,-222.11261680671532,1947
54,-1188.1452655568937,1169
55,-515.5080917509956,741
56,,1405
57,-476.4997165811312,809
58,-55.270858483123334,827
59,,2153
60,29.185127828725285,1023
61,-556.2909149553204,771
62,-361.10229228110586,642
63,1003.2284947100386,2339
64,-584.5450839094287,762
65,-403.3927663433931,748
66,-721.5789453681043,995
67,-517.8524827672165,678
68,644.038012963797,760
69,-673.1242715012047,902
70,-366.32715215403664,1127
71,,1028
72,216.19006622712868,1971
73,-857.4188839990661,941
74,-383.2388775840002,1041
75,236.8750300508093,2160
76,381.4146933162001,2119
77,-780.2633541702176,989
78,-569.8104208429527,1356
79,807.5447711123529,2231
80,,1081
81,,1113
82,-462.7013162615199,695
83,,1223
84,-727.1804550061399,636
85,-587.4056371445995,1197
86,-387.26981853283837,735
87,-310.35841179137515,934
88,-1212.0579383049449,1271
89,-468.94774181204275,564
90,-963.2324535367266,1148
91,-964.4314245527007,1450
92,-396.21823395064916,1080
93,-466.60058797121496,978
94,,1250
95,,744
96,-599.2667916468024,1160
97,-432.9870679199669,718
98,-979.814362586023,678
99,-692.440955674741,723
100,-501.65729380649395,865
101,-392.4016254684891,1136
102,271.7775987891039,1844
103,576.3822076499027,1654
104,235.3725054578565,794
105,91.14772643454035,1135
106,-124.04335646778429,463
107,-5.179487179487182,161
108,-883.1888468661978,987
109,-765.1784978088849,605
110,-652.0528022098861,567
111,-534.3948048288744,793
112,,1224
113,-227.70062736796012,1070
114,-1265.5937182636849,836
115,1071.6732237386611,2158
116,283.4708901524963,1179
117,-420.7389706602203,1132
118,-544.1155904142663,1340
119,-75.14173208925081,1253
120,,1473
121,1033.0257197366457,2233
122,-189.47743168246097,1269
123,1502.7372447417438,1576
124,,1316
125,-503.24840622243005,1295
126,-141.28583056085745,1320
127,-448.41253010323976,746
128,-505.14454020147195,906
129,-20.53883308441624,313
130,-426.5662860734883,1231
131,268.2236246427291,670
132,-1114.8591770731587,1151
133,-419.87461685785206,1318
134,179.40193495635424,511
135,2.67260908737876,263
136,-318.0564724538783,678
137,-1459.0105118098695,1122
138,-595.3373526200642,1391
139,,759
140,1596.3679387225227,1770
141,-1738.517455267025,1337
142,-345.07429389643494,712
143,102.12081368657755,968
144,-880.0887280262723,1836
145,-1787.3249807992538,1482
146,140.65196797566875,863
147,-168.4097541620224,539
148,-7.482247908396403,1226
149,693.0607804147473,2031
150,-264.26294663884266,648
151,270.36320993287876,592
152,-1583.4193304153105,1140
153,-822.3969224317909,815
154,-610.7007634731187,654
155,-43.129063062657906,1005
156,-1204.5867608598314,1814
157,-183.30687997889027,1622
158,227.1142425161845,1514
159,-2289.5238444365814,2057
160,-47.84870338353835,731
161,962.2630956872017,1091
162,445.91895506120227,605
163,320.3630967708425,1783
164,201.77960824201637,1669
165,-466.72419814310297,1052
166,-194.4000790764327,484
167,-218.1290630626579,830
168,202.6798964188062,712
169,-1296.465047949756,1060
170,424.98116853996436,761
171,952.8408487563768,2143
172,-599.4757537702054,399
173,-98.98288530632647,662
174,-456.10697518884785,713
175,35.95952157943907,1152
176,-160.88825080770152,440
177,-498.8525166777031,976
178,876.6691813643854,2221
179,-927.5846675795738,1221
180,-112.74366047789044,641
181,-1778.2558532565035,2214
182,-104.77133672705696,395
183,-462.0118714266937,844
184,-177.81363172131648,306
185,58.4907387345736,595
186,261.9142591086473,471
187,-297.7338377617368,1161
188,-560.7578475986927,575
189,-125.78036862468912,465
190,-46.51821500033435,446
191,-139.02404354480677,469
192,119.74984115522119,488
193,87.25706329259185,1039
194,-680.7151509849664,951
195,1153.2801866143336,1436
196,-413.2854478128761,1244
197,-1262.6629134787909,1292
198,327.48111239454227,552
199,495.2879051752818,1906
200,-209.67489236977315,538
201,-143.3175964697566,1062
202,-639.4722520299222,896
203,-352.01591966208343,645
204,-784.9878680133604,972
205,-342.8415688090199,592
206,70.3553195005428,627
207,-212.10842379576286,496
208,297.30031616586797,680
209,-671.5654129115242,751
210,-936.4195305014703,686
211,-242.42373221068578,290
212,655.105543055906,871
213,-2554.1872945904115,1686
214,-2309.37216605676,2118
215,-2715.395638106482,1549
216,45.50348941954343,486
217,-2277.869421236651,1686
218,-383.19429666679457,501
219,-491.01614413392974,504
220,605.5195320538686,1137
221,-1367.3660827131416,2345
222,-2360.0444374475537,1724
223,-1401.468847427257,2286
224,-2506.7291384156642,1704
225,-1854.8589863462153,2043
226,1064.4598027615243,1081
227,40.96305431666906,1694
228,144.843557744573,738
229,-1783.2597051057965,1633
230,-220.99110934119938,582
231,-2850.427202386946,1276
232,-465.43540231166276,489
233,-1495.9804848088365,1920
234,-2480.06020299143,1574
235,-2473.1872945904115,1767
236,-797.3189855562077,841
237,-1109.1710929238334,2286
238,-105.82827429681038,923
239,-2812.077343887516,1630
240,-2133.7974849533234,1771
241,-1654.3838283196305,1485
242,-143.94833630379287,544
243,-707.8010406100063,900
244,-1288.3449874452767,1047
245,-2151.0046016574297,1808
246,-240.83166464063834,788
247,-1687.742830756023,2201
248,-1516.8697153571038,1383
249,1147.5749090320096,1197
250,-544.2974263674864,1359
251,-2302.8328923791346,1548
252,-158.25578326130312,477
253,-2256.15822849504,1845
254,-1026.56984677246,945
255,-864.8977618974941,800
256,-212.59604015649415,564
257,-386.7747074019468,509
258,-2062.9534882589905,1610
259,-422.94055356587796,842
260,-3050.294329932938,1969
261,-604.31133241323,501
262,-2928.3417919526346,1795
263,9.37603548438301,719
264,-2763.6982048461314,1774
265,-532.5238819359042,1581
266,-1107.4207322799107,1252
267,-1457.567658979085,1345
268,-817.8283483982275,935
269,-2831.946712446116,1978
270,-2085.7746529362653,1880
271,-2035.229823451249,1541
272,349.8216859904469,1374
273,875.9124581122279,1820
274,302.7157402313085,821
275,-1719.3833862017168,2153
276,-65.69892192788359,944
277,70.71605187602479,138
278,883.3148277492519,2009
279,-1418.3627566171804,877
280,-2014.8371921750145,1651
281,-604.9683170233798,1706
282,8.635495747302343,766
283,-314.61852571183454,507
284,-358.4294839221785,474
285,-1369.7219744452736,1407
286,-487.3176822873097,445
287,176.61036836432584,922
