,Time Error [s],Whole trip time
0,319.59495441276704,1958
1,-770.1255995606803,861
2,-1145.1954132038918,1108
3,-397.1802037815405,1129
4,-647.1705746566727,751
5,-506.6534591767279,882
6,-488.6631377780884,1038
7,8.010676567587211,133
8,-297.37085005970584,1099
9,-280.8211341111007,937
10,-673.0847886261467,875
11,-507.3210345404318,1725
12,-278.67169097754174,606
13,-73.75076487994954,511
14,-393.9656831887553,784
15,-670.8667930940067,636
16,-369.9460902190924,1158
17,-292.3912409840942,333
18,-416.66398992191466,967
19,-556.2541582427027,944
20,-105.18165983532253,1522
21,-527.3922669698334,746
22,-227.19274888012706,724
23,-367.71958765406794,706
24,-1506.6756480980862,1614
25,-129.06819760045653,685
26,-138.43664269042665,1140
27,-452.6361849789005,810
28,-628.370553442569,732
29,-240.6965437699953,1235
30,-299.6900214396858,796
31,-131.5510111203846,1166
32,301.82535420991894,1695
33,-389.21335196007203,589
34,97.07500395135088,237
35,-1560.8117123329507,1018
36,-728.8581315374145,689
37,-531.8936390107838,905
38,-384.5611665876115,730
39,-517.8272046507118,1166
40,-294.3676859863226,1133
41,-649.6375599321875,655
42,-476.07627084787237,792
43,-1488.737129988208,1260
44,-699.4156643450708,972
45,-172.2271042588319,583
46,-368.5344605138646,925
47,-207.76428057415774,1049
48,-917.644081516223,775
49,-354.8701439578756,853
50,1087.8380771211434,1325
51,-495.4714610207816,1211
52,-62.0509280426229,1292
53,-526.7687705774783,742
54,-151.73390704321037,1270
55,-779.9315535639632,655
56,105.77662200874602,1135
57,-272.0102245609735,1040
58,-532.4847998905477,960
59,-409.9880144766928,1210
60,-387.8091281241336,934
61,-508.6516531650493,799
62,-670.4887627144356,861
63,-401.57725021102783,1067
64,-410.6165661170876,622
65,-383.8448998478011,719
66,-372.4191381670262,876
67,-570.3911822647792,837
68,-459.0794832230565,1378
69,-512.5585031602923,671
70,-134.55786287385763,150
71,-303.98096515271686,572
72,-414.4831898375014,1225
73,-605.0409320081383,651
74,-727.3148943550577,560
75,-685.5932533712785,700
76,-421.662355224767,1075
77,-471.2220515940478,736
78,-276.8594386218151,971
79,-559.3915719927693,802
80,-570.1548272022494,820
81,200.68366491986217,1295
82,-733.4924369668977,599
83,-379.53028240936214,618
84,-439.539359205688,925
85,262.8019412090572,454
86,-276.9069818755752,969
87,154.35823716557138,455
88,-424.4878746495456,749
89,-651.3583071828455,612
90,34.16130423739146,114
91,-874.1514683428925,1018
92,-93.04976556023621,963
93,-191.14271451780564,1394
94,-638.2202537566598,1261
95,-56.590634599828036,716
96,-460.44964181944783,801
97,-602.7450749408308,752
98,-659.5121791788256,1365
99,-384.4262131246253,1090
100,-547.5902408485422,729
101,-639.8964489803518,809
102,28.02572654534822,1001
103,-391.49459402055743,392
104,-623.776497508981,669
105,-217.7304804694777,953
106,137.58276330527377,503
107,-543.6030841674151,746
108,-276.4186812044277,1058
109,-262.96031178147746,1024
110,-653.2051920218303,760
111,-285.2715727780503,751
112,-422.8242708980167,1183
113,-577.9874337624467,513
114,-1178.8239541561486,799
115,-862.6429088737477,1397
116,-635.6368900664229,625
117,-731.7789461765028,878
118,320.52598080426424,1617
119,-919.1239008941288,772
120,-88.57766587337039,577
121,-680.736585505161,1237
122,-487.306574790986,488
123,-270.9970809615861,951
124,-466.73371667732476,758
125,-712.9387159643109,905
126,-697.2197782175722,635
127,-197.7589910931681,1328
128,-358.40945807886874,623
129,-617.9463106383207,910
130,-1022.7612620430659,756
131,-198.104641139033,835
132,-488.5929778140255,766
133,-353.4091658023283,1383
134,-397.1506505242271,662
135,-386.9474445576973,939
136,-1004.1144331514979,1326
137,-508.1635071784715,951
138,-182.37019720346257,1055
139,-611.4131123735706,1250
140,-126.24054777016181,1265
141,-682.0611474229729,1024
142,-632.5446028955189,659
143,-824.783048458067,1116
144,13.124170923059978,981
145,-491.26555300012774,747
146,-73.8724292615596,314
147,-772.1087793197555,535
148,-600.199828118803,1079
149,-673.1852738426537,1456
150,-362.72958449576254,969
151,-271.17862666337714,868
152,-436.1348944978545,939
153,-363.5378669995039,993
154,-40.40040791003969,437
155,-708.8999966299477,497
156,-10.944532689797086,203
157,-167.22586411643533,958
158,-860.3655009573167,603
159,-262.32321001839705,861
160,-1480.7195365802195,832
161,-562.1969979041187,840
162,-284.647341871035,897
163,-495.65746619993934,648
164,-361.6289906667332,674
165,-124.69004465792068,978
166,-555.9176220716681,884
167,-412.4857212294478,1062
168,84.05759815788474,1706
169,-40.3169744253164,1323
170,-263.9265295853761,1308
171,-480.9722203641245,976
172,-527.6195833211787,779
173,-1054.3946737318781,766
174,-320.4615882101318,882
175,-517.3155623007303,744
176,-320.7198892800459,1556
177,-260.1937789666133,742
178,-39.23624963115776,1434
179,-589.1989637720169,1223
180,-214.6833464348308,1109
181,-972.3139663674744,533
182,-775.1079600939977,1031
183,-513.7842635403429,1209
184,-618.1807076535129,938
185,-259.12410143886154,1108
186,-209.64029518231524,276
187,-713.4858951660619,690
188,-96.30320341441029,1048
189,-404.2259093582253,572
190,-336.6856807543836,617
191,-392.98444984335174,896
192,-386.6512357788604,990
193,-177.521361744704,684
194,-676.5201144771631,440
195,-23.666945795362608,310
196,-286.896164585125,1517
197,-296.0853210121636,1202
198,490.7075401069885,1496
199,-387.2397517349109,588
200,-224.74062842571243,1523
201,-327.3307889665539,1013
202,-571.8236513552126,584
203,-868.3978904037901,580
204,-252.46810860170672,866
205,-656.1706706594418,1070
206,-512.6201808694004,805
207,-707.4090941375837,654
208,-498.819853218155,995
209,-590.0751794964833,1336
210,-580.0320441189692,544
211,-243.51290212172808,784
212,-14.729659020810118,176
213,-267.66557823273115,1075
214,-688.3423156826861,964
215,-480.81412063510174,823
216,-524.6211373375625,686
217,-127.60656245699249,135
218,-625.1956885581003,798
219,-424.77539163277174,1036
220,-577.8339128308035,789
221,164.596370459457,184
222,-542.2777656716569,867
223,-457.3200362420271,857
224,-252.8729276269239,1282
225,-468.0139444328506,1306
226,-404.5267235740473,657
227,-633.1437066271824,903
228,266.46173780195204,909
