Plate,MAPE original route,RMSE original route
110JG,1.7692393823482513,21515.419623303533
111IZ,2.454713816157885,11845.359283372956
125KK,2.5615328496074654,21726.07483666903
171LF,4.1896066127986895,20792.462721915716
278JI,2.207667806675422,11095.630368774471
417IZ,1.5269035432167672,27715.60194036145
440HY,3.8849568350576,25727.726848435763
445LI,1.6265151868232441,16856.04027948985
471IH,2.450173428434639,15294.880313402431
580IZ,1.3706689644260042,25582.83269089326
624KK,1.2936608889755505,8208.758018678134
724HU,1.6224603703374125,14282.201906851016
761GV,1.1586435945483025,4688.256222932073
796ES,3.255135107048254,12033.475459332527
853KK,1.3193229499587895,20585.286849086722
