,Time Error [s]
0,-1676.9694498256813
1,-652.0285897846666
2,-1468.5936186504673
3,-1806.7742993675602
4,-1616.5214600945937
5,-1175.0734960178406
6,-1803.0132047603875
7,-1425.2798577180633
8,-1161.7202176789222
9,-1317.439111950846
10,
11,-1026.7899340439003
12,-2053.448888222021
13,-3004.9014517538553
14,-1210.3843544412916
15,-2044.6611347312669
16,-1378.8366855650866
17,-1211.4477063300533
18,-1425.1694195750933
19,-2354.0534467897223
20,
21,
22,-1858.2930026740714
23,-1714.936413092622
24,-1022.8920573576627
25,
26,-726.457332993896
27,-1875.4897479557558
28,-1662.4744276021156
29,-1035.0029080328272
30,-1262.8956115676724
31,-1718.840175996385
32,-1556.5003932636541
33,-1456.1832089669738
34,-1788.029522056769
35,-1535.5890737955087
36,-2570.172565371888
37,-1117.6710198386102
38,-1096.884217040812
39,-2893.357365884302
40,
41,-1378.7965295988824
42,-1971.106893296349
43,-1318.884357484807
44,-1160.6813412499564
45,-1910.710145257448
46,
47,-1460.055759681677
48,-913.2580150286503
49,-2592.7666999652397
50,-1170.3641155690336
51,
52,-364.56304554013605
53,-2159.4095070091657
54,
55,-1214.4477063300533
56,-1116.0911935933423
57,
58,-1412.5545427079433
59,-1039.9537057560588
60,
61,-975.2768907011953
62,-833.3489074108211
63,-1585.8264934375334
64,-2315.57436664932
65,-2050.159921592332
66,-1053.8363223812685
67,-1438.7676699081212
68,-1367.290976688064
69,-1629.8925624806484
70,-1604.172379199625
71,-1428.3263803236812
72,-1283.717798206606
73,-1132.3241579500755
74,-1101.891738669002
75,-923.1642680181485
76,-1673.7388689607528
77,-638.5155031987986
78,-1416.1194989547116
79,-1020.5197546994505
80,
81,-1386.015334782604
82,-852.0149515008479
83,
84,-1069.5869815689562
85,-1401.8844018059185
86,
87,-878.7669665315411
88,-2583.1014517538556
89,-1523.3846074077787
90,-1473.9452927626269
91,-939.1361656213776
92,-1647.2336439810078
93,-1393.0618126406216
94,-697.5710479984589
95,-921.8860170254272
96,-1002.420159142705
97,-1348.692199154823
98,-1266.986763805658
99,-1632.2317983667922
100,
101,-1629.6037708592098
102,-1091.8286614852564
103,-1594.8869289295194
104,-1488.0246103623454
105,-1702.647775884067
106,-1215.3487417825054
107,-1997.3684250237202
108,-1430.860437375201
109,
110,-1649.4284941587493
111,-2535.2766413284753
112,-1556.3849039319289
113,-929.4226341826807
114,-1121.3482760223014
115,-1181.2253586181005
116,-1937.7588869951787
117,
118,-924.4825014752432
119,
120,-1015.3125161660025
121,-1729.029522056769
122,-1148.7985143537958
123,
124,
125,-1386.9675802323436
126,-990.0343365747881
127,-1616.5152248962931
128,-1006.4602463132442
129,-1524.3700188984194
130,-2615.883730403783
131,-1341.0614870932243
132,-1828.6950835982548
133,-1441.752372745615
134,
135,-1387.1018814453241
136,-987.4243265986308
137,-864.7825269757589
138,-1304.3541941966346
