Plate,MAPE original route,RMSE original route
110JG,4.50430537666404,22224.5474701572
111IZ,4.0521025219915074,16707.117694738565
125KK,3.2979168142798243,25799.72490638259
171LF,4.114196129176626,27477.884947858754
278JI,5.85690380101203,22380.102262660854
417IZ,1.6151797126067733,26938.94781286876
440HY,4.729545018972599,34901.68409725108
445LI,2.624402799388843,18843.61306333845
471IH,3.9895936759511814,29040.04696661452
580IZ,2.4472216402555733,25259.752071763414
624KK,1.6656110126811194,7545.974667739367
724HU,1.662154395614737,12983.352328954617
761GV,2.1013884175914535,3642.1394928119576
796ES,3.640031104327178,16573.536617059086
853KK,2.1414403959821326,23054.171867633173
