,Time Error [s]
0,
1,
2,-2740.465949377378
3,
4,-2004.6011382733282
5,-1258.881685773878
6,
7,-1670.2813103800004
8,
9,-1331.329370866254
10,
11,-1224.2937125257454
12,-2109.7698722300297
13,-3495.4523571336
14,-1309.8969477538762
15,
16,
17,
18,
19,-1946.2710450252157
20,-1660.2027675521836
21,
22,
23,-1626.56916033911
24,
25,-1155.149321905297
26,-3913.4625674046883
27,-2244.518340008812
28,
29,
30,-1200.571609374388
31,-1952.7660369196378
32,-1609.6664321666517
33,-1000.7874130496286
34,-1406.138734720335
35,-2126.714300784947
36,-1186.6284357064953
37,-2274.3198516387265
38,-1560.4505066619727
39,-1109.1198111607998
40,
41,-3217.8854389771504
42,
43,-1567.6095177233979
44,
45,
46,-961.7762688333769
47,
48,-780.6782257325224
49,-2702.208630898718
50,
51,
52,-326.0625990249771
53,-1733.3485188842415
54,-1590.5283407857019
55,
56,-2624.040780354406
57,
58,-4247.782889304274
59,-1648.3770524955717
60,-1497.4226867395569
61,-1072.6958266869988
62,-2357.8583215220365
63,
64,-2104.4117487154635
65,-1512.1069275529862
66,-735.1076497835558
67,
68,-2375.6525979350276
69,-1671.6250748529337
70,-2071.4931088590733
71,
72,-1326.6083213443417
73,
74,
75,-302.6112270967763
76,-1424.991762495968
77,
78,-2084.2814788826363
79,
80,
81,-2188.950297341619
82,-1996.6848416836647
83,
84,-2119.7183548206535
85,
86,-2138.675879039049
87,
88,
89,-1214.9101935321264
90,
91,-2394.734338734518
92,
93,-1086.9968877965143
94,-1958.973448580577
95,
96,-1358.6690391934003
97,-1572.6099974802255
98,-1890.816510620226
99,
100,-2811.5025606715235
101,
102,-1354.8146782151284
103,-2036.0707604161803
104,-1337.7612438188632
105,-2320.494590805147
106,-2565.447118607146
107,-1583.84724775064
108,
109,-4520.6910305095535
110,-1636.8567325023805
111,
112,-3098.866157858306
113,-3485.8404557130675
114,
115,-3579.6622556688008
116,
117,-1584.1276362610474
118,
119,-1426.2984316063694
120,-1299.1331758828765
121,-1789.756990727633
122,-730.6268834985007
123,
124,-1228.520515139157
125,-1672.3168449281006
126,-1603.9954436209132
127,-953.961805736986
128,-1258.558100011389
129,-1481.9026504452365
130,-1711.7069278529643
131,-810.0732227401877
132,
133,-1131.9282887995005
134,-589.6873344419463
135,-746.0137930149488
136,
137,-2143.49987857973
138,-1143.2408953317429
139,
140,
141,-1475.577348811891
142,-1313.3161532568224
143,-2267.1299210388825
144,-2682.1011370000438
145,-1064.994971955503
146,-2040.0412236643228
147,
148,
149,
150,-2873.834387488764
151,
152,-2832.687867051483
153,-1823.1777764995668
154,
155,-1734.145238845882
156,-2678.4811212772565
157,-1035.9293005538711
158,-1064.8176474110935
159,-3390.2018773205373
160,
161,-3404.6319201875503
162,
163,-1360.026712573618
164,-2365.969427910873
165,
166,-1983.3439389125497
