,Time Error [s]
0,-929.6642952556883
1,
2,-1254.2436704252978
3,-630.4346386733621
4,-785.4855010312901
5,
6,-1726.2289299935555
7,-1153.7883007284076
8,-1386.092855865219
9,-695.9136068228852
10,
11,-3555.2249257390795
12,-807.7136022088082
13,-1857.1488635034443
14,-674.2506054510345
15,-900.0483408179875
16,-542.855303042503
17,-1108.501581981174
18,
19,-964.5094445106974
20,
21,-3133.3463775974665
22,-943.231244700406
23,-782.5998309497622
24,-2238.918974882553
25,
26,
27,-1292.9821298489526
28,-2445.2498739902685
29,
30,-670.6324725700892
31,-1310.2041789893412
32,-636.2667509190087
33,-901.5826241349464
34,-475.43639021726153
35,-544.4042338521112
36,-1258.3523384772482
37,
38,-218.63708147224327
39,-720.8874375597513
40,-1405.5003846409486
41,-645.7899638563297
42,-768.0816324307407
43,
44,
45,-611.1549476548719
46,-1033.4813655492283
47,
48,
49,-692.9626404638432
50,-1164.01557573298
51,-866.1679293144587
52,-1119.599638333678
53,-928.5894098341862
54,-1264.9636003549463
55,-787.5798979117071
56,
57,
58,
59,-1929.5484345469517
60,-1145.8697644378278
61,
62,-2340.3884108350617
63,-2490.178142304978
64,-1564.2579496508874
65,
66,-162.4490759346113
67,-733.5829951511384
68,-891.7180641504799
69,-1273.9345055102651
70,-797.2356340467722
71,-435.0301372998979
72,-1639.957938304945
73,-632.1141843419382
74,
75,
76,-887.2930839027349
77,-1273.711192428626
78,-1097.4130657221199
79,-1194.5385490044223
80,-2178.4119516170226
81,-826.6562198020713
82,-823.5325409906461
83,
84,-3082.8393061165834
85,-499.61779235009726
86,-791.097655481831
87,
88,-272.0433564677843
89,-158.96270396270396
90,-1216.2911132230754
91,-940.5060968739983
92,-832.216254527591
93,-760.4614455101537
94,
95,
96,-447.4378873724497
97,-80.80734069347454
98,
99,-1474.1864522967767
100,-954.884167544061
101,-781.6205049743266
102,-1478.8201405721961
103,39.715763439235616
104,-1224.4127389788966
105,
106,-636.4581265642466
107,-794.0714632783947
108,-592.3514452905855
109,-889.5588994725658
110,
111,-1611.10395929673
112,-476.06227673860826
113,-357.6909515095649
114,-139.41710595450127
115,-473.8967610866946
116,
117,
118,
119,-2372.0449840915785
120,-663.6802928638708
121,-195.654105383804
122,-1740.9244217512774
123,
124,
125,-498.65648564283754
126,-207.0715575515428
127,
128,-1020.0128290114051
129,-1296.814571101465
130,-1990.6614016002263
131,
132,-1289.6720153096035
133,
134,-2326.4349279165895
135,
136,-833.6424182315889
137,-3031.2319729514675
138,
139,-102.02173153455766
140,-227.66278626286277
141,-2197.50351438037
142,-2033.6849010589026
143,-751.3565736185262
