,Time Error [s]
0,298.59495441276704
1,-833.1255995606803
2,-1245.1954132038918
3,-418.1802037815405
4,-677.1705746566727
5,-556.6534591767279
6,-511.6631377780884
7,-43.98932343241279
8,-306.37085005970584
9,-246.82113411110072
10,-796.0847886261467
11,-586.3210345404318
12,-322.67169097754174
13,-41.75076487994954
14,-464.9656831887553
15,-700.8667930940067
16,-393.9460902190924
17,-274.3912409840942
18,-462.66398992191466
19,-588.2541582427027
20,-201.18165983532253
21,-560.3922669698334
22,-346.19274888012706
23,-387.71958765406794
24,-1588.6756480980862
25,-171.06819760045653
26,-185.43664269042665
27,-484.6361849789005
28,-696.370553442569
29,-340.6965437699953
30,-404.6900214396858
31,-196.5510111203846
32,242.82535420991894
33,-489.21335196007203
34,-31.92499604864912
35,-1617.8117123329507
36,-644.8581315374145
37,-585.8936390107838
38,-412.5611665876115
39,-588.8272046507118
40,-349.3676859863226
41,-735.6375599321875
42,-639.0762708478724
43,-1523.737129988208
44,-772.4156643450708
45,-214.2271042588319
46,-502.5344605138646
47,-201.76428057415774
48,-948.644081516223
49,-390.8701439578756
50,1039.8380771211434
51,-524.4714610207816
52,-140.0509280426229
53,-491.76877057747834
54,-206.73390704321037
55,-834.9315535639632
56,-40.22337799125398
57,-328.0102245609735
58,-471.4847998905477
59,-473.9880144766928
60,-440.8091281241336
61,-579.6516531650493
62,-699.4887627144356
63,-401.57725021102783
64,-390.6165661170876
65,-412.8448998478011
66,-428.4191381670262
67,-663.3911822647792
68,-503.0794832230565
69,-503.5585031602923
70,-89.55786287385763
71,-352.98096515271686
72,-515.4831898375014
73,-681.0409320081383
74,-719.3148943550577
75,-790.5932533712785
76,-560.662355224767
77,-491.2220515940478
78,-294.8594386218151
79,-620.3915719927693
80,-642.1548272022494
81,98.68366491986217
82,-782.4924369668977
83,-355.53028240936214
84,-473.539359205688
85,-33.19805879094284
86,-322.9069818755752
87,72.35823716557138
88,-414.4878746495456
89,-687.3583071828455
90,-27.838695762608538
91,-911.1514683428925
92,-187.0497655602362
93,-261.14271451780564
94,-686.2202537566598
95,-138.59063459982804
96,-530.4496418194478
97,-661.7450749408308
98,-759.5121791788256
99,-443.4262131246253
100,-638.5902408485422
101,-684.8964489803518
102,-107.97427345465178
103,-406.49459402055743
104,-700.776497508981
105,-281.7304804694777
106,108.58276330527377
107,-578.6030841674151
