,Time Error [s]
0,-1307.927828269037
1,
2,-1404.995861095722
3,-945.5192812534101
4,-969.2551857933581
5,
6,
7,-254.79682320735003
8,
9,
10,
11,
12,-581.6103075954943
13,
14,-594.4928593646075
15,-1089.9558489159615
16,
17,-308.9266281673339
18,
19,-637.5901601363355
20,
21,
22,-468.2327921574922
23,-694.0702480936245
24,
25,-446.6074733640578
26,-318.35556466085427
27,-929.1999818425065
28,-1173.4852095404196
29,
30,-795.649011349105
31,
32,
33,-546.8663314233836
34,-182.7218192559991
35,-2264.8603821514967
36,-1537.7306868451783
37,-957.4938560327482
38,-740.935906713748
39,
40,
41,
42,-1408.0535281212337
43,-1993.8963052893018
44,-1297.7510716322736
45,-464.10927558702133
46,-842.9608987618294
47,
48,
49,
50,
51,
52,
53,-662.6071615453702
54,
55,-1112.7128474331485
56,-1089.2527775888893
57,-700.0511778886262
58,
59,-758.9803757383095
60,-942.1137832526001
61,-644.3772631871859
62,-1347.4122199418812
63,-602.4271805745655
64,-1004.5853416306825
65,-549.862404606208
66,-1051.851824464281
67,-902.1628664491229
68,
69,-675.3934128264109
70,-1938.3261469941717
71,-1035.1854330032927
72,
73,-860.0439829385352
74,-913.2073909374521
75,-1302.4788113948787
76,-1515.6054785679312
77,-795.2062415840951
78,
79,-1109.459826529817
80,-790.1250965752145
81,
82,-1309.2188593724186
83,-588.7581824088268
84,
85,
86,
87,
88,-796.689959470237
89,-946.4330905138008
90,-86.8919670768799
91,-1314.199440509993
92,-1272.2101660482913
93,
94,-843.7330021088728
95,
96,-939.5572005481181
97,
98,-1074.2790968267068
99,-885.8193482433478
100,-1028.2177925060175
101,-1027.3848875076415
102,-392.89353417940697
103,-550.0327680505517
104,-1086.9777703018945
105,-595.5481814381735
106,
107,-1158.5155218987663
108,
109,-925.9882856431868
110,-1494.1677545998723
111,-522.9002399789645
112,-1202.5127455731867
113,-866.5086662216979
114,
115,
116,-923.4414049850477
117,
118,
119,-1803.4823510345082
120,-460.550955089285
121,
122,
123,
124,-950.7433425159636
125,
126,-785.3187911104519
127,-1155.7769256568777
128,-637.0352087934161
129,-1247.260911956118
130,-3184.549321737382
131,-479.774454986225
132,-928.947985915494
133,-1216.1999290628646
134,
135,-716.4435624001164
136,-2126.254403555212
137,
138,
139,-1127.023682728768
140,
141,
142,-871.2607226336481
143,-1284.2104818588382
144,-98.38973429248574
145,-1428.5853956023038
146,-332.4205439398555
147,-1196.4486542172294
148,
149,-1819.6846081227118
150,-892.3033648379067
151,-792.5544123513089
152,-1463.9350805051267
153,
154,-358.56757020738326
155,-1153.980462477176
156,-126.79628033385944
157,
158,-1127.0879775823635
159,
160,-2757.4723112009465
161,-1633.310636971894
162,
163,-939.6276215875973
164,-866.5281979050949
165,-1472.5683393236732
166,-1043.5874167731426
167,
168,
169,-836.870894569777
170,
171,
172,-1369.2391374435683
173,-1632.6465509587792
174,-1087.7850854958483
175,-1197.757099523765
176,-1942.9215755107916
177,-772.5921232483638
178,
179,-821.2171910660627
180,-695.2360705729336
181,-1139.3955849935803
182,
183,
184,-1822.1086117018817
185,
186,-487.45461764990534
187,-1167.2026956663908
188,-434.6989527697972
189,-658.1759163210268
190,-480.66973439830986
191,-847.9802110811611
192,-506.3181925313165
193,-1061.1804486776516
194,-1448.798348275921
195,-147.4586124620293
196,
197,
198,-3100.100790961589
199,-824.9992327771565
200,-758.8861024666335
201,-994.9650755113894
202,-829.6118499665388
203,-1132.1866864140206
204,-1334.2436262797005
205,
206,-659.9306495990104
207,-1126.9655918136793
208,
209,-1516.7269638312837
210,-1142.273449892611
211,
212,-101.29445606073355
213,
214,
215,-982.7117848578739
216,-848.5529876688377
217,-308.7973856497611
218,-1277.9221452345978
219,
220,-885.3586373928827
221,104.67329353638007
222,-1300.5497736830257
223,-570.6305457512124
224,
225,
226,-948.0988145259985
227,-1297.7059207130842
228,78.41767094725253
229,-708.5136300146848
230,-278.52633055832484
231,-91.53916958694134
232,-1027.5258222056816
233,
234,-1197.7966554221368
235,-1051.9311540206322
236,-1162.7417284186947
237,
238,
239,
240,-2894.2182738341335
241,
242,-396.7734091740208
243,-635.9306495990104
244,
245,
246,
247,-838.5545075395055
248,-621.5167250832685
249,
250,-591.5637871322115
251,
252,-1101.430814328619
253,
