,Time Error [s]
0,-1040.3720377798581
1,-1309.7771185297515
2,
3,
4,-949.6729369836748
5,-1169.50447604184
6,
7,-899.6902960933212
8,
9,-698.6526595756761
10,-1100.1406121638752
11,-1163.4532326747692
12,-376.1408825253342
13,-894.4847776330364
14,
15,-2029.5423224503925
16,
17,
18,
19,
20,-511.69460718722667
21,-1039.0637181995858
22,-367.2754634617269
23,-825.9308729161753
24,
25,-1051.593732635566
26,
27,-1641.168736107984
28,
29,-1721.154786402858
30,
31,-1457.9406391062357
32,-765.7971670421668
33,-1272.7870883084906
34,
35,-740.919129271156
36,-1625.6147212389988
37,
38,
39,-1472.0069401393957
40,-417.8725273342395
41,-802.9052449314102
42,
43,
44,-810.3439485114507
45,-1063.2870516648507
46,-345.8220415813987
47,-1344.2159385789396
48,-385.3221514131692
49,-531.2714300454431
50,
51,
52,-729.8013235821832
53,
54,
55,
56,-587.5087298475289
57,-573.6413513567329
58,-662.2653830343386
59,
60,
61,
62,-540.6273636939698
63,-1296.2367304595778
64,
65,-282.85692754128377
66,
67,-825.9002285697297
68,
69,
70,
71,-769.7404541733592
72,-1351.15340963166
73,-169.8529657375534
74,-1010.1763041676409
75,-299.77416925863713
76,-1400.1598666802172
77,-651.8715456451694
78,-981.2441639034066
79,-946.4065028513783
80,
81,-1520.8635321692932
82,-683.1998460687187
83,-583.2285419308337
84,-807.3937575699902
85,
86,-1206.0521262235388
87,-1188.2194412520184
88,
89,-1790.9988623535755
90,-708.0475151808757
91,
92,-966.4730754321367
93,-1524.0838593576873
94,-684.1257686985132
95,-1529.2087174369462
96,-623.6076179703537
97,
98,-785.988253513769
99,
100,
101,-737.4392230073418
102,
103,-763.8614595136069
104,
105,-1089.7157740813118
106,
107,-950.0895077485043
108,-1764.162972706456
109,-1083.0859424211542
110,-680.9407200259607
111,
112,
113,-1162.0128375789461
114,
115,
116,-324.2773196243421
117,-620.1391481397084
118,
119,-1114.7469077798207
120,-635.029913433214
121,
122,
123,-1427.6895132636218
124,-494.67948542268846
125,-899.9050807849212
126,-529.3310147375184
127,
128,-92.41771561771543
129,-571.0785694196563
130,
131,-679.5826763261357
132,
133,
134,
135,
136,-1797.956890408726
137,-104.28807190055409
138,-643.6496363749507
139,
140,-725.0486589302272
141,-923.5329615167971
142,-820.4117848248761
143,-924.8233316288699
144,-156.05990504096656
145,
146,-1002.9830285597363
147,
148,-638.7012338093612
149,-445.1397449028227
150,-604.5893814305996
151,-425.2007174094657
152,-643.2831367937715
153,-441.9488605187912
154,-1547.8783793642106
155,-182.27635694818628
156,-920.1890054317748
157,
158,-1372.538682099958
159,-836.6079818107387
160,-531.09485057187
161,
162,
163,
164,
165,-1782.1421282384476
166,-522.5990184161158
167,-1010.679065906826
168,
169,-1969.05700360732
170,
171,
172,-361.65952148358076
173,
174,-562.2324708845078
175,-921.3888635585151
176,-797.1847412980569
177,-2174.729385099955
178,-959.8845206316305
179,
180,-1002.5518550350796
181,
182,
183,-559.3688429826234
184,-1075.4113826016792
185,-284.75473804368596
186,-60.92291357685343
187,
188,-1305.0628102715
189,
190,-1870.4993402939908
191,-694.8292691603767
192,
193,-1066.2187816765052
194,
195,-1772.0469331476866
196,-550.1325872094826
197,-910.6601910243239
198,-1038.9669590127442
199,-1165.51112779603
200,-1039.7353367015658
201,
202,
203,
204,-1162.8727871171243
205,-1270.6999924088182
206,-1102.1359935382998
207,-153.59152222852492
208,-2404.7877778917527
209,-1384.8678981136254
210,-1051.9336095059616
211,-652.5093220625263
212,-1078.859163978405
213,-666.3518217749906
214,-960.3262677489513
215,
216,-336.1618124932703
217,-190.29530287470777
218,-1121.1507285854627
219,
220,-1296.586510950779
221,-1685.7055145734207
222,-474.6683303976481
223,-292.22384913965567
224,-974.7299814294888
225,-1323.4998958151514
226,-405.33969463348205
227,-1039.7776894281606
228,-1905.4345677306828
229,-644.5302150675977
230,-1451.757733892639
231,-334.1105026618959
232,
233,-772.1936661918071
234,
235,-1877.9941441195747
236,-132.46079034961707
237,-1627.9177841713185
238,
239,-397.22472392582085
240,
241,
242,
243,-2327.3634696920208
244,-132.86950240409482
245,-1971.8428310823592
246,-502.9286232238013
247,-436.6757304500395
248,-1031.6511704221416
249,
250,-75.10471874016639
251,-1272.7495033019213
252,-2368.5610301431443
253,-2682.071894251295
254,-231.79909317802674
255,
256,-278.1168436325925
257,-492.4996764738826
258,-556.3117428113866
259,-1405.0461382902263
260,-2015.3178806301603
261,
262,-2704.849729519116
263,-2667.86620626858
264,-2419.2380338277508
265,-2310.080068504908
266,-1911.198946131839
267,-145.73869809282712
268,
269,
270,-520.25
271,
272,-316.0673992057183
273,
274,-1450.698650585935
275,-499.230874515217
276,-507.4642452913341
277,-369.7663670567381
278,
279,
280,-367.34477362208156
281,
282,-2253.9459809840682
283,-1269.5591575791436
284,-1576.2470167172569
285,-2687.8003953783955
286,-2329.431583656422
287,
288,-2457.128690265151
289,
290,
291,-434.1627742286952
292,-484.3117428113866
293,-149.33176363340056
294,
295,-1394.9470162516282
296,
297,-2140.6964688542103
298,
299,-445.005743963471
300,-602.0686348463878
301,-1109.0080116796644
302,-546.6616251944092
303,-48.04242977717976
304,-568.5669613311206
305,
306,-1184.853911861376
307,-165.50763507898534
308,-2244.122716645835
309,-236.9747581301233
310,-105.48095467087478
311,
312,-2597.3671027923037
313,
314,-2592.709477427818
315,-166.19503483865628
316,-1189.2963371164492
317,-1644.0419412508695
318,-1534.1858516057218
319,
320,-690.0570581187887
321,-498.6140351110114
322,303.24327110387117
323,-1584.8347522064435
324,-295.6965343590084
325,-1416.224691244671
326,-1898.3306064393341
327,-557.2305668931062
328,-36.19418679214937
329,-1345.3781047267667
330,-739.7201193817866
331,
332,-961.8626348034145
333,-2096.258816446891
334,-1432.506505202463
335,
336,-1513.0932369677153
337,
338,
339,-2154.3379223508246
340,-562.5422478642975
341,-928.5697679390103
342,-1076.0102397961214
343,-1715.9872199797587
344,-1148.2711318482684
345,-547.9895956294642
346,
347,
348,-561.7084375566243
349,-1313.2832713983455
350,-1122.2144171055888
351,-1398.1660838276034
352,-1222.2668402723991
353,-3806.420942914893
354,-809.679515354308
355,-770.0887343171229
356,-840.7462554617349
357,-1244.3519023895628
358,
359,-1069.765812497748
360,-411.63386620524307
361,-738.2018031492958
362,
363,-765.4804086324821
364,-1330.2946028601636
365,-1227.2253465984854
366,
367,
368,-1233.728614732106
369,
370,-982.9996895555139
371,-413.82281059443994
372,-69.22605905557907
373,-921.0943670445643
374,
375,-984.9577998365464
376,-1885.8885693786256
377,-1025.191023528409
378,
379,
380,-1187.925645082732
381,-2061.4776841750113
382,-1540.078731998858
383,
384,-1500.2617545764713
385,-912.4303059733486
386,
387,
388,-967.739810412294
389,-187.7588155258021
390,
391,
392,-1721.734950650302
393,-828.6244563706116
394,-1501.4899927750325
395,
396,-387.7852364046893
397,
398,-1703.2948199472849
399,-389.1875237947261
400,-642.6593997242569
401,-783.3619384017002
402,-886.8372401928477
403,
404,-139.71519581851845
405,-637.2235179038755
406,
407,-788.6982958440301
408,
409,-441.09753997949736
410,-790.5151335519386
411,-2580.1472945803052
412,-787.3752276938885
413,-567.2819860160118
414,-344.4000441700124
415,-964.9033305277048
416,-1196.6237647040837
417,
418,
419,-538.2048781476379
420,-2333.7000361502687
421,
422,
423,-342.0421081584474
424,-1596.9963052660567
425,-1725.4974434756214
426,-373.74953846490644
427,-1100.0027780100318
428,
429,-1211.4273176720108
430,-451.3445816839694
431,-1256.9462196186787
432,
433,-258.370599467435
434,-691.2798473473151
435,-1225.9191952511203
436,-1423.4518356943224
437,417.48567266954683
438,
439,-534.1509895916993
440,
441,-902.3963686305121
442,-966.8624336172027
443,-2147.9088536596614
444,-695.4994464815063
445,
446,-543.2866869494464
447,-898.7680979748704
448,-1265.8939162464917
449,-610.9895633647203
450,-1058.4693903767086
451,-939.5915910312503
452,-927.9619128606757
453,-456.5114787140393
454,-624.254546314653
455,
456,-889.2841346529392
457,
458,-892.5016515458769
459,-1370.8902741209727
460,-1187.6763361217209
461,-1276.6607066464398
462,-981.7246183624591
463,-1062.215461684676
464,-795.4118836179221
465,-930.6802473205939
466,-730.2232110705577
467,-893.2420378914942
468,
469,-987.153551550002
470,-825.986768797221
471,-110.35591664493074
472,-1850.8363435849642
473,
474,-505.24182235316675
475,-1232.6018497923328
476,-676.2856266471802
477,-1364.6020657853878
478,-882.5670856821557
479,-1000.2130857982775
480,-557.1295614048291
481,-920.9111174267539
482,-2252.5722214947377
483,-969.6129526350312
484,-812.1647691786434
485,-877.5982182131347
486,
487,-1000.2762315542645
488,-1264.6531634409507
489,-886.4828737087867
490,
491,-1278.1729292708324
492,-1673.1050840704888
493,-1673.2194408458345
494,-867.419602808051
495,
496,-1116.8806711540055
497,
498,
499,
500,-609.6393571143807
501,
502,-1033.2329890870708
503,-972.692996337569
504,-341.3871551053012
505,-839.7516401209236
506,-1517.8802005356883
507,-286.82248534272867
508,-750.2065333794495
509,-1120.6778928138715
510,-842.7491933470012
511,
512,-235.83082391004854
513,-928.6573324917326
514,-1209.3646405409672
515,-532.8558856620705
516,
517,
518,-266.3292126569505
519,-1412.9891646704639
520,
521,-257.9993284538781
522,-164.55963017721035
523,-161.1098010574607
524,-284.75524862457314
525,
526,-998.843870694654
527,-98.1823904803623
528,
529,-953.9753804065156
530,-862.9354472902569
531,-587.1577679135619
532,
533,-369.42501188073334
534,
535,
536,
537,-410.40657662736476
538,-269.07350914395136
539,-259.35797028622596
540,
541,
542,-461.36673688176336
543,-485.0318173689118
544,8.729273757430178
545,
546,
547,
548,-184.6513454486289
549,
550,
551,
552,
553,-284.236127379206
554,-361.4042774676316
555,-295.89545857118424
556,-280.11406971818803
557,-321.2090447510651
558,-594.5374762569058
559,-435.6567986709932
560,
561,-434.30096425157103
562,
563,-190.43398850593434
564,
565,-358.4237884062536
566,-116.30840317823396
567,
568,
569,
570,-121.16362585207116
571,-530.4613526740504
572,
573,-498.35585130194954
574,-615.4901848443837
575,-325.06000532407006
576,-1692.3048855475859
577,
578,-597.961086494184
579,
580,
581,
582,
583,-463.9381409082623
584,
585,-140.23699918992088
586,-147.55891864372825
587,-178.9895003138405
588,-554.6328865510429
589,-554.4224482605291
590,-358.75267041536335
591,
592,
593,
594,-430.9513999287607
595,-154.5001533338144
596,-629.1426985203016
597,
598,-1032.968783957489
599,-156.81365104015708
600,-446.7405581895407
601,
602,-1343.6090081505563
603,-1973.2668660417035
604,-183.27006425570414
605,-547.6265531653992
606,-429.422111960018
607,-220.99432738812231
608,-681.454649240879
609,
610,-510.3642800187249
611,-436.44359601252086
612,-351.0839742415958
613,-594.3745468510901
614,
615,
616,-516.2139784925689
617,-288.43737225847804
618,-213.34481369941273
619,
620,-872.191111300958
621,-482.8816969582849
622,-613.9435960125209
623,-2290.0735200459226
624,-445.00064365508854
625,-348.17378214195446
626,-149.9220695766371
627,
628,-22.512225413166902
629,-77.27687337406607
630,-41.71145103322749
631,-136.00350655492014
632,-1940.9113534027165
633,-2350.3265280498536
634,-338.7312499213947
635,
636,-1512.05689502396
637,-288.2943324838817
638,-325.6309980511196
639,
640,
641,-1916.3550120362015
642,-739.1564760170609
643,
644,
645,-338.0150842423277
646,-254.86576105531026
647,-185.20502126151746
648,
649,
650,
651,-257.658695887161
652,-27.76932622099787
653,
654,-220.46018826349098
655,-242.93836291464822
656,-458.77120727077624
657,
658,-108.236543238997
659,-302.82263044123795
660,51.806214383803194
661,-2465.5451997504897
662,
663,-820.921828425332
664,-381.73794959954125
665,
666,
667,
668,
669,19.85775812802956
670,
671,
672,-310.31368165018637
673,-356.40438346897747
674,-350.1225336353606
675,
676,-560.5071346939167
677,-1881.0586908907594
678,-275.9071915654329
679,-225.968133161859
680,
681,
682,-465.787387041446
683,-552.844052218142
684,-329.1321357154379
685,-18.15175698207281
686,
687,
688,-812.1237543540394
689,-837.6627114540922
690,-1091.94166079988
691,-1377.2127203124983
692,
693,-942.3900049263636
694,-1208.3106072996584
695,-1125.7205382660106
696,-1958.4781946298572
697,
698,-1421.1568554664336
699,-236.13832190304265
700,
701,-2220.7442598466073
702,-961.0216585944979
703,-1185.8036852177443
704,-982.5989718523206
705,-488.22537083872544
706,-1227.5185111134713
707,
708,-1422.656876390781
709,
710,-927.1482114835114
711,-931.1941066194047
712,-959.8109745277541
713,
714,-996.397495861162
715,-1970.8029214520134
716,
717,-1155.4175266839752
718,-1356.2226522483465
719,-1258.5036686971698
720,-1369.4053758661753
721,-1382.905758850795
722,-779.3773160618853
723,-950.6427217676685
724,-617.4444849775141
725,-1151.2105510399483
726,-366.8711552423854
727,
728,-1196.8786168860265
729,
730,-1083.1817037475405
731,-1054.5974683534562
732,
733,-568.8657105729047
734,-359.58146782847416
735,-1133.813085482741
736,
737,-330.90099811883465
738,-1910.9165728642138
739,
740,-443.40400571488817
741,-1152.5272533886857
742,-1253.0437601382082
743,-815.5870154173388
744,-1228.9758647771773
745,-1181.183346656131
746,-1299.590597414194
747,-718.2079704163466
748,-1564.9191334348998
749,-1076.868293321926
750,-682.3366764288512
751,-480.9083248773518
752,-2941.3191351169435
753,-1078.1887298378683
754,-1187.8223768409277
755,-1526.16685587163
756,-1010.0956942573541
757,-905.9682084771096
758,-573.6341942014227
759,-1174.2380858343922
760,-1252.8733680164337
761,
762,
763,
764,
765,-913.1919340084471
766,-496.54642835101174
767,-1377.5467771297933
768,-1332.7559962358375
769,-1917.4824699101741
770,-695.5868039612826
771,
772,
773,-737.1186416050466
774,-1337.4119132405222
775,
776,-357.15976287692763
777,-1043.0932452597033
778,
779,-1572.137642635285
780,-893.9518031492958
781,-295.0585746940143
782,-1646.8647895730892
783,-585.8663095803149
784,-1098.1019008316202
785,-2230.7145023983658
786,-1106.307159132714
787,-1161.3262889950684
788,-422.72424085024306
789,-542.7901173348027
790,-494.17919202787266
791,-1376.1413957849877
792,-1408.8223589055135
793,
794,-232.77538999374678
