,Time Error [s],Whole trip time
0,-643.4236737474148,674
1,,2225
2,-0.36068759676959417,1062
3,-394.96170600631876,638
4,-894.7238499863115,1414
5,-374.8362494359078,703
6,440.18993138546307,1586
7,-515.5800636133786,1847
8,-247.51063113037526,1862
9,-407.75689253885594,678
10,-788.9057388267679,1348
11,-838.0314970527709,1147
12,-248.3606875967696,814
13,-609.5372584847555,864
14,-1196.9312154983147,743
15,-173.86284914484827,1010
16,-1037.8299757888863,1193
17,-355.71941637135797,711
18,-678.7662988745267,1315
19,-145.5044253919857,929
20,-940.5607310296,2091
21,-793.37851613921,1171
22,-156.94327134070454,1955
23,-794.7744762683787,1586
24,-708.6418450071658,698
25,-29.56654823646909,954
26,-1189.1546171100435,1046
27,-188.57851279586998,792
28,-822.1698873108662,683
29,-870.7667050151863,1280
30,-358.02336969924,761
31,-671.8156483604143,1223
32,-737.6694367078605,818
33,-824.8936298814201,1345
34,-880.0111490034592,1189
35,-795.5370770306397,771
36,-460.3032113982006,733
37,-651.5361334372997,1003
38,-254.64438158708685,868
39,-381.1012575400291,697
40,-1120.0750018712474,766
41,-903.1740986329692,1222
42,-371.8730574052506,913
43,-534.5741584449302,778
44,692.7432920125143,1687
45,-307.7209233701237,807
46,-688.0563470470943,1050
47,-536.4690564552172,1399
48,-530.6418010825794,703
49,-136.83737607715898,1662
50,-930.4156713898769,745
51,-348.96088855741505,889
52,-685.2304037986896,1563
53,-52.80338420356827,938
54,-712.4314731038862,945
55,41.27759349433518,2098
56,-342.7662988745267,1651
57,-374.3441456932055,681
58,-372.4128947125114,1484
59,-227.0474008682811,971
60,-308.3606875967696,754
61,-692.7188138726519,1515
62,-317.8896107467697,764
63,-285.7438530135985,1613
64,-496.92489963070716,984
65,-1573.5019453427808,2091
66,-726.8723974989489,1420
67,-178.41821940225554,890
68,-225.46433312766794,1026
69,-798.7802720245081,1248
70,-582.8706718194605,832
71,-487.6890612396396,854
72,-610.6630776657619,641
73,-466.36540409671784,1305
74,-244.0985046337812,850
75,-345.31968886508116,626
76,-527.3498016809751,691
77,-867.7691990553749,1514
78,-30.475491072956856,1001
79,-516.3751165445437,1563
80,-16.310448762773945,988
81,-581.4701334782012,1442
82,-838.1740986329692,1287
83,-383.9313034968594,591
84,-804.7759875717534,1299
85,-99.62454149249038,1010
86,-771.4931267504899,1382
87,-817.1213218825148,763
88,-314.8270799015339,652
89,-616.8135949258658,1193
90,-223.25562456917646,852
91,-475.07538784054555,659
92,-312.765055191855,1878
93,,1176
94,-535.1797775166224,1641
95,-823.4349629753106,1388
96,-216.43825459136497,744
97,-542.5340758770044,619
98,-161.88301983556494,818
99,-610.5155307079688,1422
100,-480.2127759282025,748
101,-366.68078003743017,1013
102,-799.7203378761255,1084
103,480.81144716874974,1716
104,48.84606995084323,1178
105,27.323074785691006,1381
106,-293.392212720262,901
107,-497.03707776054125,789
108,-646.2148550828624,1369
109,-426.69386458816916,993
110,-553.0081751791706,670
111,-238.7876227483099,740
112,,1646
113,-411.18855283125026,824
114,-566.8135949258658,1243
115,-626.2646877639002,743
116,-461.52385232084,1393
117,-756.2153346611501,1163
118,-492.48012485197864,629
119,-693.4248212772079,573
120,-581.8988418738686,1774
121,-269.48012485197864,852
122,-304.3355986880779,736
123,-180.2567079874857,814
124,-713.5370770306397,853
125,,1436
126,-318.53243570689074,724
127,-569.0089737210592,1485
128,-895.7759875717534,1208
129,-485.26127970009634,594
130,-411.7547933422511,752
131,-886.0813810794898,1440
132,-306.8172474048773,675
133,-133.24181352328105,1080
134,-592.2938957436077,1121
135,-528.392212720262,666
136,-424.3895931603231,891
137,-782.5531340377488,1246
138,-1015.8490297650437,1232
139,-620.8988517901184,1480
140,-294.3606875967696,768
141,199.6927091795886,444
142,-405.7431718629218,818
143,-771.1658625813993,1245
144,12.958464123169506,1999
145,-854.4922529931205,869
146,-354.3424648651594,766
147,-529.4518689135671,839
148,-438.82242878790476,1999
149,-391.42575342374585,705
150,-154.57851279586998,826
151,-426.341938545037,733
152,-263.49383418656,971
153,-388.84323531205973,1440
154,-231.3521056894242,798
155,-214.80003722417655,878
156,-80.216858158386,1433
157,-676.1740986329692,1449
158,112.24555025690415,1577
159,-207.74763150706667,838
160,674.0249773916441,1747
161,-358.80177843218644,693
162,-569.3497912534215,1440
163,-376.12076692474784,799
164,-467.57415844493016,845
165,-543.8687407617172,1332
166,-669.8489794774027,1499
167,-833.0932644451186,1286
168,291.39104378583215,2162
169,-610.9970173710924,1331
170,-143.47781537150126,1778
171,-262.68078003743017,1117
172,-793.3608824764922,741
173,-292.64490850168636,745
174,-361.4228978556989,662
175,-592.8743949281693,917
176,213.83971017689328,1413
177,-609.2850630104115,1342
178,-770.6493107071019,828
179,-0.6311687241293384,1967
180,-532.6694367078605,1023
181,-321.8270799015339,645
182,-580.6691803382519,1580
183,-276.80003722417655,816
184,-257.1325921522665,725
185,-928.8936298814201,1241
186,-405.1012575400291,673
187,-560.6606038999803,1778
188,-342.31469725558577,806
189,-342.50157083364184,745
190,194.25682813707817,1418
191,-402.3424648651594,718
192,-397.1012575400291,681
193,-196.7507857577391,1200
194,-811.3580864243472,1329
195,-869.231314891829,1062
196,-737.1003853892703,609
197,-280.64699079015963,744
198,-602.7260187239503,665
199,-238.7547933422511,925
200,-651.1740986329692,1474
201,1075.4155534676681,2121
202,-230.78943222812268,887
203,663.130876069469,2125
204,1220.8341487003538,2212
205,-584.6630776657619,667
206,-367.9081588887127,671
207,-1558.8951556913462,2320
208,-233.3499730463218,1688
209,-719.3785603411884,1275
210,664.630129798268,1654
211,-772.1199531176319,782
212,-871.0126647937127,1260
213,-753.2281883047626,1201
214,-477.9153360251237,648
215,-551.974893349759,1320
216,-185.5531340377488,1843
217,-409.1711207608232,985
218,-886.145276282361,623
219,-355.30504378537535,1771
220,-603.0038691538693,1583
221,-458.8730574052506,826
222,-379.8172474048773,602
223,-470.51063113037526,1639
224,-744.3785603411884,1250
225,,1932
226,-980.0813810794898,1346
227,-687.5515478518228,806
228,-985.988685331542,1096
229,-574.4014675113947,751
230,-411.2567079874857,583
231,-67.41729335131879,948
232,-454.95306961787264,722
233,-508.2153346611501,1411
234,-457.8111512186076,1161
235,102.18956506145028,156
236,-240.8884289577743,782
237,-367.34315631328855,607
238,-393.22601324416496,1607
239,118.46909342954314,2361
240,129.10309581435172,1802
241,-971.7111195562477,967
242,-826.0853980699194,1103
243,243.24659550137972,1457
244,-852.8189713836543,1192
245,-445.4129297630079,596
246,-810.6377651197818,1302
247,-406.9779749623981,626
248,-1042.7971722667512,1073
249,-712.1630560707779,676
250,-689.8848804747292,772
251,-339.98201217269434,741
252,-469.0662719989991,707
253,-54.71521781847878,1038
254,-1018.7111195562477,920
255,-300.8172474048773,681
256,-402.75895546626157,746
257,-582.1748478070867,654
258,-460.5178948081684,1707
259,-992.3863273448324,1308
260,-983.6093372897294,602
261,-982.1109799902429,1117
262,-231.3606875967696,831
263,-297.29038751540224,823
264,-668.1109799902429,1431
265,246.6478943105758,1276
266,-868.4544617043857,1626
267,369.3893819470267,815
268,134.60265638616556,1777
269,-434.8132306223588,1179
270,-460.30778389871284,1337
271,-140.19571584813457,886
272,363.69130474930466,580
273,-96.50103540254031,380
274,-691.3455056302228,1612
275,-581.4759199512305,1636
276,-897.2558324052079,1352
277,80.05456235310396,540
278,-345.63776511978176,1767
279,-843.3759207837015,1240
280,-362.95306961787264,814
281,-216.141263756954,862
282,-406.99773286691993,632
283,-536.2975375399469,922
284,-638.5802292946742,1204
285,-366.8582846970546,1062
286,-125.07120354540825,1156
287,-343.94022907335625,1034
288,61.614723995618306,1406
289,-138.43290127590717,400
290,-287.9763904507462,561
291,262.8280714414717,546
292,-6.5938144995499215,372
293,-1082.2745569173167,1769
294,33.55625373175343,476
295,-198.70185686866773,525
296,407.33603458116994,734
297,-449.29304343159856,359
298,-158.28741415744548,562
299,219.6148769579426,490
300,-1100.793450242967,1909
301,-339.0116600598773,654
302,-317.29038751540224,803
303,,2055
304,-559.4162674236863,1650
305,354.25029483756913,821
306,-319.0776651099294,450
307,-161.46381133119803,450
308,-3.678767564282964,492
309,-305.19952238386384,662
310,-202.46640409894349,519
311,-237.3878808984756,467
312,-9.564364014744342,1132
313,-1109.482155942445,997
314,,1022
315,,1065
316,-327.7686395811779,1018
317,-285.0766161455026,1115
318,-522.3097047320366,1013
319,-41.97746376959867,1217
320,-925.2866383828814,1698
321,-952.5051330633987,1554
322,-1088.2870626953809,1474
323,592.6583319150482,1684
324,30.082295010970086,423
325,-381.741669188998,682
326,70.08229501097009,463
327,-334.16573326682226,470
328,-135.98266028568736,332
329,-476.8730574052506,808
330,-329.80177843218644,722
331,-226.75585188330433,1084
332,-401.3521056894242,628
333,-327.79671735628176,475
334,34.85132315107791,361
335,124.62068541901795,441
336,21.10707690804537,378
337,-118.19089820653062,352
338,-132.6972242168644,329
339,-321.36637820212377,370
340,-129.42982338883024,331
341,-87.82156879375316,382
342,186.13032649525252,398
343,-1074.2732810969692,1623
344,-170.8732510615631,373
345,-341.3163632007378,644
346,-25.380128192086715,388
347,-202.84653640642705,306
348,135.33603458116994,462
349,286.92684914758473,666
350,-1230.4250516259794,1495
351,-434.8254195242821,367
352,509.02033282634125,1252
353,-368.79671735628176,434
354,321.1014053600434,536
355,-706.0108058778867,611
356,372.6090325750649,623
357,64.69289709053385,803
358,160.01966132123604,399
359,-953.297814132111,1368
360,44.46659216256438,396
361,-533.829022222589,317
362,-43.12360771769761,344
363,-1342.0436590885793,1952
364,-801.5602046667632,368
365,-150.46758167013695,316
366,-713.0236945244546,380
367,659.9678023906383,1125
368,0.11493318529073804,348
369,358.647267285585,813
370,-288.62012325677006,391
371,-77.91472487007974,345
372,426.85959494229155,1420
373,-302.5616981792789,457
374,-103.39851277797868,465
375,109.97170409197986,441
