,Time Error [s],Whole trip time
0,-372.30737320299613,1792
1,-998.8803955828707,738
2,-1158.4509385416457,877
3,1971.830744433812,2310
4,-916.7345789813457,664
5,432.8116926035651,914
6,-63.2579115053162,744
7,,487
8,-215.16289896783928,765
9,-165.09802862328524,935
10,,532
11,-14.539378246018828,388
12,-507.2259134595042,993
13,-344.57250224114887,291
14,-625.6745144206616,1085
15,-1162.6367602666635,390
16,,444
17,-450.2852350959472,666
18,-256.099018571261,574
19,-1200.0001263513025,478
20,-324.9825713703542,942
21,357.0954682088811,617
22,-417.515749426567,980
23,-644.6940252943706,331
24,-216.96527784349144,461
25,-858.1113581178683,1226
26,-306.925536893658,386
27,-388.1487665378977,786
28,-27.568268829285444,244
29,-1320.1306696594684,1854
30,-235.94857429114518,694
31,521.1983131115313,579
32,955.9857051958945,1890
33,-93.92269773706914,710
34,-384.4460333780121,1033
35,-534.6102832389251,1063
36,-197.7744989324206,305
37,-592.7520504199231,568
38,-456.61906456768895,566
39,66.95425352331085,777
40,,497
41,-541.6686794097366,578
42,-448.7755042504457,1123
43,-231.19882052997366,394
44,235.40663541900966,562
45,-150.5752544003259,808
46,-311.92488313264585,791
47,-641.3325234126864,923
48,-39.611761041379395,505
49,473.72901538853296,1475
50,-413.7466631837102,327
51,-3.0270924415966647,242
52,-167.10480116243764,539
53,-1139.1368768854522,1785
54,38.56865953864508,485
55,-237.58289572550734,1081
56,299.3505356829714,349
57,-365.6675952763974,1285
58,-44.920725098835476,381
59,-97.62610018338978,1182
60,108.9506487582214,846
61,223.06835145800562,1008
62,-2358.5469517913934,1545
63,-850.9863378435584,1905
64,824.4018840596311,1979
65,97.74336465646581,388
66,-783.210631027089,470
67,-415.3627416145964,415
68,-812.043793569492,410
69,-376.41148718713794,989
70,-298.63892091776665,256
71,-128.17239717747532,150
72,-557.2963309890152,378
73,-83.58353036756034,354
74,-120.45655087990463,603
75,-419.2509605780442,892
76,-113.15804261191909,303
77,-997.8014877049225,748
78,239.61420345861347,911
79,951.4999215907358,1109
80,16.9512909940928,341
81,-315.05186091307996,728
82,681.6820611022029,1859
83,613.8032436189415,1822
84,-297.13625598272074,607
85,-181.64532952726523,320
86,-486.9725534805856,519
87,-692.7467365158479,848
88,-736.4422406518779,686
89,342.10218595869435,717
90,,551
91,-652.2850305845514,2128
92,337.63743718085317,342
93,29.397452039438747,401
94,201.97726314203385,480
95,201.08935782850335,1237
96,-431.17042170502737,1079
97,-84.73032070851781,221
98,-171.7532548733816,397
99,-532.4058619905923,501
100,-322.4654100131918,495
101,446.2025961797583,1086
102,-236.1946087693538,269
103,-568.043793569492,654
104,902.228436123374,2068
105,-634.4011666722902,485
106,-396.02749696531055,683
107,-528.5234934104361,387
108,-740.7495716007495,287
109,-162.53960010251308,640
110,-578.6293180399193,504
111,-694.4931119155144,1092
112,-576.5432546160469,449
113,-310.2866612311368,1132
114,43.357295903748536,632
115,-544.1902495845943,874
116,394.43040461699087,543
117,-240.2854227319881,438
118,-29.833637765225035,718
119,-148.40138408735515,372
120,-311.57033917832587,535
121,346.09544887455354,871
122,-85.78534601245815,848
123,1064.351741045,1126
124,-544.6546151140248,376
125,307.8469842231732,765
126,-564.020839959529,981
127,142.47028550853827,366
128,-860.5700255571028,495
129,-704.910000690456,693
130,-44.12236013263146,588
131,-281.8312043382905,1176
132,-360.8399462209643,403
133,,413
134,-162.7574979579599,1099
135,557.9224852021582,1428
136,700.2417035448354,2011
137,174.56262979547284,767
138,-241.03310020483264,465
139,259.1323185730813,839
140,261.15117406474656,422
141,822.9824073524795,1200
142,666.4391714345456,1187
143,22.522547459604993,1082
144,-314.421506751715,308
145,962.0699192119685,2152
146,669.3732497369522,1645
147,-240.63699734478212,488
148,121.57746033252593,278
149,-434.4926839398961,562
150,201.01946936944694,657
151,,1537
152,-349.92347100890765,405
153,-346.25975665581336,523
154,923.5444290432416,1859
155,,1194
156,,961
157,1189.381258075482,1508
158,7.991217330469567,926
159,-75.40709241793434,862
160,-200.94413563062244,444
161,-261.5227129652286,583
162,-121.70712030003529,358
163,226.09882336872582,350
164,-733.7345789813457,847
165,190.60739025802127,1474
166,-201.93368770591456,298
167,1443.7339791900768,2046
168,-673.9721039227722,975
169,47.509074515633074,250
170,891.9734499540266,1498
171,-146.8031550617061,991
172,-478.67436548528303,666
173,-1090.2950865856856,576
174,-292.85892801358193,500
175,-39.93112753730952,522
176,-361.2915220291312,623
