,Time Error [s],Whole trip time
0,-290.49110449118905,684
1,,1385
2,,1352
3,-1317.4589176543823,1088
4,-595.3166502630345,1294
5,-300.913429130238,823
6,,1260
7,-341.6227404065355,871
8,102.49156352066166,1435
9,-801.3964220654445,617
10,412.9495826719251,1790
11,-692.6953149145165,889
12,-318.93507083350426,409
13,,1751
14,-10.08726361250524,1976
15,,1387
16,-366.81451064156886,1301
17,-534.1766454213705,1090
18,-504.90829010434595,700
19,-382.5886020785665,884
20,-289.200435476791,814
21,-66.45413550305761,513
22,-417.63327363986696,705
23,-462.69592090517904,1196
24,,1409
25,-477.44023391020664,633
26,-307.25782096048806,1664
27,-640.330701028131,818
28,,1889
29,-564.6268993637432,867
30,,1313
31,,1860
32,-288.92657085622113,1091
33,-309.2913479152446,1157
34,231.86460994871572,2118
35,-954.3607906680254,1030
36,-399.6345077700678,858
37,127.2405744191285,1334
38,-394.65539514806414,819
39,-384.7098214726079,794
40,-486.5111942022063,846
41,-139.13457621850444,565
42,730.2662560862818,2119
43,161.23717790086948,1298
44,-228.78729575192688,886
45,-534.9495007154862,723
46,62.30080412837441,564
47,76.30684435713977,475
48,-195.55617208349486,953
49,,2001
50,-238.34121527179275,765
51,-410.1566622141311,864
52,-302.188481553188,676
53,64.60231212364238,1947
54,-659.2014912724469,1169
55,-408.3068603509978,741
56,,1405
57,-274.31434136372695,809
58,-77.99405903106174,827
59,,2153
60,46.60434475636271,1023
61,-516.3440356396604,771
62,-238.427147178553,642
63,1221.102865221771,2339
64,-531.7337768432851,762
65,-250.88484895575766,748
66,-506.21743573230674,995
67,-335.22793507310803,678
68,651.3406770318985,760
69,-516.3798266870062,902
70,-287.81696973151816,1127
71,,1028
72,559.3789459225511,1971
73,-488.10908025303274,941
74,-264.6211314740001,1041
75,600.902625539776,2160
76,629.9864660310893,2119
77,-830.0119449605627,989
78,-441.62146969647597,1356
79,1061.2013948889503,2231
80,,1081
81,,1113
82,-311.6115701012601,695
83,,1223
84,-531.7189820452961,636
85,-688.2840306321993,1197
86,-348.75772440198944,735
87,-270.3070927071874,934
88,-795.0704645069732,1271
89,-382.50686439850665,564
90,-557.245085262364,1148
91,-505.54440186384977,1450
92,-231.3230483898244,1080
93,-275.5808940911131,978
94,,1250
95,,744
96,-274.2468845398935,1160
97,-247.9652510768691,718
98,-666.4131887948442,678
99,-541.8960304602747,723
100,-365.07646606008916,865
101,-296.6806400662447,1136
102,514.9745989994292,1844
103,594.3006419294516,1654
104,307.5577456954281,794
105,48.86611565827047,1135
106,-11.49403030789722,463
107,53.49320007775643,161
108,-502.78359114209866,987
109,-499.2019263505017,605
110,-462.6005259059623,567
111,-388.1305989554951,793
112,,1224
113,-158.6876506114802,1070
114,-793.6177936019592,836
115,1057.8463109818306,2158
116,339.12623792390866,1179
117,-166.45835079517042,1132
118,-244.67562999238794,1340
119,60.16469948669601,1253
120,,1473
121,1241.9520791788232,2233
122,110.4974607727695,1269
123,1512.2566872598718,1576
124,,1316
125,-305.2201582452333,1295
126,-36.32293974192862,1320
127,-324.07419072019525,746
128,-325.816385914736,906
129,68.78656627329192,313
130,-196.71548651124408,1231
131,298.98109101936456,670
132,-536.2421636478318,1151
133,-164.14490630442629,1318
134,275.3680775986771,511
135,70.78553484368936,263
136,-246.50150610036587,678
137,-1140.4754363223838,1122
138,-233.98097835403223,1391
139,,759
140,1613.2756670212614,1770
141,-904.7435204089511,1337
142,-103.73556399880317,712
143,214.56090817278914,968
144,-161.548528964885,1836
145,-1060.809546110614,1482
146,159.89558405483444,863
147,-150.29512848851118,539
148,-21.239605202698385,1226
149,721.1171980604797,2031
150,-73.98165487992128,648
151,335.76956842193937,592
152,-807.8396494129288,1140
153,-479.7760996293955,815
154,-317.6965305361283,654
155,61.90901791585827,1005
156,-967.224249582303,1814
157,-60.968144282945104,1622
158,452.01120858559284,1514
159,-1186.6360953327871,2057
160,-127.16299642983711,731
161,983.2470940336009,1091
162,445.9189550606011,605
163,377.2718714209591,1783
164,298.30711699712174,1669
165,-299.3099472852382,1052
166,-216.91150775356778,484
167,-113.09098208414173,830
168,201.6081398046053,712
169,-707.6367320076963,1060
170,496.3890104579822,761
171,1139.1932691425088,2143
172,-258.1209170649564,399
173,106.69782466983668,662
174,-305.0348752369167,713
175,131.51409978671938,1152
176,-67.62026565235084,440
177,-374.39367225032856,976
178,877.5550816256932,2221
