,Time Error [s],Whole trip time
0,538.7984783352686,1958
1,-635.7625662359576,861
2,-906.1227403118912,1108
3,-429.141412965771,1129
4,-479.460734136336,751
5,-406.74998893836437,882
6,-461.54981425011806,1038
7,0.02060131879360938,133
8,-324.7188123778528,1099
9,-313.49012671505034,937
10,-411.8493198455517,875
11,-245.18970292431436,1725
12,-198.49327276327097,606
13,-26.528234707974775,511
14,-386.0565849048776,784
15,-508.5128332496422,636
16,-367.7220273880466,1158
17,-182.9649044831882,333
18,-338.85754982745743,967
19,-420.15263398785123,944
20,-91.33513409116199,1522
21,-384.13855705526544,746
22,-149.5889811380631,724
23,-336.814761791034,706
24,-1088.177591840988,1614
25,-81.80930717372803,685
26,-93.61826832521297,1140
27,-333.48840063300054,810
28,-483.50065530043867,732
29,-323.8571978549976,1235
30,-189.41406924665728,796
31,-140.94685356269315,1166
32,295.5399569769593,1695
33,-285.3583104864713,589
34,117.79268689567544,237
35,-1065.7262108656073,1018
36,-414.16244317698875,689
37,-361.704353929892,905
38,-283.1597696069366,730
39,-281.39451234250805,1166
40,-278.4685788551619,1133
41,-535.0422086088099,655
42,-357.4550662286217,792
43,-979.3082131516921,1260
44,-571.839276803375,972
45,-126.743483070416,583
46,-205.29755181943233,925
47,-253.72236082857899,1049
48,-689.6262718705705,775
49,-332.00881528943773,853
50,1099.4388829775717,1325
51,-525.2561635741531,1211
52,-22.32739302181153,1292
53,-338.3224942518068,742
54,-190.616399491106,1270
55,-581.9489131198868,655
56,188.01910217650698,1135
57,-297.5661313654871,1040
58,-440.85035320983684,960
59,-353.2935353218468,1210
60,-302.2410772664209,934
61,-427.58323644252437,799
62,-551.3307563017495,861
63,-267.5486769570148,1067
64,-350.60388034495134,622
65,-333.2173815924009,719
66,-243.01352276605303,876
67,-521.6425292255512,837
68,-449.947764245029,1378
69,-407.23975953030777,671
70,-79.16812193592884,150
71,-229.82071333885824,572
72,-410.0323950827508,1225
73,-474.34311815967885,651
74,-570.9733269276517,560
75,-493.59844643713905,700
76,-226.9999999169986,1075
77,-360.2805380902271,736
78,-216.75873461590754,971
79,-428.04073668888464,802
80,-495.63420501312476,820
81,117.20796133843055,1295
82,-600.94574832187,599
83,-269.6292377496808,618
84,-401.1782662388439,925
85,261.6996509745286,454
86,-208.45889099678698,969
87,173.99468220878572,455
88,-344.6788217720102,749
89,-490.91353499942284,612
90,50.294644563695726,114
91,-800.660692079947,1018
92,-23.564532126379845,963
93,-182.2522483569037,1394
94,-563.3351114528309,1261
95,-8.261631272413638,716
96,-357.5514402526453,801
97,-531.960740450915,752
98,-426.02290600577453,1365
99,-377.40282019381334,1090
100,-339.6922192947709,729
101,-460.0600987786763,809
102,133.655241473174,1001
103,-262.00052966827866,392
104,-461.58861759702836,669
105,-103.13002949840006,953
106,133.02551200463694,503
107,-392.4196736032832,746
108,-262.8197420067145,1058
109,-190.1272008604758,1024
110,-469.2563095700814,760
111,-279.6753141625252,751
112,-427.64992865673435,1183
113,-467.26200600933316,513
114,-914.9019831746878,799
115,-688.3166727356152,1397
116,-534.4687778220946,625
117,-572.6681911202518,878
118,268.0953207026323,1617
119,-681.7143197843727,772
120,40.27240181181469,577
121,-600.5729994713922,1237
122,-384.6564547964932,488
123,-119.72278447529311,951
124,-276.97090669919976,758
125,-558.9466627759787,905
126,-521.8461714922862,635
127,-219.76965232308498,1328
128,-346.4202022014347,623
129,-528.3559104152066,910
130,-740.8116588807752,756
131,-216.70494083801623,835
132,-430.2107929431925,766
133,-311.7637446226645,1383
134,-278.0651937216136,662
135,-196.23621022474344,939
136,-731.7918178893665,1326
137,-424.3604716212367,951
138,-179.80018008223146,1055
139,-484.3623792682856,1250
140,-61.6940280910751,1265
141,-496.1531464758548,1024
142,-525.4401873284005,659
143,-701.109863127034,1116
144,17.93288479802993,981
145,-310.4777168856947,747
146,3.6930483307202735,314
147,-660.7337885940417,535
148,-645.0196456389026,1079
149,-554.603836777867,1456
150,-151.11010082938105,969
151,-135.33800860947383,868
152,-304.8829308667414,939
153,-346.8428631212523,993
154,2.3459677276655952,437
155,-532.2210406944523,497
156,60.08294844510144,203
157,-116.90844438171803,958
158,-575.8995405456587,603
159,-155.05783514705263,861
160,-1207.3381431228895,832
161,-363.4428763530591,840
162,-329.4794087370176,897
163,-377.3572546949699,648
164,-255.2623140940317,674
165,-9.288702090826519,978
166,-374.0315910101033,884
167,-455.95401735772475,1062
